0: Gute Freunde; []
1: Zuerst die Geschichte von vier guten Freunden einer geheimnisvollen Prinzessin und von vielen und Gar nicht weit weg und doch so versteckt daß ihn kaum einer findet liegt mitten im Wald auf einer sonnigen Lichtung ein zauberhafter kleiner Teich.; [7090: Kooperative Spielform, ]
2: Eigentlich ist es eher ein Tümpel von hohem Schilf Binsen und wilder Pfeffer minze umgeben und mit vielen weißen die zwischen großen grünen Blättern auf der Wasseroberfläche schwimmen bewachsen.; []
3: Wenn die Menschen wüßten was in diesem Gewässer alles versteckt ist würden sie in Scharen kommen und im die ganze Idylle zerstören.; []
4: Denn dieser verwunschene Ort ist die Heimat bunter Schmetterlinge prachtvoller Libellen unsichtbarer Elfen und Feen und das Zuhause der verschiedensten Käfer Vögel Lurche und Fische.; []
5: Außerdem und das ist das wichtigste wohnen dort unsere vier Guten Freunde ein ein ein und ein Frosch.; []
6: Diese kleinen Kerle haben ein großes Geheimnis.; []
7: Sie wissen daß auf dem Grund des Teiches eine Menge golde und silberner Münzen liegen!; []
8: Jeden Tag im Sommer tauchen sie gemeinsam hinunter und holen die ans Tageslicht und es ist eine wahre Pracht wie diese im Sonnenlicht funkeln.; [7090: Kooperative Spielform, ]
9: Eines Tages steht als käme sie direkt vom Himmel eine wunderschöne Prinzessin mit goldenen Locken am Voller Freude schaut sie dem Treiben der lustigen Frösche zu.; [3173: Gemeinsames Spielfeld, ]
10: Doch kaum haben die vier Freunde die heim Beobachterin bemerkt ist sie auch schon wieder verschwunden.; []
11: So schön ist die Prinzessin gewesen daß auf der Stelle ein Streit unter den Fröschen entbrennt wer sie wohl zur Gemahlin bekäme.; []
12: Da sie sich nicht einigen können beschließen die vier ein Spiel zu machen dessen Gewinner die heiraten dürfte.; [7090: Kooperative Spielform, ]
13: Das Spiel daß sie sich ausgedacht haben geht ganz einfach; [164466: Loswerden, 3142: Verlierbedingung, ]
14: Zuerst werden die auf dem Wasser zu einem Kreis geordnet.; [3173: Gemeinsames Spielfeld, ]
15: Danach werden auf ein einige Münzen gelegt und die wilde Jagd geht los.; [1292: Zufall, ]
16: Alle Frösche hüpfen um die Wette im Kreis herum von Seerose zu Seerose.; [164466: Loswerden, ]
17: Wer als erster wieder auf dem Blatt mit den und Silber stücken ankommt hat diese gewonnen.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
18: Und wer zum Schluß den größten Schatz hat gewinnt das ganze Spiel!; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
19: Unterwegs dürfen noch weitere Münzen aus dem Wasser herausgetaucht wer den aber nur zu zweit zu dritt oder zu viert denn so eine Münze ist ja viel zu schwer für einen Frosch allein.; [8536: Aktionspunkte, ]
20: So spielen die vier den ganzen langen Tag.; []
21: Sie tauchen und hüpfen schleppen und zählen.; [8528: Siegpunkte, ]
22: Manchmal finden sie auch nur einen Stein statt einer Münze aber das macht den eifrigen Tauchern fast nichts aus.; []
23: Und über dem Spielen vergessen sie ihren Streit.; [164466: Loswerden, ]
24: Gott sei Dank denn wer streitet kann kein Goldstück mehr aus dem Wasser holen; [164466: Loswerden, 1492: Siegbedingung, ]
25: weil er ja einen Freund braucht der ihm hilft.; []
26: Und außerdem wäre der Streit ohnehin nutzlos gewesen denn die schöne Prinzessin kam nicht wieder.; []
27: Und wer weiß ob sie überhaupt einen Frosch geheiratet hätte Würfelspiel für 2 Spieler ab 5 Jahren Autor Alex Design Alex Hannelore Inhalt 12 mit 4 Frösche aus Holz 4 Würfel 45 Graue; [1292: Zufall, 164466: Loswerden, ]
28: 15 Goldstücke Gelbe 7; []
29: Steine Schwarze; []
30: 1 Spielanleitung Spielvorbereitung; []
31: Die 12 Holzplatten mit den motiven werden beliebig gemischt und in einem Kreis oder Oval auf dem Tisch oder dem Boden ausgelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
32: Die Frösche werden in den Sack gesteckt und jeder Spieler holt blind einen der Frösche wieder heraus.; [1292: Zufall, 1492: Siegbedingung, ]
33: Wer den roten Frosch erwischt hat darf diesen auf setzen.; []
34: Die anderen Frösche werden hintereinander auf die nächsten See rosen hinter den roten Frosch gesetzt auf je eine Platte ein Frosch.; []
35: Die Farbreihenfolge 1. Rot; []
36: 2. Blau; []
37: 3. Grün; []
38: 4. Gelb.; []
39: Jeder Spieler merkt sich seine Farbe.; [1292: Zufall, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
40: Gehüpft wird im Uhrzeigersinn!; []
41: Spielt man zu viert braucht man alle 4 Würfel und 4 Frösche zu dritt 3 Würfel und 3 Frösche und zu zweit 2 Würfel und 2 Frösche Nicht verwendete Frösche werden zur Seite gelegt.; [1292: Zufall, ]
42: Entsprechend der Tabelle werden und sowie schwarze Steine in das Säckchen gelegt.; [1292: Zufall, ]
43: Über kommen zur Seite.; []
44: 2 3 4; []
45: Spieler; []
46: Spieler Spieler; []
47: 27 36 45 9 12 15 Goldstücke; []
48: 5 6 7; []
49: Schwarze Steine; []
50: Der Spieler dessen Frosch als letzter in der Reihe steht greift in das Säckchen nimmt ohne hineinzusehen 3 heraus und legt diese auf die nächste hinter seinem Frosch.; [3173: Gemeinsames Spielfeld, ]
51: Sollte dabei ein schwarzer Stein sein so darf er ihn zur Seite legen und den fehlenden Stein durch einen erneuten Griff ins Säckchen ergänzen.; [3173: Gemeinsames Spielfeld, ]
52: Spielverlauf; []
53: Nun wird reihum gewürfelt und gehüpft.; [1292: Zufall, ]
54: Das funktioniert so Der Spieler dessen Frosch an erster Stelle sitzt fängt an und würfelt mit nur einem Würfel.; [1292: Zufall, 3142: Verlierbedingung, ]
55: Zeigt der Würfel 3; [1292: Zufall, ]
56: Augen darf der Frosch 3 der im Uhrzeigersinn bei 2 Augen 2 Felder bei einem Auge ein Feld und bei Null freie bleibt er sitzen.; [8536: Aktionspunkte, ]
57: Nun ist der Spieler dessen Frosch an zweiter Stelle sitzt an der Reihe.; []
58: Er darf mit 2 Würfeln werfen damit er den ersten Frosch besser einholen kann.; [1292: Zufall, 7090: Kooperative Spielform, ]
59: Er zählt die geworfenen Augen beider Würfel zusammen und hüpft mit seinem Frosch entsprechend der Summe.; [1292: Zufall, 8536: Aktionspunkte, ]
60: Der dritte wirft mit 3 Würfeln addiert die Würfelaugen und hüpft entsprechend.; [1292: Zufall, ]
61: Der vierte darf alle 4 Würfel verwenden wenn er an der Reihe ist.; [1292: Zufall, 164466: Loswerden, ]
62: Wer anschließend an erster Stelle sitzt wirft wieder nur mit einem Würfel der zweite mit zwei usw.; [1292: Zufall, ]
63: Wer als erster beim Umrunden des auf dem Blatt zum Stehen kommt auf dem die 3 Münzen liegen darf diese in seinen Besitz nehmen.; []
64: Gleichzeitig muß der Spieler der zu diesem Zeitpunkt an letzter Stelle liegt in das Säckchen greifen 3 neue herausnehmen natürlich ohne zu gucken und diese auf das nächste hinter seinem Frosch legen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
65: Wer beim weite ren Hüpfen dieses Blatt wieder als erster mit direktem Wurf erreicht bekommt die drei usw.; [3142: Verlierbedingung, 166903: Ankommen, ]
66: Wenn gegen Ende des Spieles weniger als 6 Stücke im Säckchen liegen wer den sie alle auf das Blatt hinter dem Blatt des letzten Frosches gelegt aus genommen natürlich schwarze Steine; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
67: Auf diese Weise sammeln die Spieler und Es gibt aber auch noch eine andere Möglichkeit zu zu kommen; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
68: Wenn nämlich zwei oder auch mehr Frösche auf einem Blatt zum Stehen kommen sind sie Gute Freunde und haben zusammen Glück!; [1292: Zufall, ]
69: Jeder der betroffenen Spieler darf dann in das Säckchen greifen und ein Stück her ausnehmen natürlich immer ohne hineinzusehen.; []
70: Welche Bedeutung haben die schwarzen Steine?; []
71: Wer als Guter Freund aus dem Säckchen ein Stück herausnehmen darf jedoch einen schwarzen Stein erwischt hat Pech; []
72: er muß ein Goldstück hat er keines dann ein aus sei Besitz wieder in den Sack zurück legen.; [1292: Zufall, ]
