0: in 012 mag mag 2; []
1: karte 80 100 1 in 120 9; [1292: Zufall, ]
2: karte 9 karte 11 7 die 5 je 7 je die 10 62 120; [1292: Zufall, 164466: Loswerden, 8528: Siegpunkte, ]
3: karte karte in karte in karte kot in so flöte in karte. karte ali Karte da 2 2 primer in karte 1 3 in ali med je in po kot sesam je primer da; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
4: med je med karte da je je 4 in in je art in karte.; [1292: Zufall, 8528: Siegpunkte, ]
5: Nato in karte.; [1292: Zufall, ]
6: Nato nato da; []
7: je karte karte karte je 3 je je in je pik pak je karte je 0 1 ali ali da in ali 1 4 in in nova po in so karte in karte in med ali 1; [1292: Zufall, ]
8: karte karte in je in je je kot je je karte so je Nato pike dosest.; [1292: Zufall, 8528: Siegpunkte, ]
9: bodo nato je 1 2 3 karte in ali in ali in joga grad in in in karte in ali in in po je in 2 3 1 3 karte je karte ali ali so 5 kot 1; [1292: Zufall, ]
10: je turn karte lock ali po kot rüd ein je po je in karte je da Nato in ali 2 pik pik je so je Primer je 4 in nie ali kot Primer 5 in je 5 rüde je 1 karte ali da je in Koje in Prim er 5 in da in in po in Koje in in in po in ali Nato in nie!; [1292: Zufall, ]
11: je po da 3 in; []
12: 2 Koje rüde in in je da karte kot in 2 1 in 2 nato ali 1 ali 2 karte karte.; [1292: Zufall, 8528: Siegpunkte, ]
13: karte karte so karte so karte so karte in in karte je ali 9 karte je flöte in Primer je in da karte karte.; [1292: Zufall, ]
14: nato toni primer in in karte je ali karte so karte ali Prim er grad ja in 2 da in ob mein je je eden 1. 2. kot; [1292: Zufall, ]
15: Primer je in in 2. locke.; [8528: Siegpunkte, ]
16: je vreden karte karte so 0 in med da Primer je da in in 10 Konrad 2 erna je 2 Koje med da in in je da je ja nato po 3 1 2 1 da so in in 3 karte so karte.; [1292: Zufall, ]
17: karte je karte in karte ali kot Koje ali karte da je karte karte je karte; [1292: Zufall, 8528: Siegpunkte, ]
18: nina karte karte po ali karte.; [1292: Zufall, 164466: Loswerden, ]
19: karte Samos ali kot karte.; [1292: Zufall, 164466: Loswerden, ]
20: 1 kot je ali in in karte 11 ali Primer karte in Nato in 2 ali kot je art karte da karte je nova.; [1292: Zufall, 8528: Siegpunkte, ]
21: in nato ali in da ali je je in je ali karte.; [1292: Zufall, 8528: Siegpunkte, ]
22: je dar karte je eden 48 in 9 6 1 2 9 6 1 2 11 2 2 2 2 2 1 7 5 7 10 1 2 1 2 1 2 1 KARTE 62 16 1 2 2 2 1 2 1 2 1 1 1 26 6 1 1 1 1 2 3 9 1 1 20 2 3 1 2 2 1 2 2 3 2 sein in po sam da nato kot in potent po 6 po in ali ali Primer in in 12 in nato po je in Nato in Po po 6 po je flöte in 6 po 13 ali 3 4 ali 5. in da ali da je po ali in je je so ali karte ali in ali in rica 3 4 ali 5. da ali da je karte samos in po in po je je po ali niest po ob po in ski po ali in je flöte in in Primer in in in karte in karte ski los in namen karte je da plus so in teilt plus ali in karte kot 11. plus 15 so med po je 1 1 vaSe plus; [1292: Zufall, 164466: Loswerden, 8528: Siegpunkte, ]
23: karte Primer Po so plus po namen je da last po 2 1 da primer 2 1 med da so po je Primer 1 in 2 karte kot 11. je disc ali kot in po pasta 3 2 Primer in; [1292: Zufall, ]
24: je 2005 LASER PLUS; []
25: 2 1000 Ljubljana Telefon; []
26: 01 42169 10 Jure 1996.2005; []
27: KOSMOS; []
28: Stuttgart Klaus GmbH; []
29: Franz Vohwinkel Ah LASER PLUS; []
30: 16 http; []
