0: Wettlauf gegen die Zeit; []
1: Ein aufregendes Abenteuer auf See!; []
2: All ein und kooperativ spiel bar Rettet die Passagiere der Titanic ehe die letzte Seite umgeblättert wird.; [164466: Loswerden, 7090: Kooperative Spielform, 3173: Gemeinsames Spielfeld, ]
3: Die historische Crew hätte 19 punkte gemacht schafft ihr es besser?; [8528: Siegpunkte, 7090: Kooperative Spielform, ]
4: Autoren Bruno; []
5: Illustrationen Sandra Satz Übersetzung Stephan Lektorat; []
6: Marco; []
7: Dieses Spiel enthält 90 Karten und ein Buch mit Heidelberger Spieleverlag Dr. 74731 Germany Achtung.; [1292: Zufall, 164466: Loswerden, ]
8: Nicht geeignet für Kinder unter 3 Jahren da verschluckbare enthalten sind.; [7090: Kooperative Spielform, ]
9: Made in China 01 5566 032699 4 SO SO http Deck Abteil 20 14. April 1912; []
10: 23 40 Nordatlantik Titanic rammt einen Eisberg.; []
11: Sofort dringt Wasser in die Abteile des der daraufhin starke Schlagseite nach Steuerbord bekommt.; []
12: Es besteht kein Zweifel über den Ausgang.; []
13: An Bord bricht Panik aus.; []
14: Allein oder gemeinsam müsst ihr einen kühlen Kopf bewahren und beherzt handeln um so viele Passagiere wie möglich zu retten.; [8536: Aktionspunkte, 7090: Kooperative Spielform, 3173: Gemeinsames Spielfeld, ]
15: Es bleibt nicht viel Zeit...; []
16: Spielmaterial 1 60 Ihr seid die Crew der Titanic.; []
17: Alleine oder als Team müsst ihr versuchen so viele Passagiere wie möglich zu retten.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
18: Auf bau Nehmt euch alle die ihr in dieser Partie benutzen könnt Symbol in der rechten oberen Ecke; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
19: Mischt sie gut und teilt an jeden Spieler eine aus.; [1292: Zufall, 7090: Kooperative Spielform, ]
20: Mischt die Teilt an jeden Spieler so viele Karten aus wie seine Karte angibt.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 3173: Gemeinsames Spielfeld, ]
21: Die übrigen legt ihr als verdeckten Stapel bereit.; [1292: Zufall, ]
22: Schlagt die erste Seite des auf.; [7090: Kooperative Spielform, ]
23: Sie zeigt die Titanic kurz nachdem sie den Eisberg gerammt hat.; []
24: Mit jeder umgeblätterten Seite sinkt das Schiff weiter.; [8536: Aktionspunkte, ]
25: Das Spiel endet sobald die letzte Seite des Buchs umgeblättert wird oder alle Passagiere gerettet werden.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
26: 2; []
27: Das Schiff besteht aus 6 wovon jedes bis zu 3 Abteile hat die im Verlauf des Spiels mit Wasser volllaufen werden.; [1492: Siegbedingung, ]
28: Jedes Mal wenn ein Abteil mit Wasser vollgelaufen ist wird eine Seite des Buchs umgeblättert und das Schiff geht weiter unter.; [8536: Aktionspunkte, ]
29: Passagiere 2. Klasse mit den Nummern 1 Rettungsboot bis 17 ein Satz mit Ankersymbol und ein Satz ohne Ankersymbol.; [1292: Zufall, ]
30: 10; []
31: Die Anzahl der zu Beginn des Spiels.; [8528: Siegpunkte, ]
32: Die Anzahl der Karten die der Spieler beim Vorbereiten der Rettung der Passagiere zieht muss in dieser Spanne liegen.; [1292: Zufall, 3142: Verlierbedingung, 1492: Siegbedingung, 3173: Gemeinsames Spielfeld, ]
33: Ziel de Spiel; [164466: Loswerden, ]
34: Es müssen mindestens so viele Spieler mitspielen wie hier Mützen abgebildet sind damit dieses Crew Mitglied verfügbar ist.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
35: Jedes hat eine Sonderfähigkeit die es zusätzlich oder statt seines normalen Zuges nutzen kann im letzteren Fall ist abgebildet Passagiere 1. Klasse mit den Nummern 1 Rettungsboot bis 13 ein Satz mit Ankersymbol und ein Satz ohne Ankersymbol.; [1292: Zufall, 8536: Aktionspunkte, ]
36: Mischt die gründlich.; [1292: Zufall, ]
37: Legt vor jedes der ersten 4 eine Reihe mit so vielen verdeckten wie die Zahl auf dem jeweiligen Deck auf der ersten Buchseite angibt siehe Abbildung Deckt dann die erste Karte jeder Reihe auf.; [1292: Zufall, 1492: Siegbedingung, ]
38: Legt die übrigen als verdeckten Stapel bereit.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
39: Dieser Stapel enthält die Passagiere die noch unter Deck sind.; [1292: Zufall, ]
40: Ihr müsst sie hoch auf eines der und dann in die befördern.; [8528: Siegpunkte, 1492: Siegbedingung, ]
41: Karten; []
42: 6 Karten Karten 10 Karten Aktions Ablagestapel Passagier Ablagestapel; [1292: Zufall, 164466: Loswerden, ]
43: Wenn ihr mindestens zu zweit spielt bestimmt nach Belieben einen Startspieler.; [3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
44: Ihr seid reihum im Uhrzeigersinn am Zug bis entweder alle Passagiere in Sicherheit sind oder bis die Titanic auf immer in den eisigen Tiefen des Atlantik versunken ist.; [164466: Loswerden, ]
45: Ein paar Worte zur Zusammenarbeit Titanic kann alleine gespielt werden.; []
46: Dann triffst du natürlich alle Entscheidungen selbst.; []
47: Ihr könnt das Spiel aber auch zu mehreren spielen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
48: Dann spielt ihr alle zusammen und versucht gemeinsam so viele Passagiere wie möglich zu retten.; [164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, 3173: Gemeinsames Spielfeld, ]
49: Bevor ein Spieler eine Entscheidung trifft die sich auf die weitere Partie auswirkt solltet ihr gemeinsam die verschiedenen Möglichkeiten besprechen.; [3142: Verlierbedingung, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
50: Dennoch Wer am Zug ist hat das letzte Wort auch wenn die Mitspieler Meinung sind.; []
51: Der Spielzug; []
52: Am Anfang eines Zuges kann man Die Passagiere zwischen den verschiedenen Spielbereichen Bewegen sofern man möchte und es möglich ist.; [8536: Aktionspunkte, ]
53: Diese freiwillige Aktion kann man so oft durchführen wie man möchte.; [8536: Aktionspunkte, 3173: Gemeinsames Spielfeld, ]
54: Danach muss man Aktiv Werden indem man eine der beiden folgenden Möglichkeiten wählt entweder eine spielen oder die Rettung der Passagiere Vorbereiten; []
55: 3 Passagiere Bewegen freiwillig; []
56: Ein oder mehr aufgedeckte Passagiere in den Reihen können in EXAKTER numerischer Reihenfolge 4 3 2 von einer Reihe an einen anderen Ort bewegt werden und zwar wahlweise In eine bestehende Reihe auf einen Passagier derselben Klasse dessen Rang um genau 1 höher ist als der höchste Passagier den du gerade bewegst.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
57: In eine leere Reihe wenn der höchste Passagier den du gerade bewegst Rang 13 bei der 1. Klasse oder 17 bei der 2. Klasse hat diese Karten erkennt man am Symbol auf der Als Boot zu Wasser gelassen werden wenn es; [1292: Zufall, ]
58: ein Rettungsboot ist Rang 1; []
59: Damit wird eine neue Gruppe Überlebender gebildet.; []
60: In eine Gruppe Überlebender auf einen Passagier derselben Klasse dessen Rang um genau 1 niedriger ist als der erste Passagier der Reihe.; [166903: Ankommen, ]
61: Passagiere werden einzeln auf eine Gruppe Überlebender gelegt.; []
62: Passagiere in einer Gruppe Überlebender können nicht wieder auf das Schiff oder in eine andere Gruppe Überlebender bewegt werden.; [8536: Aktionspunkte, ]
63: WICHTIG; []
64: Die Passagiere 1. Klasse und die der 2. Klasse bewegen sich immer nur in Reihen und Gruppen Überlebender ihrer jeweiligen Klasse.; []
