0: Bern ha; []
1: Web er; []
2: Richard Polle; []
3: Für 2 bis 4 Spiel er ab 8 Ja ren; []
4: Vor dem ersten Spiel müssen die Ab vorsichtig voneinander getrennt werden.; []
5: Für das Spiel über mehrere Runden werden zusätzlich Stift und Papier benötigt.; [1492: Siegbedingung, ]
6: Jedes besteht aus einer einzigartigen Kombination von vier Merkmalen Kreis Quadrat Kreuz Orange Lila Blau Klein Mitte Groß Weiß Grau Schwarz; []
7: Die Spieler versuchen all ihre anzulegen.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
8: Dabei dürfen sich aneinandergrenzende Plättchen im er nur in einem Merkmal unterscheiden.; [8536: Aktionspunkte, ]
9: Der Spieler der als Erster all seine Plättchen anlegen konnte gewinnt.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 166903: Ankommen, ]
10: Vorbereitung; []
11: Jeder Spiele nimm sich eine Ablagebank.; []
12: Die werden in den Stoffbeutel gegeben und gemischt.; [1292: Zufall, ]
13: Jeder Spiele zieht blind 10 und stellt sie für die anderen Spiele nicht einsehbar auf seine Ablagebank.; [1292: Zufall, 3142: Verlierbedingung, 1492: Siegbedingung, ]
14: 3 werden als offene Auslage aufgedeckt.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
15: 1 wird als Startplättchen in die Mitte des Tisches gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
16: Der älteste Spieler beginnt danach verläuft das Spiel reihum im Uhrzeigersinn.; [164466: Loswerden, 3142: Verlierbedingung, ]
17: Der Spiele am Zug hat die Wahl zwischen zwei Aktionen Plättchen legen oder Plättchen tauschen Plättchen legen; [3142: Verlierbedingung, 1492: Siegbedingung, ]
18: Der Spiele kann beliebig viele seiner legen solange er die zwei Legeregeln befolgt.; [1292: Zufall, 3142: Verlierbedingung, 1492: Siegbedingung, ]
19: Legeregeln dürfen aneinander gelegt werden wenn sie sich in nur einem Merkmal unterscheiden also in den restlichen drei Merkmalen übereinstimmen.; [3173: Gemeinsames Spielfeld, ]
20: 1; []
21: Das erste im Zug eines Spielers darf an ein beliebiges bereits liegendes Plättchen angelegt werden weitere Plättchen nur an das jeweils zuletzt vom Spiele gelegte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
22: Doppelzug Legt ein Spiele während seiner Aktion ein Plättchen den Legeregeln entsprechend so an dass es an mindestens zwei andere Plättchen angrenzt dann darf der Spieler nach der Beendigung seiner Aktion eine weitere Aktion seiner Wahl durchführen.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
23: Nach diese zweiten Aktion ist sein Zug in jedem Fall beendet.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
24: Plättchen tauschen Kann oder möchte der Spiele; [3142: Verlierbedingung, 1492: Siegbedingung, ]
25: keines seiner Plättchen anlegen legt er zuerst eines seiner Plättchen in die offene Auslage und nimm sich dafür entweder ein anderes Plättchen der offenen Auslage oder eines aus dem Stoffbeutel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
26: Plättchen nachziehen Hat ein Spiele zum Abschluss seines Zuges weniger als zehn auf seiner Ablagebank zieht er ein von der offenen Auslage oder aus dem Stoffbeutel nach.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
27: Danach ist der nächste Spiele im Uhrzeigersinn am Zug.; []
28: Achtung!; []
29: Sobald kein Plättchen mehr in der offenen Auslage liegt werden drei neue aus dem Stoffbeutel nachgezogen und als offene Auslage aufgedeckt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
30: Spiele de; []
31: Das Spiel endet sobald ein Spieler sein letztes Plättchen legen konnte.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
32: Dieser Spieler gewinnt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
33: Das Spiel über mehrere Runden; [164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
34: Die Spiele legen Papier und Stift bereit und einigen sich zu Beginn des Spieles auf eine Anzahl Runden.; [3142: Verlierbedingung, 1492: Siegbedingung, ]
35: Jede Runde wird wie ein komplettes Spiel gespielt.; [164466: Loswerden, 1492: Siegbedingung, ]
36: Am Ende einer Runde erhalten die Spieler für jedes Plättchen auf ihrer Ab einen Minuspunkt.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
37: Der Spiele mit den wenigsten Minuspunkten nach der vereinbarten Rundenanzahl gewinnt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
38: Nach dem Spiel; []
39: Die Ab lassen sich paarweise ineinanderschieben.; []
40: So ist genügend Platz um auch die in der Schachtel zu verstauen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
41: Made in Germ 2009; []
42: HUCH Vertrieb Trade GmbH; []
43: Co KG latz Günzburg Autoren Bernhard Weber Richard Polle; []
44: Gestaltung Richard Po HUCH; []
45: http; []
