0: worden.; []
1: Wie alleen van vier niet nie! meer van Als alle van vier ten teilen alle de de van vier 800 De als 500.; [164466: Loswerden, ]
2: Wie de Super van dient eigen de beide gen worden niet meer worden.; []
3: Wie teilen van eigen was van de maar geld.; []
4: meer de juist 1985 Otto Maier Verlag Ravensburg Otto Maier Verlag Ravensburg; []
5: KUHHANDEL Ravensburger Spiele; [164466: Loswerden, ]
6: Nr. 01 081 3; []
7: Autor Rüdiger Design Josef Das ansteckende für 3 bis 5 Spieler ab 10 Jahren Inhalt 4 von 10 Tieren; [8528: Siegpunkte, ]
8: 55 Geld karten 10 Wert 0 25 Wert 10 je 5 Wert 50 100 200 500 1 Ziel des Spiels; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
9: Pfiffige Geschäfte werden hier zur Methode.; []
10: Die Spieler erwerben Tiere durch möglichst günstiges Ersteigern wenn die anderen gerade kein Geld haben.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
11: Oder man attackiert mit dem echten Kuhhandel Verdecktes Angebot auf das der andere eingehen muß mit verdecktem Gegen angebot.; [1292: Zufall, 8536: Aktionspunkte, 3173: Gemeinsames Spielfeld, ]
12: Ehe man sich versieht ist der Kuh handel; []
13: gerade umgekehrt ausgegangen Man ist zwar reicher aber man ist auch sein eigenes Tier los!; [8528: Siegpunkte, 164466: Loswerden, ]
14: Erst wenn man alle vier Karten vom gleichen Tier hat ist man vor sicher!; [1292: Zufall, 164466: Loswerden, ]
15: Am Ende ist plötzlich Geld nichts mehr wert nur der Punktwert der Tiere zählt noch.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
16: Vorbereitung; []
17: Wer das Spiel nicht kennt sollte sich zunächst damit vertraut machen welche die 10 Tiere haben.; [8528: Siegpunkte, ]
18: Die Tierkarten werden gut gemischt und als verdeckter Stapel in den Kartenspender zurückgelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
19: Die wird im des bereitgelegt.; []
20: Die werden nach Wert sortiert Wert; [8528: Siegpunkte, 1492: Siegbedingung, ]
21: 0 10 50 100 200 500 Jeder Spieler erhält 2 Karten vom Wert 0 und 5 Karten vom Wert 10.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
22: Das Spielgeld sollte aus taktischen Gründen immer verdeckt in der Hand behalten oder ganz versteckt werden.; [1292: Zufall, ]
23: Die übrigen wer den im zweiten Fach des für den weiteren Verlauf des Spiels bereitgelegt.; [1492: Siegbedingung, ]
24: Die Spieler entscheiden wer beginnt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
25: Spielregel; []
26: Versteigern oder Kuhhandel Wer an der Reihe ist erhält den Kartenspender.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
27: Er hat die Wahl die oberste Tierkarte zu versteigern oder einem Mitspieler einen Kuhhandel anzubieten.; [1292: Zufall, 8536: Aktionspunkte, 3173: Gemeinsames Spielfeld, ]
28: Sobald der Spieler diese Aktion abgeschlossen hat gibt er den Kartenspender an seinen linken Nachbarn weiter damit ist nun dieser an der Reihe.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
29: Das Versteigern bietet den Spielern reihum die Möglichkeit Geld einzunehmen!; [164466: Loswerden, 1492: Siegbedingung, ]
30: Ganz am Anfang des Spiels gibt es nur Versteigerungen weil ein Kuhhandel noch nicht möglich ist.; []
31: Wenn gegen Ende des Spiels keine Tierkarten zum Versteigern mehr da sind ist das Handeln Pflicht.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
32: Wer zu diesem Zeitpunkt nur noch voll ständige von Tieren hat kann nicht handeln und wird übergangen.; [8528: Siegpunkte, ]
33: Das Versteigern; []
34: Die oberste Tierkarte wird vom Versteigerer aufgedeckt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
35: Damit ist die Versteigerung eröffnet.; []
36: Alle Spieler dürfen in beliebiger Reihenfolge und beliebig oft einen Betrag für die Tier bieten wobei jeder folgende Betrag das vorangegangene Gebot übertreffen muß.; [1292: Zufall, 8536: Aktionspunkte, 3173: Gemeinsames Spielfeld, ]
37: Der Versteigerer bietet nicht mit.; []
38: Sobald ein Spieler den Eindruck hat daß er als der höchste Bieter feststeht versucht er sich selbst den Zuschlag zu erteilen indem; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
39: er bei ruft 30 zum ersten 30 zum zweiten 30 zum dritten!; []
40: Der gebotene Betrag muß drei mal laut und deutlich wiederholt werden.; []
