0: Der Spielplan zeigt ein Viereck mit 9 roten Punkten.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
1: Das ist der Bunker der von dem einen Spieler mit den 2 besetzt wird.; [8528: Siegpunkte, 1492: Siegbedingung, ]
2: Er stellt diese Figuren an die Punkte und Das große Vier eck stellt das des Bunkers dar.; [8528: Siegpunkte, ]
3: Es wird von den An greifern ganz besetzt der andere Spieler setzt die 22 Schützen auf sämtliche schwarzen Punkte.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
4: Er beginnt den Angriff indem er eine Figur anzieht.; [1292: Zufall, ]
5: Bei jedem Zug kann er seiner Figuren auf einen freien Punkt in Richtung auf den Bunker schieben während der Verteidiger nach allen Richtungen schieben kann.; [8528: Siegpunkte, 8536: Aktionspunkte, ]
6: Der Verteidiger muß Zu sehen daß er eine feindliche Figur erwischt hinter der ein Punkt frei ist.; [8528: Siegpunkte, 7090: Kooperative Spielform, ]
7: Dann springt er mit seiner Figur hin über und nimmt die gegnerische Figur fort.; [7090: Kooperative Spielform, ]
8: Seine beiden Figuren können nicht weggenommen werden.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
9: Wenn es dem Angreifer gelingt alle 9 roten Punkte des Bunkers zu besetzen ist er Sieger.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
10: Ist es aber dem Verteidiger gelungen ihm soviel Figuren wegzunehmen daß das nicht mehr möglich ist dann ist der Verteidiger der; []
