0: Spielvariante 4; []
1: Die Karten mit grünem Rand liegen offen auf dem Tisch.; [1292: Zufall, 1492: Siegbedingung, 3173: Gemeinsames Spielfeld, ]
2: Die anderen Auftragskarten werden gemischt und als verdeckter Stapel neben die Karten gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
3: Der erster Spieler nimmt sich die oberste und liest den Auftrag vor Der Spieler muss die Begriffe schaut nach rechts bzw. schaut nach links nennen und natürlich die Hat sich der Vorleser in der Richtung getäuscht dann darf er bei der nächsten nicht; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, ]
4: Wer zuerst die richtige Zuordnung getroffen hat erhält die und der nächste Spieler liest vor.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
5: Sieger ist wer die meisten Auftragskarten gewonnen hat.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
6: Die Karten mit dem Badetuch spielen ebenfalls mit der Spielleiter sollte aber bedenken dass sie schwieriger sind.; [1292: Zufall, 164466: Loswerden, ]
7: Vielleicht muss geholfen werden.; []
8: Spielvariante 2; []
9: Man kann mit den grün umrandeten Karten nach den Regeln von Memory spielen.; [1292: Zufall, 164466: Loswerden, 3173: Gemeinsames Spielfeld, ]
10: Es gibt verschiedene Möglichkeiten der Paarbildung 1. mit der gleichen aber unterschiedlicher Blickrichtung bilden ein Paar.; [8536: Aktionspunkte, ]
11: 2.; []
12: Ein Kopf hoch und eines kopfunter mit der gleichen Richtung und der gleichen bilden ein Paar.; [8536: Aktionspunkte, ]
13: Spielvariante 3; []
14: Das kleine hat genug gebadet und ist schon ganz schrumpelig.; []
15: Nun sucht es sein Badetuch.; []
16: Die Karten mit grünem Rand liegen offen verteilt auf dem Tisch.; [1292: Zufall, 1492: Siegbedingung, 3173: Gemeinsames Spielfeld, ]
17: Die Karten mit dem Badetuch werden gemischt und als verdeckter Stapel in die Mitte gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
18: Die erste Karte wird aufgedeckt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
19: In welcher Wanne muss das sitzen damit es sein Bade tuch sieht?; []
20: Wer findet als Schnellster das Spielanleitung diesem Spiel gibt es diesem Spiel gibt es mehrere Spielmöglichkeiten Spielvariante 1; [1492: Siegbedingung, 7090: Kooperative Spielform, ]
21: Die Spielkarten auf denen die Wanne mit einem Badetuch abgebildet ist werden aussortiert und spielen nicht mit.; [1292: Zufall, ]
22: Die restlichen Spielkarten mit grünem Rand werden gemischt und mit dem Bild nach oben in die Mitte der Spielrunde verteilt.; [1292: Zufall, ]
23: Die anderen Karten werden ebenfalls gemischt und als verdeckter Stapel an die Seite gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
24: Nun wird die oberste Karte des Stapels aufgedeckt und allen gezeigt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8528: Siegpunkte, ]
25: Wer auf den offen daliegenden Karten zuerst das zeigen kann das in die gleiche Richtung schaut und in der gleichfarbig angezeigten Wanne sitzt erhält die gezogene Karte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
26: Sieger ist wer am Ende des Spieles die meisten Karten ergattert hat.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
27: Spielidee; []
28: Das kleine badet gerne.; []
29: Einmal links herum herum.; []
30: Und manchmal auch kopfunter.; []
31: Wer weiß ganz genau auf welchem Bild das nach rechts oder links schaut?; [8536: Aktionspunkte, ]
32: Für Spieler ab 4 Jahre; [164466: Loswerden, 7090: Kooperative Spielform, ]
