0: 1; []
1: Nur bei 2 oder 3 Spielern; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
2: Die Spieler mit der und können wenn sie am Zug sind wählen ob sie die Sonder aktion ihrer ausgespielten Karte oder die bzw. In ausführen möchten.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
3: Hinweise zu einzelnen Aktionskarten soweit sie nicht identisch mit den Aktionskarten von RAN DE bzw selbsterklärend sind; [1292: Zufall, ]
4: Da die 10 die niedrigste Karte im Spiel ist wird man damit automatisch Intrigant.; [1292: Zufall, 164466: Loswerden, ]
5: Sie müssen die Anzahl an die Sie aufgrund Ihrer nach Spanien senden können nicht in die Nachbarregion des Königs setzen.; []
6: Nehmen Sie die und wählen Sie geheim eine davon aus.; [1292: Zufall, ]
7: Am Ende der 3 6. und 9. Runde findet eine allgemeine Wertung statt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
8: Die gewählte Region wird doppelt gewertet die Regio anschließend wieder zu den übrigen zurückgelegt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
9: 9; []
10: Alle Absprachen sind möglich aber nicht verbindlich.; [164466: Loswerden, ]
11: Da die 180 die höchste Karte im Spiel ist wird man damit automatisch König.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
12: Da uns häufig Fragen zu 2 Punkten der Spielregel von RANDE erreichen möchten wir hier klarstellen.; [8528: Siegpunkte, ]
13: Wenn ein Spieler keine mehr in der Provinz hat kann er sie aus den Regionen zu seinem Hof zurücknehmen Spielregel; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
14: 3 Punkt 1; [8528: Siegpunkte, 1492: Siegbedingung, ]
15: Der ist als Kreislauf anzusehen.; []
16: Ist das Ende wird einfach über das Startfeld Dem Spiel sind 2 Leerkarten beigefügt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 166903: Ankommen, ]
17: Wenn Sie Ideen für interessante neue Karten haben schreiben Sie sie auf die Leerkarten und probieren Sie sie aus.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
18: Sie können uns Ihre Ideen auch zusenden.; [8536: Aktionspunkte, ]
19: Aus allen verlosen wir vierteljährlich einen der ein Spiele paket erhält.; [73230: Symmetrische Startbedingung, 3142: Verlierbedingung, 1492: Siegbedingung, ]
20: Der Rechtsweg ist ausgeschlossen.; []
21: 1997; []
22: Hans im Glück 15 80809 München maut König Intrigant von Wolfgang Kramer und Richard Ulrich; [1292: Zufall, 7090: Kooperative Spielform, ]
23: ist eine Variante zum Spiel und nur mit diesem zusammen spielbar.; [3142: Verlierbedingung, 166903: Ankommen, ]
24: Mit Ausnahme der folgenden Spielregel ist identisch mit Die und Aktionskarten von RAN DE wer den durch diesen Kartensatz ersetzt.; [1292: Zufall, 8536: Aktionspunkte, ]
25: Das heißt sämtliche Regeln von RAN DE die sich auf die und Aktionskarten beziehen werden durch diese Regeln ersetzt.; [1292: Zufall, ]
26: Der Kartensatz enthält im einzelnen je 18 Aktionskarten in 5 Farben 5 karten 1 Königskarte 1 1 Übersichtskarte zum Verteilen der 1 2 Leerkarten; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
27: Startaufstellung; []
28: Zu Beginn erhält jeder Spieler die 18 Aktionskarten seiner Farbe.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
29: Da nur mit 13 Karten gespielt wird wählt jeder geheim 5 Karten aus die er zur Seite legt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
30: Sie werden für diese Partie nicht mehr benötigt.; [1492: Siegbedingung, ]
31: Die werden je nach Spielerzahl ausgesucht siehe Übersichts karte und genauso wie die und neben den Spielplan gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
32: Zusätzlich zur setzt jeder Spieler mittels 1 aus der Provinz in eine beliebige Region.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
33: Die Karten Aktionskarte; [1292: Zufall, ]
34: Die Wertigkeit bestimmt die Zugreihenfolge Maxim Anzahl an die der Spieler von der Provinz an den holen kann.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
