0: Schmidt; []
1: DEUTS; []
2: Inhalt; []
3: 5 30 Karten pro Kartensatz mit einer Disney Prinzessin auf der Rückseite; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
4: Rapunzel Schneewittchen Jasmin; []
5: Die Aufgabe möglichst viele Karten gleicher Farbe in der Reihenfolge in der Mitte ablegen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
6: Das Wichtigste ist dabei Geschwindigkeit schnell kombi nieren und reagieren!; []
7: Das Schöne Ihr spielt gleichzeitig!; [164466: Loswerden, 3142: Verlierbedingung, ]
8: Keiner muss warten keiner wird ungeduldig.; []
9: Spielvorbereitung; []
10: Trennt die Karten nach den Rückseiten in 5; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8528: Siegpunkte, ]
11: Jeder Spieler erhält einen dieser 30 Karten mit seiner Lieblingsprinzessin auf der Rückseite.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
12: Diesen Kartensatz behält er bis zum Spielende Spielt ihr mit weniger als 5 Spielern kommen die restlichen aus dem Spiel; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
13: Mischt euren Kartensatz mit der Rückseite nach oben gut durch und legt eure Karten folgen dermaßen auf den Tisch Skizze auf Seite 7; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
14: Ihr zählt 10 Karten verdeckt ab und legt sie mit der Vorderseite Ziffer nach oben vor euch auf den Tisch.; [1292: Zufall, 1492: Siegbedingung, 8528: Siegpunkte, ]
15: Reihe; []
16: Weitere Karten legt ihr wieder mit der Vorderseite Ziffer nach oben neben den Bei 4 oder 5 Spielern; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
17: 3 Karten bei 3 Spielern; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
18: 4 Karten bei 2 Spielern 5 Karten.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
19: Hand; []
20: Die restlichen Karten haltet ihr als Stapel mit der Rückseite nach oben in der Hand Und los geht sEin; [1292: Zufall, ]
21: Spieler gibt das Startsignal; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 8528: Siegpunkte, ]
22: Jetzt versucht ihr alle gleichzeitig so schnell wie möglich eure Karten loszuwerden Wer; [1292: Zufall, 73230: Symmetrische Startbedingung, 164466: Loswerden, ]
23: eine 1 hat legt sie schnell in die Mitte.; [1292: Zufall, ]
24: Ihr legt alle gleichzeitig wenn möglich Karten in der Mitte ab.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
25: Beim Karten ablegen gilt Folgendes; [1292: Zufall, 164466: Loswerden, ]
