0: 6; []
1: DER; []
2: MUMIE; []
3: Normaler Spielzug der Mumie nach dem Zug des letzten Schatzsuchers Die Mumie wirft den und zählt zur gewürfelten Zahl die Mumien dazu die auf den zu sehen sind.; [1292: Zufall, ]
4: Die Gesamtsumme gibt an wie viele Felder die Mumie ziehen darf.; [1292: Zufall, 8536: Aktionspunkte, ]
5: Dabei darf sie sich nur waagrecht und senkrecht bewegen nicht durch Wände ziehen sowie Start feld und Verlies nicht betreten.; [1292: Zufall, 8536: Aktionspunkte, ]
6: Trifft die Mumie in ihrem Zug auf einen Schatzsucher endet damit ihr Zug sofort und der Schatzsucher ist gefangen.; [3142: Verlierbedingung, ]
7: Die entsprechende Spielfigur wird ins Verlies gesetzt und der Schatzsucher muss der Mumie einen seiner geben.; []
8: War dies sein letzter Lebenspunkt scheidet der Spieler aus.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
9: Die Mumie bleibt auf dem Feld stehen wo sie den Schatzsucher erwischt hat.; []
10: SPIELENDE; []
11: Das Spiel endet sofort wenn entweder ein Schatzsucher seine letzte ablegt.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
12: Dieser Schatzsucher gewinnt das Spiel. oder die Mumie eine bestimmte Anzahl Lebens punkte gesammelt hat.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
13: Dies sind bei 2 Schatzsuchern 4 bei 3 Schatzsuchern 6 bei 4 Schatzsuchern 7; []
14: In diesem Fall gewinnt die Mumie das Spiel.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
15: DAS SPIEL; []
16: FÜR 2; []
17: SPIELER; []
18: Die oben genannten Regeln bleiben bestehen bis auf folgende Änderungen Achtung!; []
19: Nach einem normalen bleiben die auf denen Mumien zu sehen sind liegen.; []
20: Sie sind weiterhin gültig.; []
21: Sie können nur entfernt werden wenn ein Schatzsucher die Aktion Auflösen wählt.; [8536: Aktionspunkte, ]
22: der Mumie nachdem ein Schatzsucher die Aktion Auflösen gewählt hat; [8536: Aktionspunkte, ]
23: Die Mumie zieht so viele Felder weit wie auf den oben liegen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
24: Sie würfelt nicht zusätzlich mit dem Im Beispiel auf Seite 3 darf die Mumie vor dem Zug von Spieler Rot also; [1292: Zufall, 8536: Aktionspunkte, ]
25: 3 Felder weit ziehen Ansonsten gelten dieselben Regeln wie für den normalen Zug der Mumie.; [1292: Zufall, 8536: Aktionspunkte, ]
26: Nach dem Zug der Mumie würfelt der Schatz sucher der den ausgelöst hat mit allen Schatz; [1292: Zufall, ]
27: Der Schatzsucher spielt mit zwei und den Lebenspunkten beider Figuren.; [8528: Siegpunkte, 7090: Kooperative Spielform, 166903: Ankommen, ]
28: Er nimmt 10 Auftrags karten auf die Hand je 2 Karten pro Farbe; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
29: Für jede seiner beiden Spielfiguren führt er jeweils wie oben beschrieben einen normalen Zug aus immer in der gleichen Reihenfolge; [8536: Aktionspunkte, ]
30: Die Auftragskarten können mit beiden Figuren erfüllt werden.; [1292: Zufall, 8536: Aktionspunkte, ]
31: Danach führt die Mumie ihren Zug aus.; []
32: Der Schatzsucher gewinnt wenn er alle 10 Aufträge erfüllt hat die Mumie gewinnt wenn sie 3 erhalten hat.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
