0: Ein spannendes für 2 4 Spieler von 9 Jahren Ravensburger Spiele; [3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
1: Nr.; []
2: 22 293 3 Autor Reiner Design DE Ravensburger Martin Spielanleitung Illustration David Fotos Becker Studios Redaktion Anne 1 1 Piratenschiff 2 16 1 4 mit 5 4 4 7 1 weißer Würfel 2 schwarze Würfel 8 8 Werkzeuge; [1292: Zufall, ]
3: 9 28 21 30 3 Inselteile 1 1 Figur; [7090: Kooperative Spielform, ]
4: 3 0 ÖD 14; []
5: Vor langer Zeit hat seinen legendären Schatz auf einer geheimen Insel vergraben.; []
6: Heute hat sein ruheloser Geist nur noch ein Ziel zurück zur Schatzinsel um dort endlich seinen Frieden zu finden!; [8536: Aktionspunkte, 7090: Kooperative Spielform, 166903: Ankommen, ]
7: Helft dem die Insel zu erreichen!; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
8: Er wird euch reich belohnen!; []
9: Doch die Aufgabe ist nicht einfach; []
10: Im Meer lauern; []
11: viele Gefahren Piraten versuchen das Schiff zu entern und auch an Bord gibt es viele Herausforderungen zu meistern.; [8528: Siegpunkte, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
12: Bei diesem Abenteuer müssen alle an einem Strang ziehen!; [1292: Zufall, ]
13: Wenn ihr es schafft die Schatzinsel vor Einbruch der Dunkelheit zu erreichen habt ihr das Spiel gemeinsam gewonnen!; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
14: Könnt ihr die Abenteuer bestehen?; []
15: Probiert es aus!; []
16: Vor dem ersten Spiel Spielaufbau; [164466: Loswerden, ]
17: Vor jedem Spiel Lasst euch beim ersten Aufbau des Schiffs am besten von euren Eltern oder älteren Geschwistern helfen.; [3142: Verlierbedingung, 7090: Kooperative Spielform, ]
18: Brecht alle vorsichtig aus.; [164466: Loswerden, ]
19: Nehmt die 16 Auf der Rückseite der Felder findet ihr die Buchstaben Abis; []
20: Auf den Schiffsteilen findet ihr in jedem Feld ebenfalls einen Buchstaben.; [8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
21: Drückt die vorsichtig entsprechend der Buchstaben in die Löcher.; []
22: Die Aus richtung der Einkerbung spielt keine Rolle.; [164466: Loswerden, ]
23: Steckt die in die Die mit den Buchstaben gehören auf die Das Schiff Legt euch die Teile des Schiffs wie auf dem Bild zu sehen bereit.; [7090: Kooperative Spielform, ]
24: 6 9 Bug Heck Stellt die Schachtelunterseite in die Tischmitte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
25: Dann legt ihr das große Schiffsteil so in die Schachtel dass die dreieckigen Markierungen auf den Feldern Kanone und Planke auf die identischen Markierungen im Schachteleinsatz zeigen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
26: Das Schiffsteil mit der Vorratskammer und dem Munitionslager 2 legt ihr so auf die Erhöhung im Schachteleinsatz; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
27: dass die Aussparungen in den Ecken der Schachtel liegen siehe Abbildung Bug Bug nennt man den vorderen Teil eines Schiffs.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
28: Hakt als Erstes das Seitenteil 3 des bei der Pumpe über die Ecke des ein sodass es aufrecht steht.; []
29: Das wiederholt ihr für das Seitenteil beim Papagei.; []
30: Danach verbindet ihr die beiden auf Höhe des mit dem passenden Verbindungsstück 5 Anschließend steckt ihr die Bodenplatte des 6 in die Aussparungen in den Heck Heck; [1292: Zufall, ]
31: nennt man den hinteren Teil eines Schiffs.; [3173: Gemeinsames Spielfeld, ]
32: Das Heck besteht aus den Teilen; []
33: Der Aufbau funktioniert genauso wie der des nur dass es hier zwei gibt die zur Stabilisierung vorne und hinten zwischen die gesteckt werden.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
34: Als Letztes steckt ihr die Keile durch die Schlitze die aus der ragen.; []
35: Jetzt verrutscht nichts mehr!; [164466: Loswerden, 1492: Siegbedingung, ]
36: Von oben sieht euer Schiff jetzt so aus; []
37: Die Felder sind wie folgt verteilt 1 Glocke 2; [7090: Kooperative Spielform, ]
38: Anker Harpune Papagei Pumpe 6; []
39: Kanone; []
40: 8 Planke; []
41: Munitionslager Vorratskammer; []
42: Kajüte Steuerrad; []
43: Der Bittet einen Erwachsenen in die Figur des drei Batterien vom Typ 5 einzulegen.; []
44: Dazu müsst ihr mit einem Kreuzschlitzschraubendreher das Batteriefach auf der Rückseite des öffnen.; []
45: Beachtet bitte die Hinweise auf Seite 8 dieser Spielanleitung.; []
46: Der führt euch durch das Spiel.; []
47: Über die Knöpfe zwischen seinen Füßen gebt ihr ein was ihr machen möchtet.; []
48: Bevor es losgeht Großer Knopf; [7090: Kooperative Spielform, ]
49: Über diesen Knopf bestätigt ihr euren Standort und alle weiteren Eingaben.; []
50: Fragezeichen; []
51: Über diesen Knopf könnt ihr euch zu jedem Zeitpunkt die letzte Ansage des wiederholen lassen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
52: Stellt das Schiff in die Mitte der Spielfläche sodass es von allen Spielern gut erreicht werden kann.; [1292: Zufall, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
53: Legt die neben dem Schiff bereit.; [3173: Gemeinsames Spielfeld, ]
54: Jeder Spieler sucht sich eine aus und stellt sie vor sich ab.; [1292: Zufall, ]
55: Außerdem nimmt er sich den in der entsprechenden Farbe.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
56: Legt die sortiert nach Aufgaben zu mit dem den den Würfeln und den und neben dem Schiff bereit.; [1292: Zufall, ]
57: Die Werkzeuge legt ihr unsortiert unter das Heck des Schiffs.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
58: Setzt euch so um das Schiff das niemand direkt unter das Heck schauen kann.; [8536: Aktionspunkte, ]
59: Die drei Inselteile legt ihr verdeckt und gemischt neben dem Schiff bereit.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
60: Die Figur des stellt ihr neben dem Schiff bereit.; []
61: Ziel des Spiels; []
62: 4 Euer gemeinsames Ziel ist es den und sein Schiff sicher zur Schatzinsel zu bringen.; [7090: Kooperative Spielform, ]
63: Schafft ihr es vor Einbruch der Dunkelheit habt ihr gewonnen und werdet mit seinem Schatz belohnt!; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
64: Um die Insel zu erreichen müssen die Matrosen alle Aufgaben die der im Lauf des Spiels stellt lösen bevor die Dunkelheit hereinbricht.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 7090: Kooperative Spielform, ]
65: Das Spiel beginnt!; []
66: Grundregeln zum Losspielen; []
67: 1. Spiel auswählen Spieler anmelden Schaltet den ein.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
68: Stellt den auf der Rückseite der Figur auf den gewünschten Schwierig Für Neulinge empfehlen wir das leichte Spiel.; [7090: Kooperative Spielform, ]
69: 0 Aus leicht 11 mittel 111 schwer; []
70: Der begrüßt euch zu eurem Abenteuer und fordert euch danach auf eure nacheinander auf euer jeweiliges Startfeld zu stellen und anschließend auch ihn dort hinzustellen.; [3173: Gemeinsames Spielfeld, ]
71: Die der einzelnen Matrosen sind auf dem Schiff markiert linke Abbildung; []
72: Damit der weiß welche Matrosen mit ihm an Bord sind müsst ihr sie anmelden.; [1292: Zufall, 8536: Aktionspunkte, ]
73: Dazu stellt ihr den auf das im jeweiligen Startfeld rechte Abbildung und drückt seinen großen Knopf.; [3173: Gemeinsames Spielfeld, ]
74: Nach der Anmeldung der Matrosen fordert der euch auf einzugeben ob ihr ein kurzes oder ein langes Spiel spielen wollt.; [3142: Verlierbedingung, 166903: Ankommen, ]
75: Dies gebt ihr über die ein.; []
76: Stellt den auf das Feld für das kurze oder das Feld für das lange Spiel und drückt seinen großen Knopf.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 166903: Ankommen, ]
77: Anschließend verkündet der die erste Aufgabe und sagt wer das Spiel beginnt.; [166903: Ankommen, ]
78: Der hat das Kommando und führt euch durch das gesamte Spiel.; [164466: Loswerden, 3142: Verlierbedingung, 166903: Ankommen, ]
79: Sein Motto lautet Alles hört auf; []
80: MEIN; []
81: Kommando; []
82: !; []
83: 2. Abenteuer bestehen; []
