0: Worum geht Leicht; []
1: verdientes Geld denkt ihr euch als ihr eine entdeckt in der Probanden für eine medizinische Studie gesucht werden.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
2: Da zögert ihr nicht lange und meldet euch für den nächst möglichen Termin an.; [3173: Gemeinsames Spielfeld, ]
3: Pünktlich trefft ihr bei der Adresse ein die euch telefonisch mitgeteilt wurde.; []
4: Ihr betretet ein modernes Labor mit allerlei merkwürdigen Gefäßen und Vorrichtungen.; []
5: Aber irgendetwas stimmt hier nicht.; []
6: Außer euch scheint niemand hier zu sein.; []
7: Plötzlich steigt Dampf aus einem Reagenzglas empor und euch wird schwindelig Als ihr wieder aufwacht brummt euch der Schädel und ihr stellt fest dass die Tür hinter euch verschlossen ist.; []
8: Auf einem Tisch entdeckt ihr ein Notizbuch und eine seltsame Drehscheibe die vorher ganz sicher noch nicht dort lagen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
9: Das Labor scheint komplett mit Rätseln übersät zu sein.; []
10: Nur wenn ihr rechtzeitig alle Rätsel gemeinsam lösen könnt werdet ihr entkommen.; [164466: Loswerden, 7090: Kooperative Spielform, ]
11: Wenn nicht werdet ihr wohl Teil eines unheimlichen Experiments dessen Folgen ihr euch lieber nicht ausmalt.; []
12: 1 KOSMOS wich ihr dürft scan iss Spielmaterial 85 Karten 24 30 31 2 seltsame Teile 1 Buch 1; [1292: Zufall, ]
13: Zusätzlich benötigt ihr Stifte am besten und Radiergummi ein oder mehrere Blätter Papier und eine Uhr am besten eine Stoppuhr um die Zeit zu messen.; [1492: Siegbedingung, 7090: Kooperative Spielform, ]
14: Wenn ihr möchtet könnt ihr eine Schere benutzen.; [8536: Aktionspunkte, ]
15: Die Schere kann euch das Spiel vereinfachen sie ist aber nicht erforderlich.; [164466: Loswerden, 3142: Verlierbedingung, ]
16: Spielvorbereitung; []
17: Legt das Buch und die auf dem Tisch bereit.; [3173: Gemeinsames Spielfeld, ]
18: Die seltsamen Teile lasst ihr zunächst in der Schachtel.; [1292: Zufall, ]
19: Die Karten sortiert ihr nach ihren Rückseiten in die drei Stapel Achtet dabei darauf dass ihr noch keine Vorderseiten seht.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
20: Prüft ob die und nach ihren Buchstaben bzw. Zahlen in aufsteigender Reihenfolge sortiert sind.; [8528: Siegpunkte, ]
21: Die sortiert ihr nach Symbolen getrennt.; [1292: Zufall, ]
22: Legt sie dann an den Rand des Tischs.; [3173: Gemeinsames Spielfeld, ]
23: Karten mit gleichem Symbol legt ihr so überein dass jeweils die Karte 1. TIPP auf der Karte 2. TIPP liegt und diese wiederum auf der Karte AUFLÖSUNG Ausnahme; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
24: Für das Symbol gibt es nur 2 Wo ist der Spielplan?; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
25: In diesem Spiel gibt es keinen Spielplan!; [3173: Gemeinsames Spielfeld, ]
26: Was es im Spiel zu entdecken gibt und wie die Räume aussehen müsst ihr selbst herausfinden.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
27: Zu Beginn des Spiels stehen euch nur das Buch und die zur Verfügung.; [3173: Gemeinsames Spielfeld, ]
28: Im Laufe der Partie kommen dann noch hinzu entweder findet ihr diese auf Abbildungen oder es wird in Texten darauf hingewiesen.; []
29: Immer wenn dies der Fall ist dürft ihr euch die entsprechenden Karten aus dem Stapel der heraussuchen und anschauen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
30: Die seltsamen Teile in der Schachtel dürft ihr ebenfalls erst dann nut zen wenn ihr ausdrücklich darauf hingewiesen werdet dass ihr sie gefunden habt.; []
31: Bis dahin müssen sie ungenutzt in der Schachtel bleiben!; []
32: Beispiel Wenn ihr eine solche Abbildung findet dürft ihr die entsprechende sofort aus dem Stapel heraussuchen und anschauen.; [1292: Zufall, ]
33: Spielablauf; []
34: Euer Ziel ist es in möglichst kurzer Zeit gemeinsam aus dem geheimen Labor zu entkommen.; [164466: Loswerden, 7090: Kooperative Spielform, ]
35: Das wäre sicherlich einfacher wenn nicht jedes Schloss im Raum mit einem Rätsel belegt wäre.; [73230: Symmetrische Startbedingung, 8536: Aktionspunkte, ]
36: Im Laufe des Spiels findet ihr immer Gegenstände die mit einem verschlossen sind.; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
37: Um sie zu öffnen müsst ihr den passenden Code herausfinden und auf der einstellen.; [8536: Aktionspunkte, ]
38: Auf dem äußeren Rand der Scheibe sind 10 verschiedene Symbole abgebildet.; [1292: Zufall, ]
39: Jedes Symbol steht für einen zu lösenden Code.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
40: Welches Symbol allerdings zu welchem Code gehört müsst ihr selbst herausfinden.; [1292: Zufall, ]
41: Dafür ist es ratsam auf jedes Detail zu achten.; [8528: Siegpunkte, 1492: Siegbedingung, ]
