0: Typ Dom; []
1: Zum Spiel gehören Typen; [164466: Loswerden, ]
2: AB DE HI Stück 9 2 2 3 9; []
3: 3 3 3 6 2; []
4: 4 3 6 6 2 1 5; []
5: 4 3 6 1 2 1 1 1 6 6 6 2; []
6: Typ Dom ist eine Kombination aus Domino und Kreuzworträtsel.; []
7: Die Aufgabe der Spieler besteht darin die gemischten Buchstaben in sinn vollen Zusammenhang zu bringen und so Worte zu bilden die sich wie in einem Kreuzworträtsel verbinden.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
8: Typ Dom kann in vielen Variationen gespielt werden dabei; [164466: Loswerden, ]
9: helfen Phantasie Sprachschatz und Intelligenz sehr.; []
10: Patent 152 645 1 424 308 franz.; []
11: Patent 824 268 und weitere Patente in allen Kulturstaaten angemeldet.; []
12: Das Für 2 5 Spieler.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
13: Die liegen gut gemischt verkehrt auf dem Tisch.; [1292: Zufall, ]
14: Jeder Spieler erhält 5 schwarze Steine und 8 weiße Es wird ausgelost; [8528: Siegpunkte, 73230: Symmetrische Startbedingung, 1492: Siegbedingung, ]
15: wer beginnen darf.; []
16: Der erste Spieler legt ein schweres Wort mit Yin die Mitte des Tisches.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
17: Alle anderen Spieler setzen der Reihe nach ein Wort dazu das mit dem bereits liegenden Wort einen Buchstaben gemeinsam hat.; [1492: Siegbedingung, 7090: Kooperative Spielform, ]
18: Es ist darauf zu achten daß überall wo sich Steine berühren ein sinnvoller Begriff entsteht.; [3173: Gemeinsames Spielfeld, ]
19: Wer sein Wort so bilden kann daß es mit dem bestehenden 2 Buchstaben gemeinsam hat darf noch ein 2.Wort ansetzen wenn er die passen den Buchstaben hat.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
20: Setzt ein Spieler ein Wort das noch an andere Buchstaben anschließt muß er zusätzlich für diesen Anschluß ein Wort bilden.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
21: Kann er das nicht darf er auch das erste Wort nicht ansetzen.; [8536: Aktionspunkte, ]
22: Steine mit Punkt ohne Buchstaben können an Stelle eines fehlenden schwarz für weiß für gesetzt wer den.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
23: Schon angesetzte jedoch an 3 Stellen; []
24: noch nicht verbaute Steine können vom 1. 2. oder 3. Spieler eingetauscht werden wenn der Spieler den dargestellten Buchstaben besitzt.; [3142: Verlierbedingung, 1492: Siegbedingung, ]
25: Den so erworbenen kann der neue Besitzer dann wieder beliebig verwenden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
26: Es ist erlaubt den Begriff eines bereits gesetzten Wortes durch Hinzufügen ei oder mehrerer Typen teilweise oder völlig zu verändern EIS in REISE.; [8536: Aktionspunkte, ]
27: Auch Mehrzahlbildungen sind erlaubt.; []
28: Jeder Spieler hat 1 Minute Zeit zum Überlegen.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
29: Findet ein Spieler keine Möglichkeit aus seinen Steinen anzulegen ist sein Nachbar an der Reihe und der Übergangene muß einen Stein kaufen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
30: Die Partie ist beendet wenn ein Spieler alle seine Steine aufgebraucht hat und damit Sieger ist.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
31: Er erhält von seinen Mitspielern für jeden ihrer 2 nicht angesetzten schwarzen Steine das für weiße und das eines vereinbarten Wertes.; [8528: Siegpunkte, 1492: Siegbedingung, ]
32: Bei einem kaum möglichen Unentschieden ist Sieger wer die wenigsten Steine übrig behalten hat.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
33: Wertung; []
34: Alle Wörter sollten in ihrer Grundform gesetzt werden Familiennamen; []
35: Firmennamen Abkürzungen führen nur zu Spielstörungen.; []
