0: ogel; []
1: 1 Tim Spielanleitung Regle du Spelregels Hunger Kleine vogel Piccolo grande Copyright DA Spiele Bad 2016 Kleiner Vogel großer Hunger; []
2: Ein Sammelspiel für 2 4 Kinder von 3 99 Jahren.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
3: Autor Tim Illustration Anne Spieldauer 10 15 Minuten Ei ei ei wer schlüpft denn da?; []
4: Vier kleine freche Küken pellen sich aus ihren Eiern.; []
5: Kaum auf der Welt haben sie schon einen Da hilft nur eins Futter muss her und zwar reichlich.; []
6: Körner Beeren; []
7: Würm er und Fliegen all das fressen die Kleinen gerne.; [164466: Loswerden, ]
8: Doch Achtung sie sind sehr wählerisch!; []
9: Das Würfelglück entscheidet womit die Küken gefüttert werden können.; [1292: Zufall, ]
10: So werden sie nach und nach größer und stärker.; [3173: Gemeinsames Spielfeld, ]
11: Welches Küken ist als Erstes zu einem stattlichen herangewachsen?; []
12: Spielinhalt 4 1; []
13: Set; []
14: 4 Karten 20 1 Würfel; [1292: Zufall, 164466: Loswerden, ]
15: 1 Bogen mit 6 Aufklebern; []
16: 1 Spielanleitung; []
17: Vor dem ersten Spiel Klebt jeweils einen der Aufkleber auf eine der Würfelseiten.; [1292: Zufall, 3142: Verlierbedingung, 1492: Siegbedingung, ]
18: Dann ist der Würfel 3; [1292: Zufall, ]
19: DE DEUTSCH; []
20: Spielvorbereitung Dreht; []
21: alle Karten mit der Seite auf der die Blumen abgebildet sind nach oben.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
22: Jedes Kind erhält ein Set Karten.; [1292: Zufall, 1492: Siegbedingung, 8528: Siegpunkte, ]
23: Dazu entscheidet sich jedes Kind für eine und nimmt davon alle Karten.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
24: Übrig gebliebene Karten kommen zurück in die Schachtel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
25: 1 Stapelt eure Karten übereinander die befinden sich dabei am unteren Rand.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
26: Es wird mit der größten Karte begonnen danach folgt die nächst kleinere usw.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
27: Die oberste Karte zeigt ein Legt die in der Mitte des Tisches aus und haltet den Würfel bereit.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
28: Spielablauf; []
29: Lasst zuerst alle eure Küken aus dem Ei schlüpfen.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
30: Dazu wird die oberste Karte umgedreht und oberhalb des Stapels abgelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
31: Bei jedem Kind ist nun ein kleines Küken zu sehen das quietschvergnügt und neugierig aus dem aufgebrochenen Ei schaut.; []
32: Es hat Hunger und möchte gefüttert werden.; []
33: Was das Küken fressen möchte zeigen euch die auf eurer zum Vorschein kommenden Wiese.; [3173: Gemeinsames Spielfeld, ]
34: 4 Ihr spielt im Uhrzeigersinn.; [164466: Loswerden, 166903: Ankommen, ]
35: Wer von euch am hungrigsten ist darf beginnen und würfelt.; [1292: Zufall, 8536: Aktionspunkte, ]
36: Was zeigt der Würfel?; [1292: Zufall, ]
37: Wurm Fliege Beeren oder Körner; []
38: Alle Kinder schauen ob auf ihrer Wiese das entsprechen de abgebildet ist ob ihr Küken das entsprechende Futter fressen möchte.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
39: Ja.; []
40: Prima!; []
41: Die betreffenden Kinder dürfen sich ein passendes aus der Mitte nehmen.; [3173: Gemeinsames Spielfeld, ]
42: Deckt mit dem Plättchen das auf eurer Wiese ab.; [8528: Siegpunkte, ]
43: Nein; []
44: .; []
45: Schade; []
46: ! Kinder auf deren Wiese; []
47: das gewürfelte Symbol nicht abgebildet ist können leider kein nehmen.; [1292: Zufall, ]
48: zwei Fliege Beeren oder Wurm Körner; []
49: Alle Kinder schauen ob auf ihrer Wiese eines oder beide gewürfelten abgebildet sind.; [1292: Zufall, 8536: Aktionspunkte, ]
50: Ja.; []
51: Prima!; []
52: Die betreffenden Kinder dürfen sich ein passendes aus der Mitte nehmen.; [3173: Gemeinsames Spielfeld, ]
53: Deckt mit dem Plättchen das auf eurer Wiese ab.; [8528: Siegpunkte, ]
54: Nein; []
55: .; []
56: Schade; []
57: ! Kinder auf deren Wiese keines der beiden Symbole abgebildet ist können leider kein nehmen.; [1292: Zufall, ]
58: Achtung; []
59: Ihr sammelt immer nur ein Plättchen für jedes abgebildete Symbol auf der Wiese.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
60: 5 DE; []
61: DEUTSCH; []
62: Anschließend ist das nächste Kind mit Würfeln an der Reihe.; [1292: Zufall, ]
63: Habt ihr alle für euer Küken eingesammelt ist es satt.; [164466: Loswerden, 7090: Kooperative Spielform, ]
64: Legt alle Plättchen von eurer Wiese zurück in die Mitte.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
65: Dreht die Karte um und deckt mit dem abgebildeten größeren Küken das kleine Küken ab.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
66: Das Küken ist gewachsen hat aber immer noch Hunger.; []
67: Die auf eurer Wiese zeigen euch wieder was das Küken fressen möchte und welche ihr einsammeln müsst damit; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
68: es noch größer wird Spielende; []
69: Das Kind das als Erstes seine letzte Karte umdreht und mit dem darauf abgebildeten alle anderen Karten abdeckt gewinnt das Spiel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
70: Sein Vogel ist jetzt ausgewachsen und fliegt in die Welt hinaus.; []
