0: Erbgut; []
1: 4; []
2: Widerwille Abneigung langweilige Mitteilungen; []
3: 3 Erleichterung glücklicher Abschluß 2; [1292: Zufall, ]
4: Liebe; []
5: Freundschaft; []
6: Gemeinsamkeiten Überfluß positive Veränderung; []
7: Befriedigung auf Geburt; []
8: FARBE MÜNZEN; []
9: KÖNIG gut aufgelegter Geschäftsmann; [7090: Kooperative Spielform, 8528: Siegpunkte, ]
10: Ökonomische Macht Weitsichtigkeit; []
11: KÖNIGIN strenge aber Frau Öko Sicherheit; []
12: Freiheit; []
13: RITTER; []
14: nützliche Person dienstfertig fremd Günstige; []
15: Gelegenheiten; []
16: BUBE Studium; []
17: Nachdenklichkeit von Kind gebrachte Erkenntnisse; []
18: Neue geschäftliche Verhältnisse 10 Gewinn nutzbare Aufstellung 9 Umsicht Einsicht Verwirklichung.; [164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
19: 8. manuelle und kommerzielle Fertigkeit; []
20: 7 Wechsel; []
21: neue Geschäfte; []
22: 6 Geschenke; []
23: Belohnungen; []
24: 5 Hindernisse 4; []
25: kleines Geschenk; []
26: Verspätung Unsicherheiten; []
27: 3 Berühmt Unterstützung von Mächtigen 2; []
28: störende Kenntnisse Schwierigkeiten Unruhe langer kommerzieller Erfolg; []
29: Glück Gewinn; []
30: FARBE STÄBE; []
31: KÖNIG; []
32: gutes Verhältnis zu einem reichen Menschen zu befolgender Rat Strenge; []
33: KÖNIGIN; []
34: Freundschaft mit einer reifen Frau Vertrauensvoll Untersuchung stabile Meldung; []
35: RITTER unternehmungslustiger Mensch; []
36: feurig Abfahrt; []
37: Auswanderung Trennung 7; []
38: BUBE junger Freund.; []
39: Bote.; []
40: Neue Zusammenarbeiten und Ideen.; [1292: Zufall, ]
41: Kleine 10 Druck Übermüdung.; []
42: 9 Stärke im Unglück.; [1292: Zufall, ]
43: Unheil Hindernisse.; []
44: 8 schaffender Druck Hoffnungen Selbstanalyse.; []
45: 7 Erfolg.; []
46: Ausführung der Unternehmung.; []
47: 6 Mißerfolg unüberwindliche Hindernisse Treulosigkeit.; []
48: 5 Überragen von Hindernissen Widersprüche.; []
49: 4 unerwartete Gelegenheit kleiner Preis.3 Unternehmungslust Ende des Mißgeschicks.; [164466: Loswerden, ]
50: 2 Leiden Krankheit Trauer.; []
51: Erschaffung; []
52: Erfindung eine schwere Unternehmung.; []
53: Erbschaft.; []
54: Streitigkeiten.; []
55: FARBE; []
56: SCHWERTER; []
57: KÖNIG; []
58: Magistrat; []
59: Macht; []
60: gesetzliche Handlungen Schwierigkeiten schlimme Absichten Verderbnis.; []
61: KÖNIGIN; []
62: Traurigkeit Trennung.; []
63: Böse Falschheit Unglück.; [1292: Zufall, ]
64: RITTER; []
65: Fertigkeit; []
66: Mut feurige Linderung Zorn Unvorsichtigkeit.; []
67: BUBE; []
68: Spionage; []
69: Geheimhaltung; []
70: Aufsicht Aufmerksamkeit schwierige Vorbereitung.; []
71: 10 Kummer Strafe; []
72: Traurigkeit Erschöpfung.; []
73: 9 Bankrott Verlegung triftige Angst.; []
74: 8 schlimme Erkenntnisse Krise Fatalität Verrat.; []
75: 7 Hoffnung Vertrauen; []
76: Versuch Phantastereien.; [7090: Kooperative Spielform, ]
77: 6 Reise; []
78: Verlegung Abfertigung Urlaub; []
79: .; []
80: 5 Entwürdigung Verlust.; []
81: Enttäuschte Hoffnungen.; []
82: 4 Aufsicht Einsamkeit; []
83: Nachdenken.; []
84: 3 Abwesenheit Verlust Verwirrung.; []
85: 2; []
86: Weiche Gleichgewicht günstiges Umfeld.; []
87: Triumph; []
88: Erhebung der Starken Eroberung.; []
89: Kreativität Empfängnis.; []
90: 8 VEREINFACHTE Trennen; []
91: Sie die Kiemen von den und wählen Sie je nach Fragestellung eine von vier Farben bedenken Sie Stabe steht für die Arbeit Münzen für Geschäfte; [1292: Zufall, 8536: Aktionspunkte, ]
92: Kelche ist Liebe und Schwerter das Gesetz; []
93: Sie sollen eine klare Frage formulieren und dann die Spielkarten mischen der soll sie mit der linken Hand die Hälfte teilen; [1292: Zufall, ]
94: Die ersten drei Karten hegen aufgedeckt auf dem Tisch 1 Vergangenheit 2 3; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8528: Siegpunkte, ]
95: Zukunft; []
96: Machen Sie noch einmal dasselbe mit den und legen Sie die ersten drei neben die Karten nieder sie schildern die Einflüsse 1 auf die Vergangenheit 2 auf die Gegenwart 3 auf die Zukunft.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
97: Deuten Sie die Karten wie folgt; [1292: Zufall, 164466: Loswerden, ]
98: BEDEUTUNG; []
99: DER Absonderlichkeiten Infantilismus Ferien; []
100: Trennung von Sorgen; []
101: Tollheit; []
102: Schlankheit; []
103: Diplomatie; []
104: Fertigkeit in allen Bereichen Autonomie Studium; [8528: Siegpunkte, ]
105: Verständnis Mitleid Intuition; []
106: Intelligenz Sensibilität; []
107: Dialog Autorität Wille; []
108: Schutz; []
109: Gnade Mitleid Glaube Erleichterung Geduld Toleranz; []
110: übermäßige Moral Liebe Bande Wahl Prüfung; []
111: Probe; []
112: Erfolg erkanntes Verdienst; []
113: Evolution Gleichgewicht Eintracht Justiz Naturgesetz; []
114: Probleme mit dem Gesetz; []
115: Weisheit Nachdenken; []
116: Einsamkeit Klugheit; []
117: 5 Besserung günstige aber unbeständige Phase.; []
118: Energie; []
119: Arbeit moralische Stärke Mut Impuls.; []
120: Selbstlosigkeit Idealismus; []
121: Reue Bestrafung.; []
122: rasche Änderung radikale Umformung Hindernis Unglück.; [1292: Zufall, ]
123: Anpassung.; []
124: Magnetismus; []
125: Verführung; []
126: Magie Verdorbenheit; []
127: Haß Frechheit Stolz Anmaßung Gefahr Katastrophe Chaos.; []
128: günstige Vorahnungen neue Ideen Ruhe.; []
129: Vision Abenteuer; []
130: Illusionen seltsame Treffen Reisen.; []
131: Freundschaft Eintracht; []
132: Ehre; []
133: Freude Liebe.; []
134: Erneuerung; []
135: Geburt; []
