0: KOSMOS; []
1: Gute Geschäfte für zwei clevere Händler ab 12 Jahren heißt Hallo in der So begrüßen geschäftstüchtige Händler ihre kauffreudige Kundschaft.; [7090: Kooperative Spielform, ]
2: Schon vor Jahrhunderten gab es im Herzen Afrikas; []
3: eine blühende Von weit her kamen Waren wurden gehandelt und zu Gold gemacht.; []
4: Als Händler versuchen die Spieler durch geschickten und Verkauf gute Geschäfte zu machen.; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 8528: Siegpunkte, ]
5: SPIEL ZIEL; []
6: Es gewinnt wer am Spielende das meiste Gold verdient hat.; [164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
7: SPIEL MATERIAL; []
8: 112 Spielkarten 2 große Marktstände 5 kleine Marktstände 52 23 kleine im Wert 1 29 große im Wert 5 5 36 Waren; [1292: Zufall, ]
9: 5 6 Schmuck Fell Tee; []
10: 4 6 6 6; []
11: Seide; []
12: Früchte Salz für bis 7 11 drei Gegenstände; []
13: SPIEL AUF BAU; []
14: Vorrat für Waren; []
15: Mögliche Fläche für kleinen Marktstand; []
16: Großer Marktstand; []
17: Mögliche Fläche für kleinen Marktstand; []
18: Fläche für Ablagestapel; [1292: Zufall, ]
19: Verdeckter Nachziehstapel; []
20: Vorrat für Mögliche Fläche für kleinen Marktstand; [8536: Aktionspunkte, 1492: Siegbedingung, ]
21: Großer Marktstand; []
22: Mögliche Fläche für kleinen Marktstand für bis zu drei Gegenstände; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
23: SPIEL; []
24: VOR BEREIT; []
25: GEN; []
26: Vor dem Spiel werden die Waren und vorsichtig aus den Rahmen gelöst.; []
27: Die Spieler sitzen sich gegenüber.; [164466: Loswerden, 1492: Siegbedingung, ]
28: Jeder Spieler erhält 1 großen Markt stand grün oder rot den er vor sich ablegt.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
29: Darauf können bis zu sechs Waren abgelegt werden.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
30: Die restlichen Spielkarten werden gut gemischt und als verdeckter Nach ziehstapel in die Tischmitte gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
31: Jeder Spieler erhält 5 Karten die er auf die Hand nimmt.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
32: Die Waren werden als Vorrat aus dem sich beide Spieler bedienen dürfen bereitgelegt.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
33: Die werden als Kasse ebenfalls neben die Waren gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
34: Jeder Spieler nimmt sich daraus als Startkapital Gold im Wert 20 5 kleine und 3 große und legt es offen vor sich ab.; [1292: Zufall, 73230: Symmetrische Startbedingung, 164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
35: Die 5 werden in die Tischmitte gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
36: Der Spieler der mehr Kleingeld in der Tasche hat beginnt.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
37: 1; []
38: SPIELVERLAUF; []
39: Hinweis fürs erste Spiel lebt von den zahl reichen Karten und ihrem cleveren Einsatz zur richtigen Zeit.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
40: Daher dient das erste Spiel vor allem dem lernen der verschiedenen Kartenfunktionen und wird sicher etwas länger dauern als spätere Partien.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
41: Spielüberblick; []
42: Jeder Spieler besitzt einen großen Marktstand auf dem er Waren anbietet.; [1492: Siegbedingung, 8528: Siegpunkte, ]
43: Während des Spiels kann man weitere kleine Marktstände erwerben und so mehr Waren anbieten.; [164466: Loswerden, 3142: Verlierbedingung, ]
44: Durch Ausspielen von Warenkarten kauft man Waren vom Vorrat ein und legt sie auf freie Felder seiner Markt stände.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
45: Ebenso kann man mit Warenkarten Waren verkaufen indem man die Waren von seinen Marktständen in den Vorrat zurücklegt.; [1292: Zufall, 1492: Siegbedingung, 8528: Siegpunkte, ]
46: Der Preis in Gold den man in die Kasse bezahlen muss oder aus der Kasse erhält steht auf den Warenkarten.; [1292: Zufall, 1492: Siegbedingung, 8528: Siegpunkte, ]
47: Personen und Tiere sind Karten die man einmalig ausspielen kann um Vorteile für sich oder Nachteile für den Gegner zu schaffen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8528: Siegpunkte, ]
48: Gegenstände sind Karten die dauerhaft genutzt werden können.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
49: Generell gilt Der Zug eines Spielers teilt sich in 2 Phasen; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
50: die immer in der vorgegebenen Reihenfolge durchgeführt werden müssen; [7090: Kooperative Spielform, ]
51: 1. Karten nachziehen; [1292: Zufall, 164466: Loswerden, ]
52: 2. Karten ausspielen; [1292: Zufall, 164466: Loswerden, ]
53: Ein Spieler hat in seinem Zug immer 5 Aktionen zur Verfügung.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
54: Sein Gegner zählt mit den Aktions die Anzahl der schon ausgeführten Aktionen.; [8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
55: Für jede Aktion nimmt er einen Marker aus der Tischmitte.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
56: Nach dem Spielzug legt er die Marker wieder in die Mitte zurück.; [3173: Gemeinsames Spielfeld, ]
57: Wichtiger Bonus Hat ein Spieler am Ende seines Zuges noch 2 oder mehr Aktionen übrig erhält er 1 Gold aus der Kasse.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
58: Phase 1; []
59: Karten nachziehen; []
60: Der Spieler nimmt die oberste Karte vom Nachziehstapel sieht sie sich geheim an und entscheidet ob er die Karte behält oder offen auf den Ablagestapel legt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
61: Dies kostet 1 Aktion.; [8536: Aktionspunkte, ]
62: Behält er die Karte wechselt er sofort zur 2. Phase; [1292: Zufall, ]
63: Karten ausspielen; []
64: In dieser 2. Phase darf er keine Karten mehr vom Nachziehstapel ziehen es sei denn eine Karte erlaubt das.; [1292: Zufall, 164466: Loswerden, ]
65: Wirft er die Karte ab darf er eine weitere Karte ziehen oder zur 2. Phase wechseln.; [1292: Zufall, ]
66: Jedes Kartenziehen in Phase 1 kostet 1 Aktion.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
67: Der Spieler darf auf diese Weise bis zu 5 Karten anschauen aber nur 1 Karte nehmen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
68: Und zwar darf er nur die jeweils zuletzt aufgedeckte Karte wählen.; [1292: Zufall, ]
69: Er darf also nicht drei Karten anschauen und sich nachträglich doch für die erste Karte entscheiden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
70: Es ist erlaubt alle 5 Aktionen fürs Kartennachziehen in Phase 1 zu verbrauchen.; [1292: Zufall, 8536: Aktionspunkte, ]
71: Der Spieler darf auch auf die 1. Phase; [8536: Aktionspunkte, ]
72: Karten ziehen ganz verzichten und sofort mit der 2. Phase Karten ausspielen beginnen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
73: Dann stehen ihm alle 5 Aktionen in Phase 2 zur Verfügung.; [8536: Aktionspunkte, ]
74: Hinweis; []
75: In den meisten Fällen entscheidet sich ein Spieler dafür Phase 1 zu spielen und eine oder mehrere Karten vom Nachziehstapel zu ziehen um so eine neue auf die Hand zu bekommen.; [1292: Zufall, 3142: Verlierbedingung, 1492: Siegbedingung, ]
76: Phase 2; []
77: Karten ausspielen Generell gilt; [1292: Zufall, 164466: Loswerden, ]
78: Das Ausspielen einer Karte kostet 1 Aktion!; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
79: Gibt es eine Ausnahme dann ist das auf der Karte angegeben.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
80: Es gibt 5 verschiedene die auf unterschied Weise genutzt werden und in beliebiger Reihenfolge ausgespielt werden dürfen; [1292: Zufall, 8536: Aktionspunkte, ]
81: Kleine Marktstände Warenkarten Gegenstände; [1292: Zufall, ]
82: Personen Tiere Kleine; []
83: Marktstände Zu dem großen Marktstand; [3173: Gemeinsames Spielfeld, 8528: Siegpunkte, ]
