0: Auszählung; []
1: Die zählt aus wer gewonnen hat.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
2: Alle die auf liegen die nicht realisiert wurden verfallen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
3: Sie werden von der von der genommen.; []
4: Alle realisierten maximal 5 werden bei 1 beginnend der Reihe nach ausgewertet.; []
5: Jedes Team erhält pro eigenem der eine Mehrheit gefunden hat drei Punkte.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
6: Außerdem jeweils einen Punkt für jeden eigenen der dort liegt.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
7: Alle anderen Teams die auf den realisierten einen oder mehrere haben erhalten ebenfalls pro Stein einen Punkt.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
8: Beispiel Der 5 von der schwarzen Partei hat sich durchgesetzt.; []
9: Schwarz erhält daher drei Punkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
10: Außerdem hat Schwarz noch einen ein Punkt.; [8528: Siegpunkte, ]
11: Rot erhält zwei Punkte für seine beiden Weiß und Blau einen Punkt für ihre auf 5. BLAU 1; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
12: Punkt WEISS 1; [8528: Siegpunkte, 1492: Siegbedingung, ]
13: Punkt Jugendtreff; []
14: BLAU ROT; []
15: WEISS ROT; []
16: SCHWARZ 3 1; []
17: 4 Punkte ROT; [8528: Siegpunkte, 1492: Siegbedingung, ]
18: 1 1 2 Punkte Das Team mit den meisten Punkten hat gewonnen und wird Das Spiel Petra Paul Co. wird herausgegeben von der Landeszentrale für politische Bildung und der Sächsischen Landeszentrale für politische Bildung.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
19: Die Landeszentrale für politische Bildung hat noch weitere Lernspiele und Puzzles veröffentlicht.; []
20: Prospekte erhalten Sie bei der Landeszentrale für politische Bildung Referat 6 Haus auf der Alb Steige 1; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
21: 72574 Bad 07125 Fax 07125 Weitere Materialien und Informationen für die politische in Sachsen stellen die Bibliothek das Medienzentrum und die der Sächsischen Landeszentrale für politische Bildung zur Verfügung.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
22: Die Adresse lautet Sächsische Landeszentrale für politische Bildung Referat 3 01129 Dresden Fax 0351 8531855.; []
23: Der Autor des Spieles Franz hat viele Spiele zu aktuellen Themen um Politik; [164466: Loswerden, 3142: Verlierbedingung, ]
24: Wirtschaft und Umwelt für Jugendliche und Erwachsene entwickelt.; []
25: Wenn dieses Spiel gefallen hat fordern Sie einen Farbprospekt beim Autor an Franz 42 53424 Remagen 02642 6718 Fax 02642 42277.; [3142: Verlierbedingung, 7090: Kooperative Spielform, ]
26: Grafik Bernd 36 89134 07304 2329.; []
27: Nr 2 83 42 7; []
28: Ein freches Spiel über Entscheidungen in der Gemeinde Petra Paul Co schauen sich um in ihrer gemeinde.; [164466: Loswerden, 3142: Verlierbedingung, ]
29: Vieles könnte man besser machen finden sie.; [7090: Kooperative Spielform, ]
30: Deshalb kandidieren sie für die rote blaue grüne schwarze und weiße Partei für das Jede Partei geht mit drei Kandidatinnen Kandidaten ins Jede Kandidatin und jeder Kandidat; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
31: hat einen Programmpunkt zur Verbesserung seiner Heimatgemeinde für den sie er kämpft.; [8528: Siegpunkte, 8536: Aktionspunkte, ]
32: Ob Kandidatin Petra oder Kandidat Paul alle haben interessante Vorschläge so dass wechselnde Mehrheiten und untreue Wähler an der Tagesordnung sind.; [164466: Loswerden, 1492: Siegbedingung, ]
33: Nur wer gute Vorschläge hat sich mit Politik etwas auskennt und Chancen zur Zusammenarbeit nutzt kann Bürgermeisterin oder Bürgermeister werden.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
34: INHALT; []
35: 25; []
36: 1 5 Spielfiguren; []
37: 1 Sanduhr 60 in fünf verschiedenen Farben 15 in fünf verschiedenen Farben 22 33 Spielregel von Franz in Zusammenarbeit mit der Landeszentrale für politische Bildung Referat Schule Hochschule für; [1292: Zufall, ]
