0: Alljährlich treffen sich die dicksten Asiens gestählt von jahrelangem knallhartem Training zu einem Wettbewerb auf Leben und Denn jeder weiß Es kann nur einen geben dem kein Teller zu voll ist!; [8536: Aktionspunkte, ]
1: Dessen Bauch ebenso mächtig wie sein Willen ist!; []
2: Der gleichermaßen geschickt und gefräßig ist!; []
3: 40 Strafpunkte mit den Werten 1 2 Sund 5 1; [8528: Siegpunkte, 1492: Siegbedingung, ]
4: Tisch; []
5: 5 Würfel; []
6: Spielidee Ziel des Spiels ist es die wenigsten Strafpunkte zu kassieren.; [8528: Siegpunkte, 164466: Loswerden, ]
7: Dafür müsst ihr möglichst eure Würfel an eure Nachbarn weitergeben.; [1292: Zufall, 8536: Aktionspunkte, ]
8: Ihr würfelt alle kommt einiges an Hektik auf euch zu!; [1292: Zufall, ]
9: Sobald ein Spieler 10 oder mehr Strafpunkte hat endet das Spiel.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
10: Es gewinnt der Spieler mit den wenigsten Strafpunkten.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
11: Würfel gleich mäßig verteilen Vorbereitung Legt die Strafpunkte den Tisch und die 24 Geschirrteile so in die Tischmitte dass jeder Spieler sie gut erreichen kann.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
12: Nehmt nun die 5 Würfel.; [1292: Zufall, ]
13: Der jüngste Spieler verteilt die 5 Würfel so gleichmäßig wie möglich.; [1292: Zufall, 164466: Loswerden, ]
14: Beispiel; []
15: Im Spiel zu dritt bekommen 2 Spieler je 2 Würfel und Spieler 7 Würfel.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
16: Im Spiel zu siebt hingegen bekommen 5 Spieler je 7 Würfel während 2 Spieler zu Beginn keinen bekommen.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
17: Dann kann losgehen!; []
18: Spielverlauf kommt aus dem japanischen und bedeutet sich möglichst schnell den Bauch voll schlagen Zählt gemeinsam auf 3 und ruft dann Alle die Würfel haben beginnen jetzt diese zu würfeln.; [1292: Zufall, 164466: Loswerden, 7090: Kooperative Spielform, ]
19: Ein hungriger Panda wartet auf niemanden!; []
20: nicht nach Konfuzius; []
21: Alle beginnen gleichzeitig und würfeln dann so schnell sie können Würfeln; [1292: Zufall, 164466: Loswerden, ]
22: Ihr beginnt bei zwar gemeinsam dann würfelt aber jeder so schnell er kann.; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
23: Dein Ziel ist es möglichst schnell lachende zu würfeln um den oder die Würfel an deinen linken weiterzugeben.; [1292: Zufall, 164466: Loswerden, 8536: Aktionspunkte, ]
24: Doch das ist gar nicht so einfach...; []
25: Die Würfelseiten haben die folgende Bedeutung aufgegessen Panda glücklich!; [1292: Zufall, ]
26: Gib diese Würfel sofort weiter!; [1292: Zufall, ]
27: Das leere Geschirr stapelt sich vor dir!; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
28: Du musst für jeden Würfel mit rotem ein stapeln!; [1292: Zufall, 8536: Aktionspunkte, ]
29: Stapeln!; []
30: Der erste Spieler der stapeln muss stellt ein bei auf den Tisch; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
31: Der nächste der stapeln muss stapelt ein beliebiges darauf usw. bis der Turm um fällt...; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
32: Variante für besonders geschickte Baumeister Stapelt falls möglich nur unterschiedliche Geschirrteile aufeinander; [1292: Zufall, ]
33: Ein Teller darf dann beispielsweise nur auf einen Becher oder eine Schüssel gestapelt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
34: Das macht den Turm besonders; []
35: Der Bauch wird wohl langsam voll?; []
36: Bei diesen Würfeln passiert erstmal nichts.; [1292: Zufall, ]
37: Stop!; []
38: Zu viele Würfel Spieler 5 Würfel Spieler; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
39: 4 Würfel; []
40: 6 Spieler 3; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
41: Würfel im ei; [1292: Zufall, ]
42: neW UM Zahlen oder zeigen wirfst sie erneut usw. bis ein Spieler Stop ruft.; [3142: Verlierbedingung, ]
43: Beispiel 7. Daniel würfelt mit 3 Würfeln gleichzeitig einen grünen Panda einen roten und eine 7. 2.; [1292: Zufall, ]
44: Er gibt nun schnell den Würfel mit dem grünen Panda an seinen linken Nachbar weiter.; [1292: Zufall, 8536: Aktionspunkte, ]
45: 3. 4.; []
46: Danach stapelt er einen Becher auf den ohne dass dieser umfällt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
47: Dann nimmt er den Würfel mit dem roten und den Würfel mit der 1 würfelt sie erneut usw.; [1292: Zufall, ]
48: Es kann jetzt natürlich passieren dass der rechte Nachbar einem einen Würfel mit lächelndem Panda zuschiebt während man bereits einen oder mehrere Würfel vor sich liegen ha; [1292: Zufall, 8536: Aktionspunkte, ]
49: Dieser neue Würfel muss nun ebenfalls mitgewürfelt werden bis er einen lächelnden Panda zeigt.; [1292: Zufall, ]
50: 0 wird ein sein gepflastert mit Strafen und Der Pfad des kein historisches Werk aus dem 8.Jh.; [3173: Gemeinsames Spielfeld, ]
51: Sobald ein Spieler mindestens 5 bei Spieler 4 bei Spieler bzw. 3 bei Spieler Würfel vor sich liegen hat oder ungeschick den umwirft rufen alle; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
52: die es sehen laut Stop und das Spiel wird kurz unterbrochen.; [7090: Kooperative Spielform, ]
53: Nun muss der alle Würfel die vor ihm liegen würfeln.; [1292: Zufall, 164466: Loswerden, ]
54: Er addiert alle gewürfelten Zahlen und nimmt sich die entsprechen den Strafpunkte aus dem Vorrat.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, ]
55: Anschließend entfernt er den aus der Mitte verteilt alle Würfel gleichmäßig an sich und seine Mitspieler ruft und es geht wieder los!; [1292: Zufall, 73230: Symmetrische Startbedingung, 164466: Loswerden, ]
56: Keine Zahl gewürfelt?; [1292: Zufall, ]
57: Glück gehabt dann gibt es auch keine Strafpunkte!; [1292: Zufall, 8528: Siegpunkte, ]
58: Strafpunkte Würfel vor einem werfen.; [1292: Zufall, 8528: Siegpunkte, ]
59: Zahlen addieren und entsprechende Strafpunkte nehmen Beispiel; [1292: Zufall, 8528: Siegpunkte, ]
60: Philipp würfelt mit den 4 Würfeln vor sich einen lachen den Panda einen eine 7 und; [1292: Zufall, 8536: Aktionspunkte, ]
61: eine 2. Er nimmt sich 3 Strafpunkte.; [8528: Siegpunkte, ]
62: Beispiel Bei Andre ist der Stapel gekippt.; [1292: Zufall, ]
63: Er wirft nun mit den 2 Würfeln die er gerade vor sich liegen hat eine 2 und einen lachenden Panda.; [1292: Zufall, 8536: Aktionspunkte, ]
64: Er nimmt sich 2 Strafpunkte.; [8528: Siegpunkte, ]
65: Tipp für besonders mutige Lasst den stehen dann ist der Nervenkitzel besonders hoch!; []
66: Der weise Rat der Panda; []
67: Wer darf zuerst stapeln?; [1292: Zufall, ]
68: Waren das wirklich 4 Würfel?; [1292: Zufall, ]
69: Bei wem ist der Stapel gekippt?; [1292: Zufall, 8528: Siegpunkte, ]
70: Bei geht hoch her und nicht immer ist alles ganz eindeutig im Im Zweifel tagt der weise und faire Rat der Panda und entscheidet.; []
71: Wer das ist?; []
72: ihr zusammen natürlich!; []
73: Spielende Spielende 1; [8528: Siegpunkte, ]
74: Spieler hat min. 10 Strafpunkte; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
75: Es gewinnt der Spieler mit den wenigsten Straf punkten Sobald ein 10 oder mehr Strafpunkte gesammelt hat endet das Spiel.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
76: Es gewinnt der Spieler mit den wenigsten Strafpunkten.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
77: Tipp; []
78: Ihr könnt die Zahl der Strafpunkte je nach Spieleranzahl und Lust variieren.; [8528: Siegpunkte, ]
79: Spielt in einer großen Gruppe vielleicht mal bis ein Spieler 7 Strafpunkte hat.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
80: Dafür könnt ihr zu zweit oder zu dritt auch mal bis zu 75 oder gar 20 Strafpunkten spielen!; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
81: Gleichstand?; []
82: Dann kommt es zum Duell!; []
83: Alle am Gleichstand beteiligten Spieler stapeln abwechselnd jeweils ein Bei wem der Stapel kippt scheidet aus.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
84: Wer als letztes übrig bleibt gewinnt!; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
85: Achtung.; []
86: Die 24 Geschirrteile sind nicht für geeignet.; [8536: Aktionspunkte, ]
87: 2017 Ravensburger Spieleverlag GmbH Ravensburger Spieleverlag Postfach 24 60 Ravensburg Distribution Ravensburger 9 23 46 58 http; []
