0: passen Du kannst auch passen anstatt eine Karte zu spielen.; [1292: Zufall, ]
1: Du kannst sogar passen wenn du eine oder hast die du eigentlich spielen könntest.; [3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
2: Wenn du passt bist du trotz dem noch in der und kannst später in der Runde oder spielen falls die Runde nicht vorher endet.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
3: Siegreiche Hand; []
4: Eine besondere ist Siegreiche Hand.; []
5: Sie kann nur mit einer übertrumpft werden.; []
6: Wenn du Siegreiche Hand spielst und jemand antwortet mit einer können danach wieder beliebige und gelegt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
7: Eine Runde verlassen; []
8: Einige Karten erlauben dir oder zwingen dich die zu verlassen.; [1292: Zufall, 164466: Loswerden, ]
9: Wenn du eine verlässt kannst du für den Rest der keine oder spielen du darfst aber trotzdem noch und passende spielen.; [3142: Verlierbedingung, ]
10: Natürlich ist es möglich dass du eine startest oder Ich erhöhe! spielst und dann sofort anschließend mit einer weiteren Karte die Runde verlässt um das Bezahlen zu vermeiden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
11: Alle anderen Spieler die sich noch in der Runde befinden müssen normal Gold setzen.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
12: Wenn danach alle Spieler passen geht das eingesetzte Gold an die Taverne.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
13: Runde beenden; []
14: Wenn du eine oder spielst und alle anderen passen endet die Du gewinnst nun das eingesetzte Gold und lege es auf deinen Stapel.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
15: Es gibt die eine Runde beenden oder den Ausgang einer Runde verändern können nachdem sie beendet wurde.; [1492: Siegbedingung, ]
16: Falls eine dieser Karte gespielt wird folge den Anweisungen auf der Karte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 166903: Ankommen, ]
17: Wenn die vorbei ist wird das normale Spiel fort gesetzt.; [1492: Siegbedingung, 166903: Ankommen, ]
18: Der Spieler der die Runde begonnen hat macht mit sei Getränke weiter.; [3142: Verlierbedingung, 1492: Siegbedingung, ]
19: Wenn du kein Gold mehr hast; []
20: Wenn dir während einer das Gold ausgeht bleibst du mindestens noch bis zum Ende der Runde im Spiel.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
21: Ignoriere alle Karten die dich dazu zwingen Gold zu bezahlen oder einzusetzen.; [1292: Zufall, 164466: Loswerden, ]
22: Wenn du Ich erhöhe!; []
23: spielst müssen die anderen Spieler ebenfalls nichts einsetzen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
