0: KOSMOS; []
1: Legt die verdeckt vor euch ab.; [1292: Zufall, ]
2: Übrige und Spielfiguren kommen zurück in die Schachtel.; []
3: Legt den Spielplan in die Mitte sodass ihr ihn alle gut er reichen könnt.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
4: Sortiert die Karten so zu einem Stapel dass die gelbe Vorderseite nach oben und die rote Rückseite nach unten zeigt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
5: Dann werden die Karten gemischt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
6: Auf jeder Karte gibt es vier Fragen zu einer Kategorie mit je drei Antwortmöglichkeiten.; [1292: Zufall, ]
7: Auf der Rückseite findet ihr die richtige Antwort mit einem kurzen Es wird im Uhrzeigersinn gespielt.; [166903: Ankommen, ]
8: Der jüngste Spieler fängt an.; [1292: Zufall, 164466: Loswerden, 7090: Kooperative Spielform, ]
9: Er ist nun der Quizmaster und nimmt die oberste Karte vom Stapel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
10: Er legt die Karte so vor sich ab oder nimmt sie so in die Hand dass niemand die Rückseite sehen kann.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
11: Der Spieler links neben dem Quizmaster nennt nun eine Zahl von 1 bis 4 zum Beispiel 3; [1292: Zufall, 1492: Siegbedingung, ]
12: Das heißt dass die dritte Frage auf der Karte gestellt wird.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
13: Der Quizmaster liest die Überschrift der Karte die genannte Frage und die dazugehörigen Antwortmöglichkeiten laut und deutlich vor.; [1292: Zufall, ]
14: Einen Tipp abgeben; []
15: Nachdem die Frage vorgelesen wurde dürfen alle Spieler raten auch der Quizmaster.; [164466: Loswerden, ]
16: Dazu nimmt jeder seine Chips in die Hand und wählt den Buchstaben der Antwort die seiner Meinung nach richtig ist.; [1292: Zufall, 164466: Loswerden, 8528: Siegpunkte, ]
17: Diesen Chip legt er verdeckt mit dem Buchstaben nach unten vor sich ab.; [1292: Zufall, ]
18: Gecheckt?; []
19: Haben alle Spieler einen Chip vor sich abgelegt wird auf gelöst und die Karte umgedreht.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
20: Der Quizmaster liest die richtige Antwort und den vor.; [7090: Kooperative Spielform, ]
21: Dann drehen alle Spieler den vor sich liegenden Chip um und überprüfen wer die Frage richtig beantwortet hat.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
22: Jeder Spieler der einen Chip mit dem richtigen Buchstaben vor sich liegen hat darf mit seiner Spielfigur ein Feld vorwärtsgehen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
23: Hat ein Spieler den falschen Buchstaben gelegt bleibt seine Figur stehen.; [164466: Loswerden, 7090: Kooperative Spielform, ]
24: Die vorgelesene Karte wird neben den Kartenstapel gelegt und bildet dort einen Ablagestapel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
25: Dann ist der nächste Spieler an der Reihe.; []
26: Er ist nun der Quiz master nimmt sich die oberste Karte des Stapels und fragt seinen linken Nachbarn nach einer Zahl von 1 bis 4. Dann wird die entsprechende Frage vorgelesen; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
27: Die Knobelfelder Auf dem Spielplan gibt es drei blaue Knobelfelder.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
28: Hier haben die Spieler die bisher beim Tippen noch nicht so viel Glück hatten die Chance ein Feld aufzuholen.; [1292: Zufall, ]
29: Geknobelt wird immer dann wenn der oder die führenden Spieler eines der Knobelfelder erreichen.; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, 8528: Siegpunkte, ]
30: Dann dürfen die beiden Spieler die am weitesten hinten liegen miteinander knobeln.; [8536: Aktionspunkte, ]
31: Dazu nehmen sie ihre und wählen einen beliebigen Buchstaben aus.; [1292: Zufall, ]
32: Diesen Chip legen sie verdeckt vor sich ab.; [1292: Zufall, ]
33: Haben beide Spieler einen Chip vor sich abgelegt werden die beiden Chips gleichzeitig umgedreht.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
34: Es gilt Der Gewinner der Knobelrunde darf mit seiner Spielfigur auf dem Spielplan ein Feld vorrücken.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
35: Die Spielfigur des Verlierers bleibt stehen.; []
36: Haben zwei Spieler denselben Buchstaben gelegt gibt es ein Unentschieden und beide dürfen mit ihrer Figur ein Feld vorrücken.; [8536: Aktionspunkte, ]
37: Liegen drei Spieler gleich weit hinten dann dürfen alle Spieler miteinander knobeln.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
38: Werden die Buchstaben AB und gelegt gibt es ein Unentschieden und alle drei Spieler dürfen ein Feld vorrücken.; [1292: Zufall, 164466: Loswerden, ]
39: Liegt ein Buchstabe doppelt bleiben alle Figuren stehen.; [7090: Kooperative Spielform, ]
40: Sonderfälle beim Knobeln; []
41: Liegt nur ein Spieler hinten und alle anderen Spieler ziehen gleichzeitig auf ein Knobelfeld dann wird nicht geknobelt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
42: Der Spieler der hinten liegt darf ein Feld vorrücken.; [8536: Aktionspunkte, ]
43: Liegen alle Spieler gleichauf und ziehen gleichzeitig auf ein Knobelfeld wird nicht geknobelt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
44: Beim Spiel zu zweit wird geknobelt wenn der führende Spieler auf einem Knobelfeld landet.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
45: Gewinnt der zurück liegende Spieler darf er seine Spielfigur ein Feld nach vorn rücken.; [1292: Zufall, 8536: Aktionspunkte, ]
46: Gewinnt der führende Spieler bleiben beide Spiel figuren stehen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
47: Ende des Spiels; []
48: Wenn ein Spieler das Zielfeld mit seiner Spielfigur erreicht ist das Spiel sofort beendet.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
49: Dieser Spieler ist der Kommen mehrere Spieler gleichzeitig ins Ziel gibt es mehrere Sieger oder ihr ermittelt durch Knobeln oder eine letzte einen eindeutigen Sieger.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
50: Für alle die noch mehr wissen wollen gibt es das große mit über 1.200 Fragen und Antworten.; [164466: Loswerden, ]
51: Art.-Nr.; []
52: 697426 Strom 2013 für den Bayerischen Rundfunk.; []
53: Alle Rechte Vorbehalten.; [164466: Loswerden, ]
54: Lizenz durch Spielidee; []
55: Sandra Text und Redaktion Julia Gestaltung Grafik Design Müller Götz Fotos 2013; []
56: Co.l; []
57: 5 7 70184 Stuttgart Tel. 49 711 Fax 49 711 info kosmos.de 1 http info kosmos.de; []
