0: 2 BIS 5; []
1: SPIELER; []
2: AB 12 JAHREN 30; []
3: MINUTEN lässt uns die Dinge aus einem anderen Blickwinkel sehen ein unterhaltsames Spiel für alle voller Überraschungen.; [3142: Verlierbedingung, ]
4: SPIELZIEL; []
5: Das Ziel des Spiels ist es die von den Mitspielern gebildeten Wörter zu erraten beginnend mit dem letzten Buchstaben!; []
6: Punkte gibt es für den der das Wort errät und für den der es gebildet hat.; [8528: Siegpunkte, 1492: Siegbedingung, ]
7: Wer zuerst 24 Punkte erreicht gewinnt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
8: SPIELMATERIAL; []
9: 110 Buchstabenkarten Konsonanten und in unterschiedlicher Farbe; [1292: Zufall, ]
10: 30 Streichhölzer 1 Spielregel; []
11: Papier und Stift werden zusätzlich benötigt; []
12: SPIELVERLAUF; []
13: Schreiben Sie die Namen aller Mitspieler auf.; [164466: Loswerden, ]
14: Jeder bekommt 5 Streichhölzer.; [1492: Siegbedingung, ]
15: Mischen Sie die Karten und teilen Sie verdeckt an jeden Mitspieler 8 Karten aus.; [1292: Zufall, ]
16: Die Spieler nehmen die Karten auf die Hand und bilden aus den Buchstaben ein Wort Dazu müssen 8 Karten verwendet werden.; [1292: Zufall, ]
17: Dann legen Sie die Karten aus denen das Wort gebildet wurde verdeckt vor sich ab und zwar so dass das Wort in Leserichtung Ihrer Mitspieler zu liegen kommt.; [1292: Zufall, ]
18: Das heißt der erste Buchstabe Ihres Wortes steht auf dem Kopf und liegt von Ihnen aus rechts.; [7090: Kooperative Spielform, ]
19: Karten die nicht verwendet werden kommen zur Jeder Spieler hat nun 5 Versuche um alle Wörter einer Spielrunde zu erraten.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
20: Man beginnt mit dem Wort des jüngsten Mitspielers.; []
21: Dieser deckt den letzten Buchstaben seines Wortes von ihm aus gesehen ganz links auf.; []
22: Möchte ein Spieler raten spricht er das Wort einfach laut aus.; [1292: Zufall, 164466: Loswerden, ]
23: Jeder Rateversuch kostet aber 1 Streichholz das in die Tischmitte gelegt wird.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
24: Wird das Wort nicht erraten wird der nächste Buchstabe aufgedeckt der vorletzte de Wortes Nun sind zwei Buchstaben bekannt und die Mitspieler dürfen erneut raten.; []
25: Möchte kein Mitspieler einen Tipp abgeben wird die nächste umgedreht.; []
26: Ist das Wort des jüngsten Spielers erraten kommt dasjenige des nächsten an die Reihe.; [1492: Siegbedingung, ]
27: So wird ein Wort nach dem anderen Buchstabe um Buchstabe aufgedeckt bis kein Spieler mehr Streichhölzer übrig hat.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
28: Die Punkte werden notiert sobald ein Spieler ein Wort erraten hat oder alle Spieler ihre Streichhölzer aufgebraucht haben.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
29: Am Ende der Runde werden die Karten neu gemischt alle Mitspieler erhalten wieder 8 Karten und 5 Streichhölzer und die nächste Runde kann beginnen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
30: Das Amt des wechselt im Uhrzeigersinn.; []
31: Aufgepasst; []
32: Alle Wörter müssen in gängigen Wörterbüchern zu finden sein es sei denn die Spieler vereinbaren etwas anderes.; [164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, ]
33: Alle Mitspieler können frei entscheiden ob sie weiterspielen oder die Streichhölzer für später behalten möchten.; []
34: Umlaute und ei sind nicht als eigenständige Buchstabenkarten enthalten.; [1292: Zufall, ]
35: Sie werden aus den vorhandenen folgender maßen zusammengesetzt ei und Kann ein Spieler aus seinen 8 Karten kein Wort bilden darf er alle zurücklegen und durch 8 neue Karten vom Stapel ersetzen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
36: PUNKTEVERGABE; []
37: Jeder Buchstabe zählt 1 Punkt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
38: Ein Wort aus 6 Buchstaben bringt also 6 Punkte ein.; [8528: Siegpunkte, 1492: Siegbedingung, ]
39: Der Spieler der das Wort gebildet hat und der der es erraten konnte teilen sich die Punkte.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
40: Die Punktzahl hängt von der Anzahl der aufgedeckten Buchstaben ab.; [1292: Zufall, 8528: Siegpunkte, ]
41: Der Spieler der das Wort gebildet hat erhält 1 Punkt für jeden Buchstaben; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
42: der aufgedeckt war als das Wort erraten wurde.; [1492: Siegbedingung, ]
43: Der Spieler der es erraten hat erhält umgekehrt 1 Punkt für jeden noch nicht aufgedeckten Buchstaben.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
44: Wenn die Spieler keine Streichhölzer mehr haben dreht der Spieler der das Wort gebildet hat die restlichen Buchstabenkarten um und deckt so das ganze Wort auf.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
45: In diesem Fall erhält er automatisch 1 Punkt für jeden Buchstaben des Wortes.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
46: Die Punkte werden nach jeder Runde auf dem Zettel notiert.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
47: BEISPIEL; []
48: Ein Spieler hat ein Wort aus 7 Buchstaben gebildet; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
49: LEXIKON; []
50: .; []
51: 4 Buchstaben wurden erst aufgedeckt aber kein Spieler hat mehr Streichhölzer zur Verfügung.; [164466: Loswerden, 1492: Siegbedingung, ]
52: Der Spieler deckt die restlichen 3 Karten seines Wortes auf und bekommt 7 Punkte.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
53: Aufgepasst!; []
54: Wenn es ein Wort nicht gibt oder es falsch geschrieben ist verliert der Spieler der es gebildet hat 1 Punkt für jeden Buchstaben egal ob das Wort erraten wurde oder nicht.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
55: ENDE; []
56: DES SPIELS; []
57: Wer zuerst 24 Punkte erreicht gewinnt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
58: VARIANTEN; []
59: Sie können auch folgende Variante spielen Fangen Sie mit dem ersten Buchstaben jedes Wortes an!; [3142: Verlierbedingung, 1492: Siegbedingung, ]
60: Oder wenn Sie es anspruchsvoller lieben geben Sie jedem Mitspieler 10 oder 12 Karten.; [1292: Zufall, 8528: Siegpunkte, ]
61: mose Autor Game Grafik Gestaltung 2014 moses.; []
62: Verlag GmbH Kempen; []
63: 2014 de 30 Lausanne; []
