0: 30 Tun saute de du de 33 tut es 1 2. 44; []
1: du ton aura; []
2: 48 de tun; []
3: plus de passe 2 ton tour.; []
4: suite de necessaire.; []
5: aura premier du de de supplementäres plus Haben Sie Fragen oder Anregungen zu diesem Spiel?; []
6: Wir stehen Ihnen jederzeit zur Verfügung.; [8536: Aktionspunkte, ]
7: Schreiben Sie uns oder rufen Sie an.; [8536: Aktionspunkte, ]
8: 1994; []
9: Brüssel Lizenz durch Merchandising GmbH München 1995; []
10: Schmid Prien 70533.9; []
11: Zwei lustige für 2 6 Kinder ab 5 Jahren.; [7090: Kooperative Spielform, ]
12: Spielmaterial 1 doppelseitiger Spielplan 1 Würfel 6; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
13: Spielfiguren Halter; []
14: Vor dem allerersten Spiel müssen die Figuren vorsichtig aus der Stanztafel heraus gedrückt und in die Halter gesteckt werden.; []
15: Spielziel; []
16: Es gewinnt wer mit seiner Spielfigur als erster das Zielfeld wieder erreicht.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
17: Spielverlauf; []
18: Jeder Spieler wählt eine Spielfigur aus und stellt sie auf das Start feld.; [1292: Zufall, 73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
19: Der jüngste beginnt danach geht es reihum so weiter wie die Uhr läuft.; [8536: Aktionspunkte, ]
20: Wer an der Reihe ist würfelt und bewegt seine Figur um die vollständige Augenzahl im Uhrzeigersinn vorwärts.; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
21: Auf einem Feld passiert nichts weiter.; []
22: Auf einem Feld mit einem grün darf man sofort vor auf das nächste springen.; [3173: Gemeinsames Spielfeld, ]
23: Auf dem letzten kann man allerdings nicht mehr weiter nach vorn springen.; []
24: Bei Tomahawk rot ist es gerade umgekehrt hier muß man zurück auf das nächste springen.; []
25: Wer auf das erste zieht muß zurück zum Startfeld.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 166903: Ankommen, ]
26: Auf einem Feld mit einem Tipi blau muß man sich ausruhen; [8536: Aktionspunkte, ]
27: man muß dort so lange stehenbleiben bis irgendein Spieler auf oder über dieses Feld zieht.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 166903: Ankommen, ]
28: 1 Erst dann darf weitergezogen werden.; [1292: Zufall, ]
29: Sollte ein Spieler an letzter Stelle sein wenn er hier landet gilt das Feld nicht er kann in der nächsten Runde ganz normal weiterziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
30: Besetzte Felder können jederzeit betreten werden ein Hinauswerfen; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
31: gibt es nicht.; []
32: Wer auf diese Weise als erster ins Ziel kommt hat gewonnen.; [164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
33: Spielziel; []
34: Es gewinnt wer mit seiner Spielfigur als erster das blaue Zielfeld erreicht.; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
35: Spielverlauf Jeder von euch erhält eine Spielfigur und stellt sie auf das Startfeld rosa Feld mit Pfeil Reihum wird einmal gewürfelt.; [1292: Zufall, 73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
36: Wer die höchste Zahl hat fängt an.; [8528: Siegpunkte, 1492: Siegbedingung, ]
37: Danach geht es im Uhrzeigersinn weiter.; []
38: Kommt ein Spieler an die Reihe würfelt er und bewegt seine Figur entsprechend der Augenzahl vorwärts.; [1292: Zufall, 164466: Loswerden, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
39: Jedes Feld zählt einen Punkt.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
40: Besetzte Felder können jederzeit betreten werden ein Hinauswerfen; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
41: gibt es nicht.; []
42: Auf gelben Feldern passiert nichts weiter endet die Bewegung auf einem orange oder einem roten Feld muß der betroffene Spieler nachlesen welches Ereignis ihn dort erwartet und es sofort ausführen.; [8536: Aktionspunkte, ]
43: Ereignisse orange Feld 3; []
44: Du hast einen besonders großen Sprung gemacht 5 Felder vorrücken.; []
45: Feld 9 Großes 2 würfeln und um die Gesamtzahl vorrücken.; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
46: Feld 12; []
47: Ein Schluck frischer Milch verleiht Dir neue Energie noch einmal würfeln und vorrücken.; [1292: Zufall, 8536: Aktionspunkte, ]
48: Feld 20; []
49: Du strengst Dich besonders an und holst auf vorrücken bis zur nächsten Spielfigur.; [1292: Zufall, ]
50: Feld; []
51: 26 Schon die Hälfte des Rennens geschafft.; [1492: Siegbedingung, ]
52: Das gibt neue Kraft 3 Felder vor.; []
53: Feld 36; []
54: Du entdeckst eine Abkürzung und springst auf Feld; [3173: Gemeinsames Spielfeld, ]
55: 42. Feld 38; []
56: Dein ärgster Verfolger kommt immer näher.; []
57: Das spornt Dich besonders an noch einmal würfeln und vorrücken.; [1292: Zufall, 8536: Aktionspunkte, ]
58: Feld 41; []
59: Die letzte Gelegenheit vor dem Ziel vorrücken bis zur ersten Spielfigur.; []
60: 2 Ereignisse rot; []
61: Feld 5; []
62: Du hast einen schlechten Start erwischt 3 Felder zurück.; []
63: Feld 16; []
64: Dein Sack ist beim Springen gerissen 1 aussetzen.; []
65: Feld 23; []
66: Du wirst von einem anderen Schlumpf überholt zurück zur nächsten Spielfigur.; []
67: Feld 30 Du paßt nicht auf und springst in die falsche Richtung einmal würfeln und zurücksetzen.; [1292: Zufall, ]
68: Feld 33; []
69: Du stolperst über eine Wurzel und fällst auf die Nase nur bei einer 1 oder 2 weiterziehen.; [1292: Zufall, ]
70: Feld 44; []
71: Du willst das Rennen spannend machen und wartest auf Deine Verfolger; []
72: Du darfst erst weiterspielen wenn wenigstens eine andere Spielfigur auf oder über dieses Feld gezogen ist.; [1292: Zufall, 8536: Aktionspunkte, 166903: Ankommen, ]
73: Feld 48 Kurz vorm Ziel geht Dir die Puste aus 2 aussetzen.; []
74: Übrigens Landet eine Figur durch ein Ereignis auf einem anderen Ereignisfeld so wirkt sich auch dieses Feld aus usw.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
75: Wer als erster mit seiner Spielfigur das Zielfeld erreicht überzählige Würfelpunkte verfallen ist Sieger.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
76: 2 6 5; []
77: 1 1 6 de de in de worden.; []
78: van; []
79: Wie met oranje start ledere die oranje 3; []
