0: SOLO; []
1: 03900; []
2: DAS VERRÜCKTE; []
3: FÜR GARANTIERTEN; []
4: Spieler Personen; []
5: Alter ab 6 Jahren Dauer; [7090: Kooperative Spielform, ]
6: 30 Minuten Inhalt 112 Spielkarten 72 Farbkarten 28 farbige und 12 schwarze Aktionskarten; [1292: Zufall, ]
7: SPIELZIEL; []
8: Das Spielziel ist es als Erster alle Karten aus der Hand abzulegen.; [1292: Zufall, 164466: Loswerden, ]
9: SPIELVORBEREITUNG; []
10: Ein Spieler wird bestimmt der die Karten mischt und verteilt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
11: Jeder Spieler erhält acht Karten.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
12: Die restlichen Karten kommen als verdeckter Zugstapel in die Mitte des Tisches.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
13: Die oberste Karte wird aufgedeckt und offen neben den Zugstapel gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
14: Dies ist der Beginn des Ablagestapels.; [1292: Zufall, ]
15: Sollte dies eine Aktionskarte sein muss der Spieler der das Spiel beginnt die Anweisung der Aktionskarte befolgen.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
16: SPIELABLAUF; []
17: Der Spieler links vom Kartengeber beginnt danach geht es im Uhrzeigersinn weiter.; [1292: Zufall, ]
18: Wer an der Reihe ist hat folgende Möglichkeiten Karten aus der Hand auszuspielen; [1292: Zufall, ]
19: 1. ABLEGEN; [164466: Loswerden, ]
20: Der Spieler kann eine passende Karte auf den Ablagestapel legen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
21: Eine passende Karte ist eine Karte mit gleicher Farbe gleicher Zahl oder gleichem wie die oberste Karte auf dem Ablagestapel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
22: Eine passende Karte ist auch immer eine schwarze Aktionskarte.; [1292: Zufall, ]
23: Danach ist der nächste Spieler an der Reihe.; [164466: Loswerden, ]
24: Beispiel Liegt eine rote 9 auf dem Ablagestapel kann eine 9 in einer beliebigen Farbe eine rote Karte mit beliebiger Zahl eine rote Aktionskarte oder eine der schwarzen Aktionskarten abgelegt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
25: Wurde nach der roten 9 eine blaue 9 gelegt muss der nächste Spieler entweder wieder eine 9 ablegen eine beliebige blaue Karte oder eine blaue bzw. schwarze Aktionskarte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
26: 2.; []
27: Hat ein Spieler genau die gleiche Karte auf der Hand wie die oberste Karte auf dem Ablagestapel so darf er diese Karte sofort auf den Ablagestapel werfen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
28: Dabei ist es gleichgültig ob der Spieler an der Reihe ist oder nicht!; []
29: Danach ist der nächste Spieler nach dem in Spielrichtung an der Reihe.; []
30: Achtung; []
31: Bei Aktionskarten ist auf deren Bedeutung zu achten.; [1292: Zufall, ]
32: Das heißt der nächste Spieler muss die Anweisung der gespielten Aktionskarte befolgen!; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
33: 3.; []
34: ZIEHEN; []
35: Wer keine passende Karte ablegen kann oder will muss eine Karte vom Zugstapel auf die Hand nehmen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
36: Die gezogene Karte kann sofort ausgespielt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
37: Danach kommt der nächste Spieler an die Reihe wenn nicht ein Spieler schneller dazwischen wirft.; [1292: Zufall, ]
38: AKTIONSKARTEN; []
39: Aktionskarten in den vier Farben können ausgespielt werden wenn eine Karte mit der entsprechenden Farbe oben auf dem Ablagestapel liegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
40: Schwarze Aktionskarten passen auf jede beliebige Karte des Ablagestapels und haben die Bedeutung eines Jokers AUSSETZEN; [1292: Zufall, ]
41: Die Aktionskarte Aussetzen gibt es in vier Farben rot grün blau und gelb Wer an der Reihe ist kann sie ausspielen falls die oberste Karte des Ablagestapels die gleiche Farbe hat oder ebenfalls eine Aussetzen ist.; [1292: Zufall, ]
42: Der nächste Spieler in Spielrichtung darf weder eine Karte ablegen noch eine Karte vom Zugstapel ziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
43: Er muss passen und der übernächste Spieler in Spielreihenfolge ist an der Reihe.; []
44: Die Aktionskarte gibt es in vier Farben rot grün blau und gelb Wer an der Reihe ist kann sie ausspielen falls die oberste Karte des Ablagestapels die gleiche Farbe hat oder ebenfalls eine Karte ist.; [1292: Zufall, ]
45: Sofort ändert sich die Spielrichtung.; [8528: Siegpunkte, 1492: Siegbedingung, ]
46: Wurde zum Beispiel bisher im Uhrzeigersinn gespielt wird ab sofort gegen den Uhrzeigersinn gespielt.; [166903: Ankommen, ]
47: Damit wäre der Spieler rechts von dem der eben an der Reihe war als nächster dran.; [164466: Loswerden, ]
48: 2; []
49: Die Aktionskarte 2 gibt es in vier Farben rot grün blau und gelb Wer an der Reihe ist kann sie ausspielen falls die oberste Karte des Ablagestapels die gleiche Farbe hat oder ebenfalls eine 2 ist.; [1292: Zufall, ]
50: Der nächste Spieler muss nun zwei Karten vom Zugstapel ziehen oder kann verlängern er legt eine weitere Aktionskarte 2 auf den Ablagestapel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
51: Der nächste Spieler muss dann vier Karten ziehen oder seinerseits die Aktionskarte 2 ausspielen usw.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
52: Hat ein Spieler zwei oder mehr Karten gezogen führt er danach seinen normalen Spielzug mit Ablegen oder Ziehen einer Karte durch.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
53: KARTENTAUSCH; []
54: MIT; []
55: EINEM; []
56: MITSPIELER; []
57: Die Aktionskarte Kartentausch mit einem Mitspieler gibt es in vier Farben rot grün blau und gelb Wer an der Reihe ist kann sie ausspielen falls die oberste Karte des Ablagestapels die gleiche Farbe hat oder ebenfalls eine Kartentausch ist.; [1292: Zufall, ]
58: Der Spieler bestimmt dann einen Mitspieler und tauscht alle seine Handkarten mit ihm aus.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
59: Hat ein Spieler keine passende Karte oder er will eine andere Farbe bestimmen dann kann er die Aktionskarte ausspielen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
60: Diese Aktionskarte ist ein Joker; [1292: Zufall, ]
61: sie kann daher auf jede Karte des Ablagestapels gelegt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
