0: Wo kommen eigentlich Geister her? schlüpfen natürlich aus Und wo findet man Meistens auf der dunkelsten Lichtung im auf dem Blaubeer busch!; [7090: Kooperative Spielform, ]
1: Dort liegen sie seit genau Jahren und schon bald wollen die kleinen Geister endlich raus.; []
2: Doch zum Schlüpfen müssen die in die alte Burg gebracht werden.; []
3: Helft der Charlotte die unter ihrem Umhang in die Burg zu bringen!; [3173: Gemeinsames Spielfeld, 8528: Siegpunkte, ]
4: Doch das leicht!; []
5: Denn die kleinen wackeln schon ganz aufgeregt und der Weg zur Burg ist auch noch mit vielen Hindernissen übersät.; []
6: Da kann es schon mal passieren dass ein herunterfällt.; []
7: Das macht aber nichts denn sind ja ganz weich.; []
8: Aber landet das sicher in der Burg seht ihr wie viele Geister aus dem Ei schlüpfen.; []
9: Wer den meisten Geistern beim Schlüpfen geholfen hat gewinnt.; [1492: Siegbedingung, 7090: Kooperative Spielform, 8528: Siegpunkte, ]
10: des du de de 111 ans de de Mais Charlotte cape Mais nest 1 plus Mais nest bon port de de faire plus grand eise?; []
11: !; []
12: in bush in 111 will out tobe Charlotte her cape! not terrors down in matter soft.; []
13: just see person most; []
14: Da eigen de in 111 willen de kleine er Maar de de worden gebracht.; []
15: Charlotte de de haar mantel de niet de kleine ende weg de met hindernissen.; []
16: er niet; []
17: Als de gebracht je de ei De die de ei gewonnen.; []
18: In 111 che ei hanno per Che ben none tutti eil None che Chi ha numero ha game Baut die Burg entsprechend den Ab bild gen und zusammen.; []
19: Platziert den Busch etwa 3 4 Meter entfernt von der Burg.; []
20: Mischt die gut durch und legt in jedes der 9 Felder der Burg ein zufälliges so dass die kleinen Geister sichtbar sind.; [1292: Zufall, 1492: Siegbedingung, ]
21: Die restlichen bleiben als verdeckter Vorrat in 2 Stapeln neben der Burg liegen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
22: Nehmt euch jeder 1 und legt es vor euch ab.; [1292: Zufall, ]
23: Der Würfel wird bereit gelegt.; [1292: Zufall, ]
24: 3 4; []
25: du 2 du des vers haut.; []
26: 2 du 1 de. an bush well stack in rest in 2 player nest in front samen de foto; []
27: sO de 3 4 meter van de de met de in 2 Stapels de in van de 9 van de de kleine ledere 1 legt De 3 4 in 2; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
28: In 9 in che 1 mette Spielverlauf; []
29: Wie Charlotte hebt und schwebt; []
30: Vor dem ersten Spiel darf jeder ein paarmal üben das Ei mit Charlotte aufzunehmen.; []
31: Halte Charlotte am Kopf eine über dem Ei.; []
32: Bewege nun Charlotte ganz kurz nach oben und bewege sie dann mit Schwung nach unten.; []
33: Dabei weht ihr Um hang nach oben und legt sich dann über das Ei.; [1292: Zufall, ]
34: Hebe nun Charlotte vorsichtig nach oben damit das Ei im Umhang hängen bleibt.; []
35: Der jüngste Spieler beginnt das Spiel.; [164466: Loswerden, 3142: Verlierbedingung, ]
36: Nimm Charlotte am Kopf und gehe zum Der Spieler links von dir nimmt sich den Würfel und würfelt einmal.; [1292: Zufall, 164466: Loswerden, 8536: Aktionspunkte, ]
37: Das Würfelergebnis sagt er laut an.; [1292: Zufall, ]
38: Hebe nun das mit Hilfe von Charlotte wie unter beschrieben vorsichtig an.; [8536: Aktionspunkte, ]
39: Der Würfel zeigt an wie du Charlotte und das Ei zurück zur Burg bringen musst Gehe auf zur Burg.; [1292: Zufall, ]
40: 9 Hocke Gehe in der Hocke zur Burg.; []
41: Über dem Kopf Halte Charlotte über dem Kopf während du zur Burg gehst.; [8536: Aktionspunkte, ]
42: Laufe einmal um den Blau herum bevor du zur Burg gehst.; [8536: Aktionspunkte, ]
43: Stein Das Kind; []
44: das gewürfelt hat setzt sich auf den Boden; [1292: Zufall, ]
45: macht sich so klein wie möglich und bewegt sich nicht.; [8536: Aktionspunkte, ]
46: Steige vorsichtig über das Kind und gehe zur Burg.; []
47: Riese Das Kind das gewürfelt hat stellt sich mit gespreizten Beinen auf.; [1292: Zufall, ]
48: Krabble unter seinen Beinen durch und gehe zur Burg.; [8536: Aktionspunkte, ]
49: Hast du das Ei auf dem Weg zur Burg verloren?; [8536: Aktionspunkte, ]
50: Kein Problem halten das aus denn sie sind ja ganz weich.; []
51: Lege das Ei zurück auf den und versuche noch einmal es hochzuheben und zur Burg zu bringen.; [3173: Gemeinsames Spielfeld, ]
52: Du hast insgesamt 3 Versuche.; [8528: Siegpunkte, ]
53: Wenn es dann nicht geklappt hat ist der Spieler links neben dir an der Reihe das in die Burg zu bringen.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
54: Hast du Charlotte und das Ei bis zur Burg gebracht?; []
55: Sehr gut!; []
56: Halte Charlotte knapp über die Burg.; []
57: Der untere Rand ihres Umhangs sollte dabei ungefähr auf der Höhe des Turms sein.; []
58: Führe nun die gleiche Bewegung wie beim Aufheben des durch und lass das in die Burg fallen.; []
59: Das fällt nun in eines der 9 Felder der Burg.; []
60: Dieses Plättchen darfst du dir nehmen und in dein legen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
61: Das zeigt dir wie viele kleine Geister aus dem Ei geschlüpft sind.; []
62: Lege anschließend offen 1 neues aus dem Vorrat auf die freie Stelle in der Burg so dass wieder alle 9 Felder belegt sind.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
63: Achtung; []
64: Sollte das wieder aus der Burg springen erhältst du kein Lege das wieder auf den und gib Charlotte an den Spieler links neben dir weiter.; [8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
65: Er ist nun an der Reihe mit Charlotte das in die Burg zu bringen.; [3173: Gemeinsames Spielfeld, 8528: Siegpunkte, ]
66: Der Spieler links von ihm nimmt den Würfel und würfelt.; [1292: Zufall, 164466: Loswerden, ]
67: So geht das Spiel im Uhrzeigersinn weiter.; []
68: Spielende Sobald einer von euch das 6. Plättchen in sein gelegt hat endet das Spiel sofort.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
69: Nun zählt ihr die kleinen Geister auf den zusammen die ihr in eurem Nest gesammelt habt.; [1492: Siegbedingung, 8528: Siegpunkte, ]
70: Wer die meisten Geister hat schlüpfen lassen gewinnt das Spiel.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
71: Bei Gleichstand gibt es mehrere Gewinner.; [1492: Siegbedingung, 8528: Siegpunkte, ]
72: Hilfe für ganz junge Spieler; [164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
73: Es erfordert etwas Übung; []
74: Charlotte richtig fliegen zu lassen und das anheben zu können.; [8536: Aktionspunkte, ]
75: Solltet ihr es nicht schaffen das Ei aufzunehmen könnt ihr auch Charlotte direkt über das Ei halten und den Umhang leicht an das Ei; []
76: Wenn ihr nun Charlotte am Kopf haltet und vorsichtig nach oben hebt wird das Ei unter dem Umhang halten.; []
77: du Charlotte plane de premiere de Charlotte.; []
78: Charlotte de de de faire elan cape de Charlotte reste cape.; []
