0: Spiel 3; []
1: Kunterbunt; []
2: Wer findet Kater Mau?; []
3: Wo liegt Teddy?; []
4: Bei diesem Spiel gewinnt wer die meisten findet.; [164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
5: Spielmaterial 36 mit 18 Ziel des Spiels 18 Kartenpaare mit Kater Mau und allerlei Spiel sachen liegen verdeckt in der Tischmitte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
6: Wer findet die meisten Paare und hat am Ende des Spiels den größten Kartenstapel vor sich liegen?; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
7: Spielvorbereitung; []
8: Legt alle Kärtchen verdeckt mit der gelben Seite nach oben auf den Tisch und mischt sie gut durch.; [1292: Zufall, ]
9: Anschließend legt ihr die Kärtchen so aus dass sie nicht übereinanderliegen.; [1292: Zufall, ]
10: Ihr könnt sie entweder in Reihen als Rechteck auslegen oder beliebig auf dem Tisch verteilen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
11: Das Spiel beginnt; []
12: Es wird im Uhrzeigersinn gespielt.; [164466: Loswerden, ]
13: Der jüngste Spieler beginnt und deckt zwei beliebige Kärtchen so auf dass alle Spieler die Kärtchen gut sehen können.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
14: Zeigen beide Kärtchen dasselbe Bild?; []
15: Super du hast ein Paar gefunden!; []
16: Nimm dir die beiden Kärtchen und sie vor dir ab.; []
17: Anschließend darfst du erneut zwei beliebige Kärtchen aufdecken.; [1292: Zufall, 8536: Aktionspunkte, ]
18: Das darfst du so lange machen bis du kein passendes Paar mehr aufdeckst.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
19: Dann drehst du die beiden Kärtchen wieder um und der nächste Spieler ist an der Reihe.; [1292: Zufall, 8536: Aktionspunkte, ]
20: Zeigen die beiden Kärtchen unterschiedliche Bilder?; [1292: Zufall, ]
21: Dann hast du leider Pech gehabt!; []
22: Alle Spieler merken sich wo diese beiden Bilder liegen.; [164466: Loswerden, 3142: Verlierbedingung, ]
23: Dreh die Kärtchen wieder um.; []
24: Dann ist der nächste Spieler an der Reihe.; []
25: Achtet darauf dass die Kärtchen während des Spiels immer an ihrem Platz liegen bleiben!; [3173: Gemeinsames Spielfeld, ]
26: Ende des Spiels; []
27: Das Spiel endet wenn keine Kärtchen mehr in der Tischmitte liegen.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
28: Nun baut jeder Spieler mit seinen Kärtchen einen Turm und ihr vergleicht die Stapel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
29: Wer den höchsten Turm hat gewinnt das Spiel.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
30: Spiel 4; []
31: Beim gibt es für alle Kinder; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
32: einen großen Wer schafft es als Erster beim anzukommen?; [1492: Siegbedingung, ]
33: Spielmaterial 1 Spielplan 4; [3173: Gemeinsames Spielfeld, ]
34: Spielfiguren; []
35: 1 Farbwürfel mit 6 Stickern Stern Blau Gelb Rosa Grün; [1292: Zufall, ]
36: Ziel des Spiels; []
37: Wer als Erster mit einer Spielfigur auf das Feld mit dem zieht gewinnt das Spiel.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
38: Spielvorbereitung; []
39: Stellt die vier Spielfiguren auf die farblich passenden mit dem darunter gelb stellt ihr auf das gelbe Startfeld rosa kommt auf das Startfeld Lars blau startet vom blauen Start feld und Julia grün stellt ihr auf das grüne Startfeld.; [3173: Gemeinsames Spielfeld, ]
40: Es werden immer alle vier Figuren aufgestellt auch wenn weniger als vier Spieler mitspielen.; [164466: Loswerden, 7090: Kooperative Spielform, ]
41: Den Farbwürfel legt ihr neben dem Spielplan bereit.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
42: Das Spiel beginnt; []
43: Es wird im Uhrzeigersinn gespielt.; [164466: Loswerden, ]
44: Der jüngste Spieler beginnt und würfelt.; [1292: Zufall, 164466: Loswerden, ]
45: Hast du eine Farbe gewürfelt?; [1292: Zufall, 8536: Aktionspunkte, ]
46: die Spielfigur mit der passenden Farbe ein Feld nach vorne in Richtung Hast du oder den Stern gewürfelt?; [1292: Zufall, 8536: Aktionspunkte, ]
47: Gut gemacht!; []
48: Such dir aus welche Figur du ein Feld nach vorne ziehst.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
49: Ende des Spiels; []
50: Das Spiel endet wenn die erste Spielfigur auf dem Zielfeld mit dem angekommen ist.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
51: Wer mit dieser Spielfigur im Ziel ankommt gewinnt.; [164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
52: Grafik Mirko Suzuki Martin Hoffmann Redaktion Katharina 2016 Co. KG; []
53: 5 7 70184 Stuttgart Tel. 49 711 Fax 49 711 info kosmos.de kosmos.de Copyright Verlag GmbH Hamburg.; []
54: Illustrationen von Eva und Annette; []
55: Nach den von Liane Schneider erste Spiele; [164466: Loswerden, 166903: Ankommen, ]
56: Mit 4 Lieblingsspielen; []
57: Für 2 4 Spieler ab 3 Jahre; [164466: Loswerden, 7090: Kooperative Spielform, ]
58: Mit dieser habt ihr gleich vier Spiele die ihr gemeinsam mit spielen könnt.; [3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
59: Bei zwei einem kooperativen Legespiel und einem lernt ihr ganz nebenbei erste Regeln und kennen.; [7090: Kooperative Spielform, ]
60: Elm BEi 3 es 36 mit 18 Spielplan zweiseitig 3 ja 4 Spielfiguren mit 4 Standfüßen mit 6 Stickern Farbwürfel mit 6 Stickern 4 20 Holzsteine; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
61: Vor dem ersten Spiel löst ihr vorsichtig alle Teile aus den Stanztafeln.; [164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, ]
62: Die Teile mit den werft ihr weg.; [1292: Zufall, ]
63: 5 6; []
64: KOSMOS info kosmos.de Steckt die vier Spielfiguren Lars und Julia in die vier Standfüße.; []
65: Nehmt einen der Würfel und klebt die sechs Sticker mit dem hellen Hintergrund Segelschiff Geschenk Socke; [1292: Zufall, 8536: Aktionspunkte, ]
66: Stern und Kater Mau auf je eine Seite des Würfels.; [1292: Zufall, ]
67: Das ist der; []
68: Auf den anderen Würfel Farbwürfel klebt ihr die zwei Sticker mit dem blauen Hintergrund und Stern und die vier Sticker mit den Farben Blau Gelb Rosa und Grün auf je eine Seite des Würfels.; [1292: Zufall, 8536: Aktionspunkte, ]
69: Spiel; []
70: 1 Wettrennen in den Kindergarten Macht euch gemeinsam mit und ihren Freunden auf den Weg zum Kinder garten.; [7090: Kooperative Spielform, ]
71: Wer kommt als Erster bei der Garderobe an?; [1492: Siegbedingung, 8528: Siegpunkte, ]
72: Spielmaterial 1 Spielplan 4; [3173: Gemeinsames Spielfeld, ]
73: Spielfiguren 1 mit 6 Stickern Segelschiff Geschenk Socke; []
74: Stern und Kater Mau; []
75: Ziel des Spiels; []
76: Wer als Erster bei der Garderobe im Kindergarten angekommen ist gewinnt das Spiel.; [164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
77: Spielvorbereitung; []
78: Jeder Spieler sucht sich eine Spielfigur aus und stellt sie auf das Startfeld mit und ihrer Mama unten links.; [1292: Zufall, 73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, ]
79: Legt den neben dem Spielplan bereit.; [3173: Gemeinsames Spielfeld, ]
80: Das Spiel beginnt; []
81: Es wird im Uhrzeigersinn gespielt.; [164466: Loswerden, ]
82: Der jüngste Spieler beginnt und würfelt.; [1292: Zufall, 164466: Loswerden, ]
83: nun mit deiner Spielfigur Richtung auf das nächste freie Feld mit dem gewürfelten Symbol.; [1292: Zufall, 8536: Aktionspunkte, ]
84: Gibt es dieses Symbol nicht mehr weil du schon so nah am Ziel stehst ziehst du auf das große Feld mit der Kindergarten Garderobe.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
85: Ende des Spiels; []
86: Das Spiel endet wenn der erste Spieler mit seiner Spielfigur in der Kindergarten Garderobe angekommen ist.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
87: Er gewinnt das Spiel.; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, 8528: Siegpunkte, ]
88: Spiel 2; []
89: Auf dem Bauernhof Legespiel; []
90: Auf dem Bauernhof heißt es Zusammenhalten!; [7090: Kooperative Spielform, ]
