0: Zum Spiel gehören 120 Karten; [1292: Zufall, 164466: Loswerden, ]
1: 1 1 Ereigniswürfel; [1292: Zufall, ]
2: 1 Ritter; []
3: 1 Mühle Spielübersicht; []
4: Ihre Aufgabe ist es das Land zu besiedeln.; []
5: Alle Siedlungen Städte und Gebäude die Sie im Laufe des Spieles auf errichten werden sind auf Karten dargestellt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
6: Sie beginnen mit zwei Siedlungen die durch eine Straße verbunden sind.; [8536: Aktionspunkte, ]
7: Siedlung Straße; []
8: Siedlung; []
9: Jede Siedlung ist 1 Siegpunkt wert.; [8528: Siegpunkte, 1492: Siegbedingung, ]
10: Wer zuerst 12 Siegpunkte erreicht gewinnt das Spiel.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
11: 2.; []
12: Um zu weiteren zu kommen müssen Sie bauen nach rechts und nach links; []
13: können Sie neue Straßen bauen danach neue Siedlungen.; [1492: Siegbedingung, ]
14: Sie können Siedlungen zu Städten ausbauen die schon 2 Siegpunkte wert sind.; [8528: Siegpunkte, 1492: Siegbedingung, ]
15: Neue Neue Siedlung; []
16: Neue Siedlung; []
17: Straße zur Stadt Straße ausgebaut; [1492: Siegbedingung, ]
18: 3. Siedlungen können Sie mit zwei Ausbauten versehen Städte sogar mit vier.; [1492: Siegbedingung, ]
19: Die entsprechenden werden darüber und darunter plaziert.; []
20: 1 Siedlung; []
21: 1 2 Stadt 2; [8528: Siegpunkte, 1492: Siegbedingung, ]
22: 4.; []
23: Um bauen zu können benötigen Sie Rohstoffe.; [8536: Aktionspunkte, ]
24: Rohstoffe erhalten Sie aus den Landschaften die diagonal um ihre Siedlungen hegen Rohstoffe erhalten Sie aber immer nur dann wenn die auf der Landschaft abgebildete Zahl gewürfelt wird.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
25: Mit diesen 9 Startkarten beginnt; [1292: Zufall, ]
26: Ihr Fürstentum Wird eine 5 gewürfelt; [1292: Zufall, ]
27: drehen Sie Ihre Landschaft die mit 5 auf den Wert.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
28: 5.; []
29: Die kleinen auf den Landschaften sind Ihre Buchhaltung; []
30: Es gilt immer der Wert der unten auf Ihren Landschaften steht.; [1492: Siegbedingung, ]
31: Zu Beginn besitzen Sie einen Rohstoff pro Karte.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
32: Wenn Sie einen Rohstoff dazu erhalten drehen Sie die entsprechende auf den Wert.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
33: Geben Sie einen Rohstoff aus drehen Sie die Karte auf den nächstniedrigeren Wert.; [1292: Zufall, 1492: Siegbedingung, ]
34: Sie besitzen 1 Lehm 2 Lehm; []
35: 0 Lehm 2; []
36: Spielübersicht; []
37: 6. Straßen; []
38: Siedlungen und Städte liegen verdeckt in der Mitte.; [1292: Zufall, ]
39: Wenn Sie eines dieser wollen zahlen Sie die auf der Rückseite abgebildeten Rohstoffe nehmen die Karte und legen sie offen in Ihr Fürstentum.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
40: Ereignisse Straßen Städte; [1492: Siegbedingung, ]
41: Siedlungen Landschaften; []
42: 7. Bauen Sie Ihr Fürstentum mit den neun Startkarten auf.; [1292: Zufall, ]
43: Sie nehmen drei Karten auf die Hand die Sie sich aus den aussuchen dürfen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
44: Denn Sie dürfen nur die Karten ausspielen das heißt ins Spiel bringen die Sie auf der Hand halten.; [1292: Zufall, 164466: Loswerden, ]
45: Trägt die ausgespielte Karte so müssen Sie diese Rohstoffe bezahlen bevor Sie die Karte ausspielen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
46: Wichtig; []
47: Vor dem ersten Spiel sollten Sie sich alle Karten etwas genauer ansehen.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, ]
48: siehe auch ab Seite 11; []
49: 8 Gespielt wird in Runden.; [1492: Siegbedingung, ]
50: Wer an der Reihe ist wirft beide Würfel.; [1292: Zufall, ]
51: Zunächst wird das gewürfelte Ereignis durchgeführt das für beide Spieler gilt.; [1292: Zufall, 8536: Aktionspunkte, ]
52: Danach verbuchen beide Spieler ihre Jeder Spieler dreht die auf den Wert deren Augenzahl gewürfelt wurde.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
53: 9.; []
54: Jetzt darf der Spieler der gewürfelt hat Aktionskarten ausspielen bauen und tauschen.; [1292: Zufall, 164466: Loswerden, ]
55: Am Schluß seiner Runde ergänzt er seine Kartenhand auf 3 Karten normalerweise Dann ist sein Gegner an der Reihe.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
56: Er beginnt seine Runde in dem er beide Würfel wirft.; [1292: Zufall, ]
57: 10.; []
58: Einige Karten tragen einen schwarzen Handschuh mit einer schwarzen Zahl daneben; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
59: Das symbolisiert die Wer; [1292: Zufall, ]
60: die Stärkste besitzt erhält die die 1 Siegpunkt wert ist.; [8528: Siegpunkte, 1492: Siegbedingung, ]
61: 11.; []
62: Andere Karten tragen eine Mühle in einem Kreis.; [1292: Zufall, ]
63: Das symbolisiert die Handelsmacht.; [1292: Zufall, ]
64: Wer eine Stadt gebaut hat und die meisten besitzt verfügt über die Größte Handelsmacht und erhält die Spielfigur die 1 Siegpunkt wert ist.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
65: 12.; []
66: Gespielt wird bis ein Spieler 12 Siegpunkte erreicht hat er gewinnt das Spiel.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
67: Diese 6 Landschaften gibt es; [8528: Siegpunkte, ]
68: Landschaft Rohstoff Getreide Gebirge Erz Wolle Holz Gold Gold ist eine reine; []
