0: von Ein Würfelspiel um viele Fragen und lustiges Geschehen bei einem Spaziergang.; [1292: Zufall, ]
1: Für 2 bis 6 Spieler ab 6 Jahren für jung und alt!; [164466: Loswerden, 7090: Kooperative Spielform, ]
2: Inhalt 150 Spielkarten 1; [1292: Zufall, ]
3: Spielplan 2 Würfel 6; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
4: Figuren; []
5: Vorbereitung des Spiels; []
6: Vor Beginn entscheiden sich die Spieler für einen der 3 1. blaue Karten leichte Fragen 2. grüne Karten Fragen 3. rote Karten schwere Fragen; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
7: Der ausgewählte Kartenstoß wird mit den Fragen nach unten in die richtige Reihenfolge gelegt von 1 bis 50. Spielablauf; [1292: Zufall, ]
8: Jeder Spieler nimmt sich eine Figur und stellt diese an den Start den Ausgangspunkt des Spazierganges.; [1292: Zufall, 8528: Siegpunkte, 73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
9: Wer die höchste Augenzahl würfelt darf beginnen.; [1292: Zufall, ]
10: Kommt die Figur auf ein blaues Feld würfele noch einmal grünes Feld rücke auf die nächste Zahl vor oder würfele noch einmal rotes Feld würfele noch einmal und gehe um die gewürfelte Augenzahl zurück.; [1292: Zufall, 8536: Aktionspunkte, ]
11: gelbes Feld gehe zurück zur nächsten Zahl Feld mit einer Zahl; []
12: ein Mitspieler nimmt die Karte mit der entsprechenden Zahl auf und liest die darauf stehende Frage laut vor.; [1292: Zufall, ]
13: Diese muß von dem Spieler dessen Figur auf der Zahl steht beantwortet werden.; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
14: Bei richtiger Beantwortung der Frage muß der Anweisung der gefolgt werden.; []
15: Wird die Frage nur zum Teil beantwortet so darf nur 1 Punkt weiter gerückt werden.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
16: Bei falscher Beantwortung wird eine Runde ausgesetzt.; []
17: Kommt ein Spieler auf einen Punkt bei dem die Frage schon gestellt wurde und somit aus dem Rennen ist hat die Zahl für ihn keine Bedeutung mehr.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
18: Wird eine 6 gewürfelt darf nicht nochmals gewürfelt werden.; [1292: Zufall, 8536: Aktionspunkte, ]
