0: Für zwei Spieler Jeder Spieler erhält 2 Spielfiguren 5 und Karten im Wert von 98 Karotten.; [1292: Zufall, 1492: Siegbedingung, 8528: Siegpunkte, ]
1: Die Spieler ziehen abwechselnd sie ziehen jeweils nur eine ihrer beiden Figuren.; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
2: Dabei kann man frei wählen mit welcher Figur; [8536: Aktionspunkte, ]
3: man zieht außer wenn eine Figur auf einem steht; [1292: Zufall, ]
4: Diese muß gezogen werden wenn der Salat gefressen worden ist.; [1292: Zufall, ]
5: Es spielt keine Rolle welche seiner Figuren man den Salat fressen läßt.; []
6: Sieger ist wer als erster beide Figuren ins Ziel bringt.; [1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
7: Das ist erst möglich wenn alle 5 Salate gefressen worden sind.; [164466: Loswerden, ]
8: Wenn man seine erste Figur ins Ziel bringt darf man noch beliebig viele Karotten auf der Hand haben.; [1292: Zufall, ]
9: Wenn man die zweite Figur in zweiter Position ins Ziel bringt darf man nicht mehr als 20 Karotten übrig haben.; [3142: Verlierbedingung, ]
10: Wenn man seine zweite Figur in dritter Position ins Ziel bringt darf man nicht mehr als 30 Karotten übrig haben.; [3142: Verlierbedingung, 7090: Kooperative Spielform, ]
11: Im übrigen gelten alle Regeln des Spiels für 3 bis 6 Personen.; [164466: Loswerden, ]
12: 1985 Otto Maier Verlag Ravensburg Otto Maier; []
13: Verlag Ravensburg; []
14: 257 22 2; []
15: Ein fesselndes Wettrennen für schlaue Spieler Spielanleitung 7; [8536: Aktionspunkte, 8528: Siegpunkte, ]
16: Ein fesselndes Wettrennen für schlaue Spieler Ravensburger Spiele; [164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
17: Nr. 01 031 8 ohne Würfel für 2 6 Spieler ab 10 Jahren Autor David Inhalt; [1292: Zufall, 164466: Loswerden, ]
18: 1 Spielplan 120 Spielkarten; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
19: 90 Karottenkarten; []
20: 18 12 6 6 Spielfiguren; []
21: Die alte Fabel vom Wettlauf zwischen dem Hasen und dem Igel zeigt daß blindes nicht unbedingt zum Sieg verhilft.; []
22: Auch der Langsame kann gewinnen wenn er es schlau anstellt.; [164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, 8528: Siegpunkte, ]
23: Hase und Igel ist ein in dem es darauf ankommt einmal schnell wie der Hase zu sein und dann wieder langsam aber gewitzt wie der Igel.; []
24: Jeder Spieler ist also Hase und Igel zugleich.; [164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
25: Eine besondere Rolle spielen in diesem Spiel die Karotten die so wichtig sind wie das Benzin in einem Sie geben Kraft um voranzukommen.; [3142: Verlierbedingung, ]
26: So braucht man für jeden eine bestimmte Anzahl von Karotten und zwar um so mehr je weiter man rennen will.; [8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
27: Zu Beginn erhalten die Spieler ihre Kraftreserve in Form von Karottenkarten.; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
28: Diese reichen aber nie aus um bis ins Ziel zu kommen.; []
29: Es gibt deshalb verschiedene Möglichkeiten sich wieder neue Karotten zu beschaffen.; []
30: Dies sind dann Spiel züge die zwar im Augenblick immer einen Aufenthalt auf längere Sicht dann aber doch ein schnelleres Fortkommen bewirken.; [3142: Verlierbedingung, ]
31: Ziel des Spiels; []
32: Es gilt als erster in das Ziel einzulaufen.; []
33: Man darf die Ziel linie aber erst dann überschreiten wenn man unterwegs alle seine losgeworden ist.; [73230: Symmetrische Startbedingung, 164466: Loswerden, ]
34: Außerdem darf man beim nicht zu viele Karotten übrig haben.; []
35: 3; []
36: Vorbereitung; []
