0: RELEASE Soll; []
1: Der Sinn des Spiels Sie spielen das Spiel einer Branche in der nur im Team Erfolge garantiert sind.; [164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, ]
2: Ein Teampartner ist nötig und nur gemeinsam kommt man zum Erfolg.; [7090: Kooperative Spielform, ]
3: Der Teampartner wird auch eine Zeit lang während des Spiels getauscht.; [164466: Loswerden, ]
4: Spieler 1 und 4 stehen als Teamleiter jeweils fest und somit auch das zugehörige Teampartner 2 und 3 entscheiden sich erst im Spiel für einen Partner oder legen am Anfang des Spieles ihren Teampartner fest.; [164466: Loswerden, 3142: Verlierbedingung, ]
5: Gespielt wird mit vier zu zweit oder zu viert.; []
6: Ziel ist es sich durch Sammeln von einen Rechner zusammenzustellen.; [8536: Aktionspunkte, ]
7: Die werden auf dem Spielfeld gesammelt und entsprechend der Farbe gesetzt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
8: Es gibt für jedes Feld 10 die jedes Team sammeln kann und auf das eigene je Rechnerkomponente stellt.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
9: Es können maximal 10 gesammelt werden am Ende werden aber nur maximal 5 bewertet.; [1492: Siegbedingung, ]
10: Sind mehr als 5 auf dem Feld verringern die überzähligen die Anzahl; [8528: Siegpunkte, 1492: Siegbedingung, ]
11: 5. Beispiel; []
12: Auf einem Feld stehen; []
13: 8 Das sind 3 mehr als erlaubt und somit wird die Anzahl der zu Punkten führenden Steine auf 2 verringert.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
14: Das Team mit der höchsten Punktzahl ist Sieger.; [8528: Siegpunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
15: Ist beim eins der neun nicht mit mindestens einem CHIP versehen gilt das Spiel für das betreffende Team als verloren.; [3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
16: Auf den Feldern mit der Farbe LILA wird eine Karte ALLTAG gezogen und dem Text entsprechend gehandelt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
17: Die Karten werden laut vorgelesen und bleiben während der Ausführung Aussetzen am Platz des Spielers liegen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
18: Nach der Aktivität werden die Karten mit der Textseite nach oben unter den Stapel gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
19: Nachdem alle Karten einmal gelesen wurden wird gemischt und der Stapel umgedreht.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
20: Die Karte führt immer zu zwei Aktivitäten Erste Aktivität; [1292: Zufall, ]
21: Mit dem Würfeln einmal aussetzen Noch einmal oder mehrmals würfeln; [1292: Zufall, ]
