0: Schütze; []
1: Deine Umwelt; []
2: Inhalt; []
3: 1 großer Spielplan; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
4: 24 6 Spielfiguren Würfel; [1292: Zufall, ]
5: Mit unserem aktuellen Familienspiel Schütze; [1492: Siegbedingung, ]
6: Deine Umwelt wollen wir auf spielerische Art einige Anregungen und Gedanken zum Thema Umweltschutz geben.; [8536: Aktionspunkte, ]
7: Jahrtausende lang lebte der Mensch in Einklang mit der Natur.; []
8: Erst in den letzten Jahrzehnten ist Verhängnisvolles geschehen Gefährliche Giftstoffe werden ungefiltert und in großer Menge ins Wasser geleitet und in die Luft geblasen.; []
9: Sauberes Wasser wird immer weniger.; [164466: Loswerden, 1492: Siegbedingung, ]
10: Das Grund wasser senkt sich die Wurzeln der Pflanzen können es nicht mehr erreichen.; [164466: Loswerden, 1492: Siegbedingung, ]
11: Der Regen bringt die Schadstoffe der Luft zur Erde zurück.; []
12: Die Pflanzen die eine gewisse Menge der Giftstoffe filtern können werden immer weniger.; [8528: Siegpunkte, 1492: Siegbedingung, ]
13: Die wenigen Pflanzen schaffen das Filtern nicht mehr und sterben.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
14: Die Folge; []
15: Ein Drittel unserer und Pflanzenarten ist bereits ausgestorben oder stark gefährdet.; [8536: Aktionspunkte, ]
16: Immer mehr Gift dringt in den Boden ein der Wald stirbt.; [164466: Loswerden, ]
17: Was können wir dagegen tun?; []
18: Was kann der einzelne tun?; []
19: Zunächst muß es jedem bewußt werden was da vor sich geht.; []
20: Jeder einzelne kann einiges tun auch wenn es noch keine große Lösung ist.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
21: Denn die muß von der Industrie von der Landwirtschaft und von den Politikern kommen.; []
22: Jeder einzelne kann aber darauf einwirken daß viele bewußt zu denken anfangen.; [73230: Symmetrische Startbedingung, 8536: Aktionspunkte, ]
23: Umdenken tut not.; []
24: Ein Leben ohne saubere Umwelt ohne die Natur ist undenkbar.; []
25: Dieses Spiel gibt zeigt auf damit die Umwelt wieder sauber wird.; [166903: Ankommen, ]
26: Spielverlauf Jeder Mitspieler wählt sich einen farbigen Spielstein aus und setzt ihn auf den großen Pfeil vor das Spielfeld mit der Nummer 1.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
27: Die 24 werden mit der Rückseite nach oben auf das da für vorgesehene Feld in der Mitte des gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
28: Der Jüngste in der Runde darf beginnen und setzt seinen Spielstein der gewürfelten Augenzahl entsprechend vor.; [1292: Zufall, 8536: Aktionspunkte, ]
29: Auf dem Spielplan gibt es grüne und rote sogenannte Ereignisfelder.; [3173: Gemeinsames Spielfeld, ]
30: Kommt ein Spieler auf eines dieser Felder so muß er eine Ereigniskarte vom Stapel nehmen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
31: Steht er auf einem grünen Ereignisfeld so hat er sich umweltbewußt verhalten und liest Punkt Ader Er vor oder läßt sich die Karte von einem älteren Mitspieler vorlesen.; [1292: Zufall, 8528: Siegpunkte, ]
32: Dann folgt er den dort gegebenen Anweisungen.; []
33: Kommt ein Spieler jedoch auf ein rotes Ereignisfeld dann war sein Verhalten nicht umweltfreundlich und somit gilt Punkt der jeweiligen Ereigniskarte.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, ]
34: Auch hier muß er die gegebenen Anweisungen ausführen.; []
35: Die werden dann wieder unter den Stapel gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
36: Dann ist der nächste an der Reihe.; []
37: Der Spielplan soll nur eine symbolische Darstellung unserer Umwelt sein aus diesem Grund können auch die nicht immer mit dem Geschehen auf dem Spielplan übereinstimmen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
38: Darf ein Spieler zur Belohnung nochmals würfeln und kommt dabei wieder auf ein farbiges Spielfeld so erhält er in diesem Fall keine Ereigniskarte mehr.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
39: Auf einem numerierten Spielfeld können gleichzeitig mehrere Spielfiguren stehen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
40: Wer als erster die Zahl 100 in der Mitte des genau erwürfelt ist Sieger unseres Und nun viel Spaß immer nach dem Motto Schütze Deine Umwelt 79677; [1292: Zufall, 1492: Siegbedingung, ]
