0: INHALTSÜBERSICHT SPIELPLAN; []
1: .......................................................................................................; []
2: 2; []
3: SPIELMATERIAL; []
4: .............................................................................................; []
5: 3; []
6: SPIELVORBEREITUNG; []
7: .................................................................................; []
8: 3 1. Spiel aufbauen; [164466: Loswerden, ]
9: 2. Kredite verteilen; []
10: SPIELABLAUF; []
11: .................................................................................................; []
12: 5; []
13: SPIELZIEL; []
14: SPIELENDE; []
15: .............................................................................; []
16: 5; []
17: STAATSKASSEN; []
18: SPIELBEGINN; []
19: ...............................................................; []
20: 6 Fabrik; []
21: ..............................................................................................................; []
22: 6 Produktion; []
23: ......................................................................................................; []
24: 6 Import; []
25: .............................................................................................................7 Manöver; []
26: ..........................................................................................................; []
27: 7 1. Flotten; []
28: 2. Armeen; []
29: 3. Investor; []
30: ...........................................................................................................; []
31: 9 1. Zinsen auszahlen; []
32: .......................................................................................................9 2. Investor aktivieren; []
33: .....................................................................................................9 3.; []
34: Ohne Flagge investieren; []
35: ........................................................................................10 Steuer; []
36: ............................................................................................................; []
37: 10 1. Steuern; []
38: 2. Geld kassieren; [1492: Siegbedingung, ]
39: .........................................................................................................; []
40: 10 3.; []
41: Machtpunkte addieren; []
42: ...........................................................................................; []
43: 10; []
44: STRATEGIETIPPS; []
45: .........................................................................................; []
46: 11; []
47: HÄUFIGE; []
48: FRAGEN; []
49: Zur Geschichte von Imperial; []
50: .............................................................................13 Variante zu; []
51: IMPERIAL; []
52: ....................................................................................; []
53: 13 Version; []
54: 2007 Text; []
55: Mac Peter Gestaltung Matthias Layout Peter BESCHREIBUNG; []
56: Europa im Zeitalter des Imperialismus.; []
57: Internationale Investoren versuchen in Europa den größten Einfluss zu erwerben.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
58: Mit ihren Krediten kontrollieren sie die Politik der sechs Großmächte Italien Frankreich Großbritannien; []
59: Deutsches Reich und Russland.; []
60: Diese Staaten errichten; []
61: Fabriken bauen Flotten und stellen Armeen auf.; []
62: Sie expandieren führen Kriege und nehmen Steuern ein um ihren Investoren Zinsen zu zahlen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
63: Jeder Spieler repräsentiert einen internationalen Investor und kontrolliert zu Beginn mindestens eine Großmacht.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
64: Durch neue Kredite kann die Kontrolle über Staaten wechseln.; []
65: Dabei ändert sich auch die An zahl der Großmächte die ein Investor kontrolliert.; []
66: Dieser Wechsel im europäischen ständig zu neuen Spielsituationen strategischen Allianzen und Konflikten.; [3173: Gemeinsames Spielfeld, ]
67: Imperial ist ein abwechslungsreiches Strategiespiel ohne Würfe oder Kartenglück für zwei bis sechs Spieler ab 12 Jahren.; [1292: Zufall, 164466: Loswerden, ]
68: Die Spieldauer liegt bei 2 bis 3 Stunden.; []
69: Landregion Schweden; []
70: Die 15 braun eingefärbten Landregionen liegen außer halb der 6; []
71: Sie tragen Namen und dürfen nur von Armeen betreten werden.; [8536: Aktionspunkte, ]
72: Die Steuereinnahmen der Staaten werden hier markiert.; []
73: Zählleiste Hier werden die erreichten Machtpunkte der sechs Staaten markiert.; [8528: Siegpunkte, 7090: Kooperative Spielform, ]
74: von Italien Ablage für das italienische Geld Schweiz; [8536: Aktionspunkte, 1492: Siegbedingung, ]
75: Einzige Region die nicht betreten werden darf da sie neutraler Sitz der Bank ist Meer; []
76: Die 9 blauen dürfen nur von Flotten betreten werden.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
