0: Hoppla raus!; []
1: Ein lustiges Würfel spiel; [1292: Zufall, 164466: Loswerden, ]
2: SPIEL REG; []
3: 1. Teilnehmer 2 bis 4 Personen.; []
4: 2.; []
5: Bei 2 Teilnehmern übernimm jeder Spieler 2 je 4 Steine 5 bei 3 und 4 Teilnehmern jede Person 1 Bereitstellung der Steine auf den Punkten außerhalb der Spielfigur.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
6: 3.; []
7: Gespielt wird mit einem Würfel.; [1292: Zufall, ]
8: 4. für jede ist der Punk de Spielfigur.; []
9: 5.; []
10: Bei jedem Wurf darf nach der Anzahl der geworfenen Augen mit einem?; [8536: Aktionspunkte, ]
11: der 4 Steine von Punk zu Punkt werden und zwar nur in Ein ist nicht gestattet.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
12: 6.; []
13: Bei Spielbeginn darf jede Partei mit dem ersten Wurf sofort einen Stein? ins Spiel rücken.; [1492: Siegbedingung, ]
14: Weitere Steine können nur bei Würfen von 6 Augen in das Spiel genommen werden.; []
15: Bei einem solchen Wurf von 6 Augen muß ein neuer Stein in das Spielfeld gezogen werden wenn sich noch ein?; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
16: eigener Stein auf einem der befindet.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
17: Außerdem darf bei jedem Wurf von 6 Augen noch einmal gewürfelt werden.; [1292: Zufall, 8536: Aktionspunkte, ]
18: 7.; []
19: Kann mit der vollen Zahl eines Wurfes ein Punk besetzt werden auf?; []
20: dem sich bereits ein Stein befindet so kann dieser Stein geschlagen werden.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
21: Ein geschlagener Stein muß wieder auf eines der zurück.; [3173: Gemeinsames Spielfeld, ]
22: Auch ein eigener Stein muß geschlagen werden wenn nicht mit einem anderen eigenen Stein gerückt werden kann; [8536: Aktionspunkte, ]
23: eigener oder gegnerischer Steine ist gestattet.; [1492: Siegbedingung, ]
24: 8.; []
25: Jeder Stein muß die ganze Spielfigur bis zu den punkten durchziehen.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
26: 9.; []
27: Ein Zielpunkt muß mit der vollen Zahl eines Wurfes erreicht werden.; [8528: Siegpunkte, ]
28: 10.; []
29: Gewinner ist wer zuerst seine sämtlichen Steine auf die gebracht hat.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
