0: DAS SPANNENDE; []
1: GÖTTER; []
2: .; []
3: GABEN UND GEBIETE; []
4: Die Spieler versuchen ihr Glück in der geheimnisvollen von Bora Bora.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
5: Sie breiten sich auf den Inseln aus und errichten dort zahlreiche Hütten die sie dann mit tatkräftigen Männern und Frauen ihres Stammes besiedeln.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
6: Ebenso wollen entdeckt und Muscheln gesammelt werden.; [3173: Gemeinsames Spielfeld, ]
7: Darüber hinaus sollte auch die Religion nicht zu kurz kommen.; [3173: Gemeinsames Spielfeld, ]
8: So werden Priester in den Tempel geschickt oder gesammelt um damit die verschiedenen Götter zu beeinflussen.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
9: Dies alles geschieht mit Hilfe von Würfeln die die Spieler möglichst überlegt auf den verschiedenen Aktionskarten einsetzen.; [1292: Zufall, ]
10: Wer hier den besten Über blick beweist und vorausschauend spielt wird schlussendlich siegreich sein.; [164466: Loswerden, 7090: Kooperative Spielform, ]
11: Gewinner ist wer am Ende die meisten Siegpunkte besitzt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
12: SPIELIDEE; []
13: Die Spieler errichten Hütten und besiedeln sie mit Frauen und Männern die ihnen im weiteren Spielverlauf helfen Zudem senden sie Priester in den Tempel und beeinflussen die Götter Dazu setzen sie immer wieder Würfel auf verschiedene Aktions karten; [1292: Zufall, ]
14: Am Ende gewinnt der Spieler mit den meisten 6 Stanztafeln vor dem ersten Spiel müssen alle Teile vorsichtig herausgelöst werden 18 36 Muscheln 12 36 Plättchen Frauen 36 Plättchen Männer 60 Ersatz 24 7 Aktionskarten 10 24 Bauplättchen; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
15: 4 Plättchen für die Zugreihenfolge 1 Spielplan 30 je Sand Stein und Holz 60 je 12 pro Farbe pro Spielerfarbe 12 Hütten 4 Priester 2 3 Würfel 1; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
16: Tableau; []
