0: Ravensburger Spiele; []
1: Nr. 23 390 8 Taktikspiel für Spieler von Jahren.; []
2: Autor Gunter Illustration Joachim Krause Redaktion Monika Inhalt; []
3: 1 Käsescheibe mit 42 Löchern 42 Mäuse 18 Käsestücke 1; []
4: Beutel; []
5: Viele bunte Mäuse feiern eine ausgelassene Party im Sie spielen das beliebte Spiel 3 gewinnt!; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
6: Dabei fressen sie sich durch eine dicke Käsescheibe und immer drei Mäuse einer Art versuchen nebeneinander durch die Löcher zu schauen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
7: Das können entweder drei Mäuse einer Farbe drei Mäusemädchen oder drei Mäusejungs sein.; [1292: Zufall, 8536: Aktionspunkte, ]
8: Wer es schafft eine solche Gruppe zu bilden bekommt zur Belohnung ein Stück Schweizer Käse.; []
9: Wer hat am Schluss die Käse stücke mit den meisten Löchern gewonnen?; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, 8528: Siegpunkte, ]
10: Ziel des Spiels; []
11: Nachdem alle Mäuse im Käse verschwunden sind gewinnt derjenige der die meisten Löcher in seinen Käsestücken zählt.; [164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
12: Vorbereitung; []
13: Löst alle Mäuse und Käsestücke aus der Stanztafel heraus.; [164466: Loswerden, ]
14: Das baut ihr so auf wie es die Zeichnung zeigt Legt alle ausgebrochenen Stanztafeln übereinander in die Unterseite der Schachtel zuoberst die illustrierte Käseseite.; [3173: Gemeinsames Spielfeld, ]
15: Danach steckt ihr die Käsescheibe in die Schlitze so dass sie fest verankert ist.; []
16: Gebt alle Mäuse in den Beutel und legt die Käsestücke neben das Die Käsestücke sortiert ihr nach ein zwei und drei Löchern.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
17: Setzt euch gegenüber auf beide Seiten des Zieht jeweils zwei Mäuse aus dem Beutel die ihr in eine Hand nehmt so dass die anderen Spieler sie nicht erkennen können.; [1292: Zufall, 8536: Aktionspunkte, ]
18: 2; []
19: Die Käseparty beginnt 1. Mäuse in die Käsescheibe einwerfen; []
20: Der jüngste Spieler beginnt danach spielt ihr im Uhrzeiger sinn weiter.; [3142: Verlierbedingung, ]
21: Wer an der Reihe ist wirft eine seiner Mäuse in eine beliebige Spalte der Käsescheibe.; [1292: Zufall, ]
22: Die Ohren jeder Maus sollten nach oben zeigen damit ihr die Reihen später leichter erkennen könnt.; [8528: Siegpunkte, ]
23: Danach zieht ihr eine Maus aus dem Beutel.; [1292: Zufall, ]
24: Somit habt ihr zu Beginn eures Zuges immer zwei Mäuse zur Auswahl.; []
25: Jetzt ist der reihum nächste Spieler an der Reihe.; []
26: 2. bilden; []
27: Ihr versucht mit eurer eingeworfenen Maus eine der folgen den Kombinationen waagerecht senkrecht oder diagonal zu bilden.; [8536: Aktionspunkte, ]
28: Coole Clique; []
29: Drei Mäuse der gleichen Farbe zum Beispiel drei Mäuse mit grünem Hintergrund.; [1292: Zufall, 8536: Aktionspunkte, ]
30: Die Clique darf aus Jungs und Mädchen bestehen.; []
31: oder Mädchentrio Drei Jungs oder drei Mädchen egal in welcher Farbe.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
32: 3 3. Käsestücke gewinnen Bildet ihr durch Einwerfen eurer Maus eine bekommt ihr ein Käsestück.; [164466: Loswerden, 1492: Siegbedingung, ]
33: Zunächst gewinnt ihr die Stücke mit einem Loch wenn diese verteilt sind die mit zwei Löchern da nach dürft ihr euch ein Stück mit drei Löchern nehmen.; [1492: Siegbedingung, ]
34: Besonderheit; []
35: Wenn ihr durch den Einwurf einer Maus gleich zeitig zwei unterschiedliche erreicht bekommt ihr auch zwei Käsestücke zur Belohnung!; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
36: Doch es sind höchstens zwei Käsestücke pro Zug möglich.; []
37: Wichtig; []
38: Wenn ihr eine vierte Maus in genau derselben Art an eine einwerft ergibt das keine neue Dreier Gruppe!; [8536: Aktionspunkte, ]
39: Beispielsweise an eine blaue Dreiergruppe eine vierte blaue Maus.; []
40: Eine neue Gruppe wäre es allerdings wenn dadurch eine neue Kombination geschaffen würde zum Beispiel ein Mädchentrio.; []
41: Ende des Spiels; []
42: Das Spiel endet wenn ihr entweder die Käsescheibe komplett mit Mäusen gefüllt habt oder das letzte Käsestück gewonnen habt.; [164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
43: Der Spieler mit den meisten Löchern in seinen Käsestücken gewinnt.; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 8528: Siegpunkte, ]
44: Bei Gleichstand gewinnt der Spieler der dabei mehr Käsestücke besitzt.; [164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
45: 2015; []
46: Ravensburger Spieleverlag; []
47: 4 Ravensburger 23 390 8 2 4; []
48: de 6 99 ans.; []
49: Gunter Joachim Krause Monika 1 grille tranche de 42 42 18 de 1 bande de fete du du 3 de tranche de des de couleur former portion de aura plus de de finde partie 5 plus de aura de des grille illustration fond de tranche de grille de quelle de de grille.; []
50: de de de grille.; []
51: 2; []
52: du main 6 fete du 1. plus partie lesens des tour de de de tranche de de jours vers haut plus suite.; []
53: de tour jours de de de 2. 3 horizontalement diagonale des equipe 3 de couleur 3 equipe de de Trio de trio de 3 3 de importe quelle couleur.; [3173: Gemeinsames Spielfeld, ]
54: 7 3. de portion de des de 1 des 2 des 3 2 trios de Mais; []
55: maximum; []
56: de tour de 3 forme de 3 bleue 3 elle elle trio; []
57: de Finde partie partie tranche de de portion de plus de de partie.; []
58: plus de de 2015 Ravensburger Spieleverlag; []
59: 8 Ravensburger 23 390 8 per Autore Gunter Joachim Krause Monika 1 42 42 18 1 tutti 3 solo 3 3 3 uno all in che uno Chi numero 9 tutti all chi ha tutti ei all delle in che ben tutti all in base numero uno uno all in in che 10 1. in Chi uno in in che file.; []
60: In in ha passa 2. che ha delle in in in diagonale verdi.; []
61: da che da Trio 11 3. solo; []
62: In es. forma seil dar vita es.; []
63: trio mente ultimo chi ha; []
64: In che numero 2015 Ravensburger Spieleverlag 12 Ravensburger nr.; []
65: 23 390 8 van Gunter Joachim Krause Monika 1 42 18 1 vieren in 3 van de van Wie als Wie de met de gewonnen?; [164466: Loswerden, ]
66: 13 van alle in de die de in alle karton.; []
67: de alle borden in de van de met de je de in de staat.; []
