0: Nr. lustige Heute mir einmal richtig lachen denn jeder Mitspieler wird im Spiel das Pech haben auf eine der oft bösen rot umrandeten Zahlen zu kommen und ausgelacht zu werden.; []
1: Beachtet also genau diese Zahlen der Spielregel findet ihr dann was alles passiert.; []
2: Lustig aber bestimmt imme werden.; [8528: Siegpunkte, ]
3: Wer eben das Glück hat zuerst die Zahl 75 zu erreichen ist Sieger und bekommt neben dem 1. Preis den Gänsebraten.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
4: SPIELREGEL; []
5: Wer zuerst 6 stellt sei Figur auf diese Nr. und darf dann beginnen.; []
6: 7; []
7: Der kleine wird erwischt und muß von vorne beginnen Nr. 1; []
8: Die fleißige beeilt sich die Eier in die Stadt zu bringen.; [1492: Siegbedingung, 8528: Siegpunkte, ]
9: Auf Nr. 20 vorrücken.; []
10: 17 Aufenthalt beim Füttern.; []
11: 1 aussetzen.; []
12: 21; []
13: Die Buben necken eine brütende Gans und müssen zur Strafe auf Nr. 10 zurück.; []
14: 30; []
15: Das fleißige Gänselieschen darf auf Nr. 38 vorrücken.; []
16: 36 Beim Baden verliert man immer Zeit.; [7090: Kooperative Spielform, ]
17: Alle vorbeiziehen lassen dann weiter spielen.; [1292: Zufall, 164466: Loswerden, ]
18: 40 Auf die kleinen Gänschen muß man besonders achten und setzt 2 aus.; []
19: 43; []
20: Der Fuchs stiehlt die Gans.; []
21: Der Spieler scheidet aus darf aber wenn er das Lied Fuchs du hast die Gans gestohlen; [164466: Loswerden, 8536: Aktionspunkte, ]
22: schön laut singt von vorne beginnen.; []
23: Dafür zählen seine Augen doppelt.; [1492: Siegbedingung, 8528: Siegpunkte, ]
24: 51 Klettert statt Gänse zu hüten auf den Apfelbaum.; []
25: Zur Strafe zurück auf Nr.; []
26: 31 55 Diese Gans will gewinnen.; [164466: Loswerden, ]
27: Vor auf Nr. 64 59; []
28: Wenn man von einem Gänserich gepackt wird erschrickt man.; []
29: Der Spieler darf erst weiterspielen wenn er eine gerade Augen zahl würfelt.; [1292: Zufall, 164466: Loswerden, ]
30: 63; []
31: Ein gutes Vorrücken auf Nr. 69 68; []
32: Die Gans ist überfahren worden.; []
33: Der Spieler scheidet aus.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
34: 75 Nur wer mit seinen geworfenen Augen auf 75 kommt ist Sieger.; [1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
35: Viel Glück und viel Vergnüge; [1292: Zufall, ]
