0: 1 von Alter ab; []
1: 4 2 4 Personen Dauer; []
2: 15 Minuten Spielmaterial 16 Kissen je 4 pro Farbe 12 Figuren je 3 pro Farbe; [1292: Zufall, ]
3: 4 Auflagen für die 4 4 Wippen; []
4: 1 Bett; []
5: Schachtelunterteil Spielidee; []
6: Die Kuscheltiere haben heute sturmfreie Bude; []
7: niemand ist zu Hause der auf sie aufpasst.; []
8: Da lädt das Bett zu einer großen ein.; [3173: Gemeinsames Spielfeld, 8528: Siegpunkte, ]
9: Teddy; []
10: Mausi Schweinchen und klettern auf die und bewerfen sich gegenseitig mit den weichen Kissen.; []
11: Im Spiel versuchst du mit der Wippe deine Kissen ins Bett zu schleudern.; [164466: Loswerden, 7090: Kooperative Spielform, 166903: Ankommen, ]
12: Für jedes eigene Kissen das im Bett landet darfst du eine deiner Figuren auf einen stellen.; [8536: Aktionspunkte, ]
13: Doch Vorsicht; []
14: Auf den Pfosten wirst du schnell zur Zielscheibe für die anderen Spieler!; [8536: Aktionspunkte, 1492: Siegbedingung, ]
15: Schaffst du; []
16: es als Erster alle deine Kissen ins Bett zu schleudern gewinnst du und darfst dich als bester Kissenwerfer feiern lassen.; [164466: Loswerden, 7090: Kooperative Spielform, 8528: Siegpunkte, ]
17: Spielvorbereitung; []
18: Das Schachtelunterteil ist das Bett.; []
19: Stecke je eine runde Plattform auf jeden Danach steckst du die Pfosten in die vier Ecken des Betts siehe Abbildung Stelle das Bett nun so in die Tischmitte dass es alle gut erreichen können.; [3173: Gemeinsames Spielfeld, 8528: Siegpunkte, ]
20: Such dir eine Farbe aus und nimm dir in dieser Farbe die vier Kissen und die drei Figuren.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
21: Dazu bekommst du eine Wippe.; []
22: Nicht benötigtes Spielmaterial legst du beiseite.; [1292: Zufall, ]
23: Lege die Figuren und Kissen vor dir ab und bringe deine Wippe vor dem Bett in Position.; [7090: Kooperative Spielform, ]
24: Spielablauf; []
25: Der jüngste Spieler beginnt danach geht es im Uhrzeigersinn weiter.; []
26: Bist du an der Reihe legst du eines deiner Kissen auf deine Wippe und versuchst es ins Bett zu schleudern.; [3173: Gemeinsames Spielfeld, ]
27: Landet das Kissen im Bett darfst du eine deiner Figuren auf einen beliebigen stellen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
28: Beispiel Teddy hat es geschafft sein Kissen ins Bett zu schleudern.; []
29: Er stellt eine seiner Figuren auf einen 3 Beispiel Mausi trifft mit dem roten Kissen gleich zwei Figuren und wirft sie vom Schweinchen und Teddy nehmen ihre heruntergefallenen Figuren und je ein Kissen aus dem Bett zurück.; [7090: Kooperative Spielform, ]
30: Spielende Schaffst du; []
