0: der Spieler in der Eile liegen er ist futsch!; [164466: Loswerden, 1492: Siegbedingung, ]
1: Der Spieler kann aber auch vor dem Aufdecken einer jederzeit mit dem weiteren Aufdecken von Karten aufhören.; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
2: Er steigt dann aus und die bis zu diesem Zeitpunkt aufgedeckten Käsestücke darf er behalten und auf seinem anzeigen Danach wird der Kartenstapel wieder gut gemischt.; [1292: Zufall, 8528: Siegpunkte, ]
3: Mausefalle Sobald ein Spieler mit seiner in die Mausefalle oder auf das letzte Feld davor gelangt würfelt er sofort weiter.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
4: Nach jedem Würfeln entscheidet er sich ob er sofort weiterwürfeln oder aussteigen auf das weitere Würfeln verzichten will.; [1292: Zufall, ]
5: Steigt er aus so erhält er so viele Käsestücke wie das Feld anzeigt auf dem er sich zuletzt befindet stellt sich auf das freie Feld außerhalb der Mausefalle und wartet bis er das nächste Mal wieder an die Reihe kommt um in Richtung zu ziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
6: Riskiert er jedoch zuviel und die Augenzahl des Würfels übersteigt die restliche so schießt er über das letzte 10 Käsestücke hinaus und Zack!; [1292: Zufall, ]
7: die Falle schnappt zu.; []
8: Der Spieler hat dann in der Falle keinen Käse gesammelt und er stellt sich ebenfalls auf das freie Feld außerhalb der Mausefalle.; [1492: Siegbedingung, ]
9: Wie Die werden vom in das gelegt.; []
10: Sobald ein Spieler das Ziel den Weinkeller erreicht eventuell überzählige Augenzahlen verfallen dreht er sofort die Flasche des Von jetzt an dreht der Spieler jedesmal wenn er an die Reihe kommt einmal die Flasche; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
11: wenn er Pech hat muß er auf Grund einer Ereigniskarte; [1292: Zufall, ]
12: seine Position mit der einer anderen tauschen sonst bleibt er bis zum Schluß auf diesem Feld; [8536: Aktionspunkte, ]
13: Gewonnen hat wer zuerst mindestens 30 auf seinem Konto hat.; [8528: Siegpunkte, 1492: Siegbedingung, 166903: Ankommen, ]
14: Dies entscheidet sich meistens beim Spielen am in seltenen Fällen jedoch schon vor Erreichen des Und jetzt viel Spaß beim Spielen!; [7090: Kooperative Spielform, ]
15: DAS SPIEL; []
16: MARKETING GMBH; []
17: Spielidee; []
18: Helge Andersen; []
19: Für 2 4 Spieler ab 6 Jahren Inhalt; [164466: Loswerden, 7090: Kooperative Spielform, ]
20: 1 Spielplan; []
21: 25 2 1 0 1 Stanztafel mit 1 1 4 4; []
22: Figurenhalter 4; []
23: Kegel; []
24: 1 1 1 2 2 3 4; []
25: Augen; []
26: Ziel des Spiels; []
27: Mit dem Vorsatz möglichst viel Käse einzusammeln machen sich die Mäuse auf den abenteuerlichen Weg durch ein Haus voller Gefahren.; []
28: Ziel ist der Weinkeller wo der Käse bei einer Flasche gutem Wein verzehrt werden; []
29: Die Maus die zum Schluß als erste mindestens 30 gesammelt hat gewinnt.; [8528: Siegpunkte, 1492: Siegbedingung, 166903: Ankommen, ]
30: Start Mausefalle im Weinkeller Ziel Spielvorbereitung; []
31: 1.; []
32: Die 4 unterschiedlichen werden aus der Stanztafel ausgebrochen und in die Figurenhalter gesteckt.; [1292: Zufall, ]
33: Jeder Spieler sucht sich eine Maus aus und stellt sie auf das Startfeld.; [1292: Zufall, 73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
34: 2.; []
35: Das sowie das werden aus der Stanztafel ausgebrochen und zusammengesetzt Skizze; []
36: Das wird dann auf das Spielbrett auf den dafür vorgesehenen Kreis gesetzt.; [3173: Gemeinsames Spielfeld, ]
37: 3.; []
38: Die 25 aus dem Kartenpäckchen werden gemischt und verdeckt neben das Spielfeld gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
39: 4; []
40: Die 2 10 aus dem Kartenpäckchen werden separat gemischt und verdeckt in dem auf die zwei dafür vorgesehenen Felder gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
41: 10 haben auf der Rückseite als Symbol zwei Katzen diese Karten liegen auf dem Feld in dem Zimmer wo auch zwei Katzen lauern.; [1292: Zufall, ]
42: 10 haben auf der Rückseite als Symbol eine Katze diese Karten liegen auf dem Feld in dem Zimmer wo auch eine Katze lauert.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
43: 5.; []
44: Jeder Spieler erhält einen farbigen Kegel und setzt diesen zu Beginn des Spiels auf die Zahl 5 der auf dem Spielbrett jeder Mitspieler beginnt also mit einem Plus von 5 Den Weg zwischen den einzelnen Stationen; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
45: legt man mit Hilfe des Würfels zurück; [1292: Zufall, ]
46: den man auch bei der Mausefalle benötigt; []
47: Ein Spieler wird ausgelost dieser beginnt und dann kommen alle weiteren Mitspieler der Reihe nach dran.; [3142: Verlierbedingung, ]
48: Gewürfelt wird jeweils einmal Ausnahme Mausefalle; [1292: Zufall, ]
49: Man zieht nur auf freie Felder.; [1292: Zufall, ]
50: Besetzte Felder werden beim Ziehen nicht mitgezählt.; [1292: Zufall, ]
51: Auf den Feldern zwischen den einzelnen Stationen befinden sich Ereignisfelder Endet der Spielzug eines Spielers auf einem kann er eine Ereigniskarte aufnehmen wenn er will wenn er nicht will muß er es jedoch nicht; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
52: Nimmt er eine auf muß der Aufforderung; []
53: Folge geleistet werden.; []
54: Danach wird diese wieder verdeckt unter den Stapel gelegt Jedes Dazugewinnen oder Verlieren von Käse im Verlauf des Spiels wird für jeden Spieler durch oder Zurückschieben seines farbigen Kegels auf der angezeigt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
55: 7 6 4 3 2 1; []
56: Spiel; []
57: Spieler Sobald ein Spieler mit seiner auf dem letzten Feld vor dem ersten angekommen ist dies; [3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
58: ist auch der Fall; []
59: wenn er mehr Augen würfelt als Felder bis zu diesem Punkt übrig sind entscheidet er sich sofort für eines der beiden Zimmer in denen eine oder zwei Katzen lauern und hebt dort die Karte auf.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, ]
60: Anmerkung; []
61: Bei den Karten in dem Stapel mit dem Symbol zwei Katzen auf der Rückseite ist die Wahrscheinlichkeit größer mehr Käse zu erhalten.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
62: Dafür ist in diesem Kartenstapel Karte mit einer Katze auf der Vorderseite untergemischt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
63: Bei den Karten in dem Stapel mit dem Symbol eine Katze auf der Rückseite ist die Wahrscheinlichkeit größer weniger Käse zu erhalten.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
64: Dafür ist in diesem Kartenstapel nur Karte mit einer Katze auf der Vorderseite untergemischt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
65: Deckt ein Spieler eine Katze auf muß er sofort auf das freie Feld außerhalb des flüchten und dort warten bis er das nächste Mal wieder an die Reihe kommt.; [7090: Kooperative Spielform, 166903: Ankommen, ]
66: Den in diesem Zimmer eventuell gewonnenen Käse läßt; []
