0: ist ein anregendes Brettspiel mit einer schachspiel artigen Strategie von Zügen und Gegenzügen.; []
1: Jeder Spieler versucht mit seinen und eine ununterbrochene Kette von Rand zu Rand des Spielbretts zu bilden bevor dies sein Gegenspieler erreicht hat.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
2: Es gibt zwei Versionen des Spiels für zwei oder vier Spieler.; [164466: Loswerden, 1492: Siegbedingung, ]
3: Durchschnittliche Spielzeit 30 Minuten.; [7090: Kooperative Spielform, ]
4: Das Spiel 1. Rot spielt zuerst.; [164466: Loswerden, 166903: Ankommen, ]
5: Die Spieler spielen abwechselnd durch Aufstecken jeweils einer Figur auf das Spielbrett.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
6: Die Figuren können von einem Spieler in jedes freie gesteckt werden außer denen hinter der gegnerischen 2. Wenn nachdem er eine Figur gesetzt hat ein Spieler; [3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
7: glaubt zwei oder mehrere seiner Figuren verbinden zu können kann er ein Verbindungsstück zwischen je 2 dieser Figuren legen um eine Schranke zu bilden.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
8: Die Figuren können nur dann verbunden werden wenn der Abstand zwischen ihnen der Diagonale eines aus 6 Löchern entspricht BEGRIFFE und Die acht möglichen die der Richtungen des zeigen die Reihen zuges.; []
9: folge des Setzens an; []
10: Eine Schranke kann nicht gekreuzt werden.; []
11: Keine Schranke besteht wo ein Spieler verbunden haben konnte es jedoch nicht tat gleichgültig ob das Versehen beabsichtigt oder unbeabsichtigt war.; [3142: Verlierbedingung, 1492: Siegbedingung, ]
12: 3.; []
13: Um zu gewinnen muß ein Spieler; [164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
14: seine Grenzen mit einer ununterbrochenen Kette seiner Figuren verbinden die Kette muß auf beiden Seiten hinter der Grenze enden.; [7090: Kooperative Spielform, ]
15: Falls keiner der Spieler eine solche Barriere vervollständigen kann ist das Spiel unentschieden.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
16: Musterspiel; []
17: Die Spiele sind schematisch auf einem Miniaturbrett dargestellt.; [164466: Loswerden, ]
18: Das wirkliche ist mehr als viermal größer.; [164466: Loswerden, 1492: Siegbedingung, ]
19: Rot wird versuchen die roten Grenzen zu verbinden und Schwarz die schwarzen Einfassungen.; [3173: Gemeinsames Spielfeld, ]
20: 1.; []
21: Rot setzt zuerst und nimmt einen zen Platz ein.; [3173: Gemeinsames Spielfeld, ]
22: 1.; []
23: Schwarz zieht nach indem er sich zwischen die gegnerische Figur und das Ziel setzt.; [1292: Zufall, ]
24: 2.; []
25: Rot zerstört prompt dieses Prinzip indem er wie oben setzt.; []
26: Dieser Zug ist schlecht denn 2.; []
27: Schwarz sperrt den Weg von rot.; []
28: Schwarz hat nun den Vorteil.; [3173: Gemeinsames Spielfeld, ]
29: 3.; []
30: Rot versucht eine Ablenkung schräge Figur; [7090: Kooperative Spielform, ]
31: Schwarz sollte seine Position verteidigen indem er besetzt.; []
32: 3.; []
33: Schwarz setzt wie gezeigt.; []
34: Er denkt nicht vor aus.; []
35: 4.; []
36: Anstatt eine Figur zu setzen kann ein Spieler auch eine Figur die er vorher auf das Brett gesteckt hatte mit den entsprechenden wieder entfernen.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
37: Dabei sollte er jedoch darauf achten keine Figuren und zu entfernen deren Wegnahme zum Vorteil seines Gegners wäre.; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
38: 4.; []
39: Rot verkettet doppelt um seine Schranke zu schließen.; [8536: Aktionspunkte, ]
40: Er kann nicht daran gehindert werden die untere Grenze zu er reichen.; []
41: 4.; []
42: Schwarz setzt sich zwischen die gegnerische Figur und das Ziel.; [7090: Kooperative Spielform, ]
43: Rot könnte dem Siege durch den Zug nahe sein indem er besetzt.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
44: Jedoch statt dessen 5. Rot zieht wie gezeigt schräge Figur ein sehr schwacher Zug in dieser Lage.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
