0: Heinrich Ein für 2 bis 4 findige Spieler ab 10 Jahre Spieldauer etwa 20 Minuten Spielziel Du gewinnst wenn du als Erster das Wort LIEBE bilden kannst. oder wenn du als Erster erkennst dass sich das Wort nicht bilden lässt.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
1: Vorbereitung; []
2: Mischt die Kärtchen und legt sie verdeckt in einem Quadrat von 6 6 Kärtchen aus.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
3: Übersicht Wer die Anleitung liest bestimmt wer den ersten Spielzug macht.; [8528: Siegpunkte, ]
4: Nach jedem Spielzug kommt der jeweils linke Mitspieler mit seinem Spielzug dran.; [8528: Siegpunkte, ]
5: So geht es im Uhrzeigersinn weiter bis der Gewinner feststeht.; []
6: Was machst du in deinem Spielzug?; []
7: 1.; []
8: Du musst ein Kärtchen aufdecken.; []
9: 2.; []
10: Bilde das Wort LIEBE um das Spiel zu gewinnen.; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
11: 3.; []
12: Wenn das nicht klappt Nächster dann ist dein linker Mitspieler dran.; []
13: Wenn du den Verdacht hegst dass das Spiel enden wird ohne dass jemand das Wort bilden konnte kannst du zu Beginn deines aussteigen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
14: Behältst du Recht gewinnst du ganz alleine.; [164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
15: Spielmaterial; []
16: 36 Kärtchen je 8 8 4; []
17: Das Herz; []
18: 1. Kärtchen auf decken Normalerweise deckst du nur ein Kärtchen auf.; [8536: Aktionspunkte, ]
19: Wenn es ein Buchstabe ist im Bild das machst du mit dem nächsten Schritt weiter.; [8536: Aktionspunkte, ]
20: Wenn du beim Aufdecken des Kärtchens allerdings ein Herz findest hier rechts unten deckst du auch sofort alle horizontal und vertikal benachbarten Kärtchen auf.; []
21: Du musst das Kärtchen so hegen lassen wie du es aufgedeckt hast.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
22: Es kann also sein dass die Buchstaben in verschiedene Richtungen weisen.; [8536: Aktionspunkte, ]
23: 2.; []
24: Bilde das Wort; []
25: LIEBE; []
26: Nachdem du ein Kärtchen aufgedeckt hast oder im Falle eines Herzens sogar mehrere Kärtchen kannst du versuchen die LIEBE zu finden.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
27: Du gewinnst wenn du in deinem Spielzug fünf Kärtchen mit den Buchstaben des Wortes LIEBE entdeckst und sie in einer Kette diagonal horizontal oder vertikal korrekt aufeinander folgen.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, 166903: Ankommen, ]
28: In dieser Situation ist es noch nicht möglich eine solche Kette zu bilden.; []
29: die Liebe Art.-Nr. 2014 Edition Erlkönig Heinrich Mario; []
30: 95 55118 Mainz; []
31: Alle Rechte Vorbehalten http Es ist erlaubt dass die Kette sich kreuzt aber es müssen immer fünf verschiedene Kärtchen sein.; [164466: Loswerden, 3142: Verlierbedingung, ]
32: 3.; []
33: Nächster; []
34: Wenn du keinen Weg findest das Wort LIEBE zu bilden deutlich Nächster!; []
35: damit der nächste Spieler seinen Spielzug beginnen kann.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
36: Aussteigen; []
37: Du bist; []
38: der Meinung dass es nicht möglich ist das Wort LIEBE in der Aus lage zu bilden?; []
39: Dann verzichte auf deinen Spielzug und sage laut Ich steige aus.; []
40: Es gibt keine LIEBE!; []
41: Du spielst nicht mehr mit.; [164466: Loswerden, 1492: Siegbedingung, ]
42: Deine Mitspieler spielen zu Ende weiter keiner von ihnen darf jetzt noch aussteigen.; [164466: Loswerden, 3142: Verlierbedingung, ]
43: Finden Sie tatsächlich keine Liebe in der Auslage bist du der einzige traurige Gewinner.; []
44: Spielende; []
45: Das Spiel endet mit dem Sieg des Spielers der in seinem Spielzug das Wort LIEBE bilden kann.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
46: Konnte keiner von euch die LIEBE finden?; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
47: Dann gewinnt der Spieler der ausgestiegen ist.; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 8528: Siegpunkte, ]
48: Sollte keiner ausgestiegen sein; []
49: wenn die Liebe sich nicht finden lässt gibt es keinen Gewinner; [7090: Kooperative Spielform, ]
50: DAS sollte eigentlich nie passieren!; []
51: Lust auf mehr?; [164466: Loswerden, ]
52: gut wer auf anspruchsvollere Spielchen steht findet unsere knifflige Variante auf Viel Spaß!; []
53: http; []
