0: DAS SUPER; []
1: MARIO; []
2: Die ganze Welt von Super Mario in einem abenteuerlichen Brettspiel.; []
3: Spielmaterial 1 Spielplan; [3173: Gemeinsames Spielfeld, ]
4: 8 Spielfiguren in vier Farben für Spieler 1 Würfel 60 Spielkarten Spielidee Prinzessin Daisy von wurde von ei schrecklichen Ungeheuer namens in das Königreich entführt.; [1292: Zufall, ]
5: Super Mario und Luigi machen sich sofort auf den Weg um die Prinzessin zu befreien.; []
6: Hierbei führt sie ihr Weg durch die drei und wo zahlreiche Gefahren auf sie lau Derjenige Spieler der zuerst mit Mario und Luigi in ankommt die Prinzessin befreit und seine Mitspieler besiegt hat gewonnen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
7: Spielvorbereitung; []
8: Die Spieler setzen je eine Super Mario und eine Luigi Figur auf die mit der gleichen Farbe.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
9: Aus dem werden sie ben Pilze und drei Herzen aussortiert und als an den Spielfeldrand gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
10: Die restlichen Spielkarten werden gemischt und mit der Rückseite nach oben auf das Fragezeichen feld gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
11: Die Spielanleitung wird für jeden Spieler gut erreichbar aufgeschlagen.; [1292: Zufall, 1492: Siegbedingung, 7090: Kooperative Spielform, 8528: Siegpunkte, ]
12: Spielverlauf; []
13: Wer die höchste Augenzahl würfelt fängt an.; [1292: Zufall, 164466: Loswerden, ]
14: Wirft ein Spieler im Spielverlauf eine 6 darf er Danach wird im Uhrzeigersinn nochmals würfeln.; [1292: Zufall, 164466: Loswerden, ]
15: Spielende; []
16: Um in das Königreich rosa Feld einzutreten muß der Spieler eine 6 würfeln.; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
17: Hierzu hat er 3 Würfe frei.; []
18: Dort angekommen muß er sich entscheiden ob er jeweils mit Luigi oder Super Mario oder linksherum durch ziehen will.; [1292: Zufall, 8536: Aktionspunkte, ]
19: Er kann sich während der gesamten Spiel dauer aussuchen ob er lieber mit Luigi oder mit Super Mario ziehen möchte.; [1292: Zufall, 3142: Verlierbedingung, ]
20: Einzige Ausnahme; []
21: Solange sich Luigi und Mario nicht beide in einem der befinden muß eine 6 für den Eintritt nach genutzt werden.; [8536: Aktionspunkte, ]
22: gilt; []
23: Ein einmal Weg ist eine Einbahnstraße.; []
24: Umkehren verboten!; []
25: Auf jedem Spielfeld kann immer nur eine Spielfigur stehen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
26: Gelangt ein Spieler auf ein schon besetztes Feld so schickt er den der zuerst da war zurück an den Start.; [7090: Kooperative Spielform, ]
27: Steht auf dem besetzten Feld eine eigene Figur so darf man würfeln; [1292: Zufall, 8536: Aktionspunkte, ]
28: bis ein Zug möglich ist bei dem man sich nicht selbst zurück schicken muß.; [8536: Aktionspunkte, ]
29: Nur auf den und Feldern der dürfen mehrere Spieler stehen und werden nicht zurückgeschickt.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
30: Der Weg nach ist mit Fragezeichen gepflastert.; []
31: Wer auf einem Fragezeichen stehenbleibt muß sich eine Karte vom nehmen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
32: Was dann zu tim ist kann unter der Überschrift Spielkarten und Königreichwechsel oder auf der Rückseite jeder einzelnen Karte nachgelesen werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
33: Außerdem müssen auf dem Weg zahlreiche Schluchten überwunden werden.; []
34: Reicht die gewürfelte Augenzahl nicht zum Überspringen ei Schlucht 1 2 oder 3 Felder aus so fällt der Spieler auf das Feld.; [1292: Zufall, 8536: Aktionspunkte, 166903: Ankommen, ]
35: Von dort aus muß er den gleichen Weg noch einmal gehen.; []
36: Gelangt ein Spieler durch Herunterfallen auf ein Feld mit Fragezeichen darf er keine Karte nehmen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
37: Die Felder mit der Aufschrift Hier wacht sind die Endstationen des jeweiligen Sie müssen genau getroffen werden.; [7090: Kooperative Spielform, ]
38: Über Würfelaugen verfallen also nicht.; [1292: Zufall, ]
39: Not falls muß mit der zweiten Spielfigur gezogen wer den.; [1292: Zufall, ]
40: Kann ein Spieler auch mit dieser Spielfigur nicht ziehen muß er einmal aussetzen.; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
41: Erreicht ein Spieler das Feld Hier wacht... kann er sofort versuchen den jeweiligen Herrscher zu überwinden.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
42: Dazu muß er bestimmte Aufgaben erfüllen die unter der Überschrift Spielkarten und Königreich wechsel beschrieben sind.; [1292: Zufall, ]
43: Wer mit seinen beiden Spielfiguren in tritt hat schon fast gewonnen.; [164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
44: Er muß aber noch die Prinzessin aus der Gewalt befreien.; []
45: Dabei entpuppen sich die anderen Super Marios und als gemeine Mitspieler die noch besiegt werden müssen.; []
46: schief darf der Gegner ganz normal auf dem Spielbrett weiterziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
47: Klappt es jedoch bedeutet dies für den Gegner das Ende.; []
48: Sollte es zwei Spielern gelingen mit ihren beiden Spielfiguren bis nach vorzudringen müssen sich auch die beiden Spieler nach dieser Regel bekämpfen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
49: Deshalb muß der seine Gegenspieler auswürfeln.; [1292: Zufall, ]
50: Er beginnt zunächst mit dem Gegner zu seiner linken.; [8536: Aktionspunkte, ]
51: Um ihn zu besiegen muß er eine höhere Augenzahl würfeln.; [1292: Zufall, 8536: Aktionspunkte, ]
52: Gelingt dies nicht beim ersten Mal hat er noch einen Versuch.; [3142: Verlierbedingung, ]
53: Geht es auch beim zweiten Mal Genauso verfährt der mit den an deren Gegenspielern die er im Uhrzeigersinn auswürfeln muß bis sie alle Erst dann kann er die Prinzessin und hat das Spiel gewonnen.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
54: HerzSpielkarten und Königreichwechsel; [1292: Zufall, ]
55: Die Spielkarten können dem Spieler freundlich aber auch feindlich gesinnt sein.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
56: Manche Karten kann der Spieler sammeln sie retten ihm später das Lehen.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
57: In diesem Fall muß sich der Spieler aber vorher entscheiden ob er gegen den Feind würfeln oder ob er lieber eine Karte hergeben möchte.; [1292: Zufall, 3142: Verlierbedingung, ]
58: Alle Karten werden nach Gebrauch zurückgegeben unter den geschoben.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
59: Ausnahme Karten die laut Anweisung mit den Karten am Spielfeldrand getauscht werden können.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
60: Der Stapel mit den aufgedeckten Karten am Spielfeldrand kann von allen Mitspielern eingesehen werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
61: Achtung; []
62: Weder ein Stern noch zwei Pilze können das was das Herz kann.; []
63: Pilz Stern Fällst Du in eine Schlucht so macht ein Herz den Absturz Du darfst dann auf der Schlucht in der Luft stehenbleiben; []
64: Ein Stern hilft Dir bei der Überwindung der Herrscher.; []
