0: Spielidee; []
1: Die Spieler schlüpfen in die Rollen von Unternehmern die sich in den Bereichen Schiffsbau Handel und Transport engagieren.; [8528: Siegpunkte, 1492: Siegbedingung, ]
2: Sie sind also Werftinhaber Kaufmann und Reeder in einem.; []
3: Als Werftbetreiber bauen die Spieler Schiffe verschiedener Größe.; [8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
4: Als Kaufmann erwerben sie Waren die es mittels fertiggestellter Schiffe als Reeder zu verschiffen gilt.; [8528: Siegpunkte, ]
5: Sowohl für fertiggestellte Schiffe wie für verschiffte Waren gibt es Siegpunkte.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
6: Wer nach 5 Runden 4 Runden im Spiel zu zweit die meisten Siegpunkte errungen hat ist der Sieger.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
7: Spielmaterial 72 Segel; []
8: 4 15 Segel mit 4 verschiedenen Wappen 12 Segel mit Kron 72 Masten; []
9: 4 15 Masten mit 4 verschiedenen Wappen 12 Masten mit Krone 1; []
10: Ankerplättchen; []
11: 1 Drehscheibe; []
12: 8 Aktionsplättchen 1 Spielplan; [3173: Gemeinsames Spielfeld, ]
13: 48 Warenplättchen je 12 Kaffee Getreide Salz und Fisch; []
14: 28 Arbeitersteine Arbeiter 42 Münzen; []
15: 26 1 Taler 16 5 Taler; []
16: 12 4 Sets mit jeweils 1 Übersicht Siegpunkte bei Spielende; [8528: Siegpunkte, 1492: Siegbedingung, ]
17: 18 Bugplättchen Spielvorbereitung 9 18 Heck Plättchen plättchen 18; [8528: Siegpunkte, ]
18: Der Spielplan wird in die Tischmitte gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
19: für kostenpflichtige Aktionen; []
20: In die Mitte wird die Drehscheibe gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
21: Bonusfelder für hierhin wird der Rundenmarker gestellt er Startfeld für Siegpunktmarker; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
