0: fit für; []
1: ha; []
2: KOHM; []
3: ES; []
4: ES SpE; []
5: In ha 1 mit 60 Aufgaben 1 Waage; []
6: 10 4 Mangos Blockadesteine; []
7: 16 Aufkleber 10 Aufkleber für die sowie 2 2 Aufkleber für die Waage sowie 2 Löst vor dem ersten Spiel vorsichtig die Aufkleber und bringt auf jedem Tukan 1 an.; [3142: Verlierbedingung, 8528: Siegpunkte, ]
8: Die beiden großen Aufkleber klebt ihr oben auf die Waage sodass die Zahlen jeweils auf einer Seite sind und die Ziffer 5 immer außen auf der Waage ist siehe Abbildung Zahlen auf einer Seite und Ziffer 5 jeweils außen auf der Waage; [7090: Kooperative Spielform, 1292: Zufall, ]
9: ZIEL; []
10: Die wollen sich auf die Waage setzen und in Ruhe Mangos futtern.; []
11: Doch die Waage ist ganz schön; []
12: In jeder Aufgabe müssen die daher so platziert werden dass die Waage im Gleichgewicht ist.; [1492: Siegbedingung, ]
13: da Spiel; []
14: 1. Wähle eine Aufgabe.; []
15: 2. Lege die benötigten Mangos und die Waage bereit.; []
16: 3. Achte auf die Hinweise.; []
17: 4. Finde die Lösung und bringe die Waage ins Gleichgewicht.; [8528: Siegpunkte, ]
18: iHN; []
19: WEISE; []
20: Im blauen Balken siehst du wie viele insgesamt auf der Waage sitzen.; [8536: Aktionspunkte, ]
21: Jede Zahl und jedes Fragezeichen stehen dabei für genau 1 Tukan.; [8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
22: Zahlen und Fragezeichen auf der linken Seite vom Gleichheitszeichen zeigen dir wie viele auf der linken Seite der Waage sitzen.; [1292: Zufall, ]
23: Zahlen und Fragezeichen auf der rechten Seite vom Gleichheitszeichen zeigen dir wie viele auf der rechten Seite der Waage sitzen.; [1292: Zufall, ]
24: Rote Fragezeichen stehen für einen Tukan der auf einem Platz mit einer roten Zahl sitzt also 1 3 oder 5; [8536: Aktionspunkte, 3173: Gemeinsames Spielfeld, ]
25: Grüne Fragezeichen stehen für einen Tukan der auf einem Platz mit einer grünen Zahl sitzt 2 oder 4 Weiße Fragezeichen stehen für einen Tukan dem es egal ist ob er auf einem Platz mit einer grünen oder roten Zahl sitzt.; [8536: Aktionspunkte, 3173: Gemeinsames Spielfeld, ]
26: Je nach Aufgabe können die auch übereinander sitzen!; [8536: Aktionspunkte, ]
27: Bei manchen Aufgaben musst du auch Mangos platzieren entweder direkt auf der Waage oder auf einem Tukan.; [8536: Aktionspunkte, ]
28: Wo genau erkennst du anhand der kleinen Mangos in der Aufgabe.; [8536: Aktionspunkte, ]
29: Eine Mango blockiert den Platz auf dem sie liegt.; [3173: Gemeinsames Spielfeld, ]
30: Wo eine Mango liegt darfst du also keinen Tukan mehr platzieren!; [8536: Aktionspunkte, ]
31: Hier sitzen genau 6 auf der Waage.; []
32: Drei auf der linken Seite und drei auf der rechten Seite.; [8536: Aktionspunkte, 1292: Zufall, ]
33: die auf der linken 5 und auf der rechten 1 sowie die Mangos auf der linken 1 und der rechten 1 auf dem Kopf des dort sitzenden Nun musst du heraus finden wo die anderen 4 sitzen.; [8536: Aktionspunkte, ]
34: Die linke 1 und der Platz über dem Tukan auf der rechten 1 sind allerdings durch Mangos TIP; []
35: Die Aufgaben lassen sich auch mathematisch lösen; [3173: Gemeinsames Spielfeld, ]
36: Wenn die Zahlen auf der linken Seite der Gleichung zusammengezählt die gleiche Summe ergeben wie auf der rechten Seite der Gleichung ist die Waage im Gleichgewicht.; [7090: Kooperative Spielform, ]
37: Halte die Waage mit einer Hand im Gleichgewicht während du die Hast du alle gemäß der Aufgabe platziert lasse die Waage los.; [73230: Symmetrische Startbedingung, 164466: Loswerden, ]
38: Ist die Waage nun im Gleichgewicht hast du die Aufgabe gelöst.; []
39: Kippt die Waage jedoch zur Seite musst du einen oder mehrere neu platzieren.; [3173: Gemeinsames Spielfeld, ]
40: 1 task 60 tasks 1 balance 10 4 16 10 plus 2; []
41: spare 2 plus 2 spare Betöre first game stick label Stick top balance so set see; []
42: Illustration Set 5 balance; []
43: AM down task so translation Sybille; []
44: Word Wort; []
45: Co; []
46: oFT; []
47: GAME 1.; []
48: task.; []
49: 2. hand.; []
50: 3.; []
51: task.; []
52: 4. balance.; []
53: InS In bar see overall mark Stands show show stand fora; []
54: spot 1 3; []
55: 5 stand fora spot; []
56: 2 4 stand fora spot; []
57: task also top tasks well top in task show mango blocks spot may not; []
58: spot mango!; []
59: 0 0 5 1 1 1 out 1; []
60: spot top 1; []
61: TIP also tasks Stands total same in balance.; []
62: hold in balance hand.; []
63: all task task.; [164466: Loswerden, ]
64: tips down eise.; []
65: HA; []
66: Er 1 de 60 1 balance 10 4 de 16 stickers 10 stickers plus 2 stickers de 2 stickers balance plus 2 stickers de premiere partie stickers sticker grands stickers de balance de de 5 de balance Illustration serie de Chiffre 5 de balance.; []
67: BUTT; []
68: DU; []
69: JE balance; []
70: Mais balance nest; []
71: de de balance Word; []
72: Wort DEr; []
73: EH DU JE 1. 2. necessaires balance.; [8536: Aktionspunkte, 8528: Siegpunkte, ]
74: 3.; []
75: du; []
76: 4. balance 5 de de bande bleue de balance.; []
77: Chiffre du egal de de balance.; []
78: du de de balance.; []
79: Chiffre rouge 1 3 5; []
80: Chiffre 2 4 de chiffre rouge.; []
81: uns des balance illustration du eile de boy balance du du 5; []
82: de tun 1 de 1 de 1 de; []
83: du de 1 de du 1 de des mAST; []
84: ES du chiffre ilse addition des de addition des de balance balance main. balance.; []
85: eile Mais eile balance.; []
86: 1 met 60 1 10 4 mango 16 10 de met 2 2 de met 2 de los; []
87: er elke; []
88: De körnen; []
89: de de kant 5 de van de Staat De kant 5 de VAN De willen de rüstig van de mango Maar de elke de worden de in Word Wort SpE VErL; []
90: 1. Kies 2. de mango 3.; []
91: de 4. de in 3 an; []
92: in; []
93: In de Staat; []
94: er sannen de Gefallen de linker kant van er de linker kant van de de rechter kant van er de rechter kant van de Rode die met 1 3 5; []
95: die met 2 4 niet met van de er je mango de je de kleine mango in de mango de mango mag je 6 de links rechts.; []
96: de de linker 5 de rechter 1; []
97: ende mango de linker 1 ende rechter 1 de van de je de andere 4 De linker 1 ende de van de rechter de rechter 1 mango; []
98: TIP ADe van de worden Elke Staat Staat.; []
99: Als de gefallen de van de samen als die de de in de met hand in als je de er Als er als in de Staat je de los.; [73230: Symmetrische Startbedingung, ]
100: Als de in je de Als de je meer KENNEN; []
101: SIE; []
102: schon HA; []
103: KENT Clever kombinieren!; []
104: Bringe; []
105: Ordnung in den Monster Brunch!; []
106: chaos Monster Brunch de Monster Brunch de Monster Brunch!; []
107: Knick den Finde die Lösung!; []
108: de de 2014 HUCH!; []
109: Design GmbH Illustration Oliver Freudenreich Andreas Resch Trade GmbH; []
110: Co KG Günzburg Nicht geeignet für Kinder Jahren; [8536: Aktionspunkte, ]
111: Erstickungsgefahr durch 1 de 3 ans.; []
112: de elements 3 per che da Not 3 Niet 3 die worden.; []
113: http; []
