0: Idee; []
1: Karsten Kartenspiel für 2 6 Spieler ab 10 8 Jahren Spieldauer Minuten Inhalt 60 Buchstabenkarten je in schwarz und weiß 6 Jokerkarten Fragezeichen in schwarz und weiß Spielanleitung Spielidee und Spielziel Aus einzelnen Buchstaben Worte bilden und das möglichst schneller als die anderen Alle Spieler decken gleichzeitig Karte für Karte auf Sobald ein Spieler; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, ]
2: ein Wort sieht darf er es rufen und sich alle Buchstaben des Wortes nehmen Vorbereitung und Spielverlauf Hinweis; []
3: Jede einzelne Karte ist mit schwarzen und weißen Buchstaben bzw Fragezeichen bedruckt; [1292: Zufall, ]
4: Vor dem Spiel einigen sich die Spieler ob sie entweder mit den schwarzen oder den weißen Buchstaben spielen!; [164466: Loswerden, 3142: Verlierbedingung, ]
5: Alle 66 Karten werden verdeckt gemischt und gleichmäßig an die Spieler verteilt die sie als verdeckten Stapel vor sich ablegen Evtl übrig bleibende Karten werden in die Schachtel gelegt 1; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
6: Auf Kommando decken alle Spieler gleichzeitig ihre oberste Karte auf und legen sie offen in die Tischmitte so dass sie sich nicht überdecken; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8528: Siegpunkte, ]
7: Die Ausrichtung ist egal Dabei ist es wichtig dass die Karten immer zuerst für die Mitspieler sichtbar aufgedeckt werden; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
8: Alle versuchen gleichzeitig aus den Buchstaben der offenen Karten Worte zu bilden vereinbarte Farbe; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
9: beachten Dabei sind die Fragezeichen Joker und dürfen für jeden einzelnen Buchstaben eingesetzt werden müssen immer für 2 im Wort Buch verwendet werden Beispiele; []
10: Ein Wort muss nicht aus allen sichtbaren Buchstaben bestehen; []
11: Allerdings müssen alle Buchstaben aus denen das Wort gebildet wird in der vereinbarten Farbe offen auf dem Tisch; [1292: Zufall, ]
12: vorhanden sein Braucht man einen Buchstaben zweimal muss er auch zweimal auf dem Tisch liegen Befinden sich auf einer Karte mehrere Buchstaben in einer Farbe müssen sie genau in der gezeigten Abfolge verwendet werden Jedes Wort muss; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
13: aus Buchstaben auf mindestens 3 Karten gebildet werden Sind zu wenig offene Karten auf dem Tisch oder finden die Spieler kein zulässiges Wort wird auf Kommando von allen eine weitere Karte wie oben aufgedeckt und zu den bereits offen liegenden Karten gelegt 1 2; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
14: Wer ein Wort sieht ruft es laut und unterbricht damit die Spielrunde Jetzt überprüfen alle ob das Wort zulässig ist Ist das Wort zulässig Hinweis zu nimmt sich der Spieler alle Karten in der Reihenfolge aus denen das Wort besteht als Gewinn; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
15: Er bildet daraus einen eigenen Stapel und legt ihn offen neben sich Anfangsbuchstabe des Wortes oben Alle weiteren von ihm im Spielverlauf gewonnen Karten werden dann oben auf seinen bereits bestehenden Stapel gelegt Achtung; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
16: Es dürfen zur Wortbildung jederzeit die obersten offen liegenden Karten der bei allen Spielern werden!; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
17: Ist das Wort unzulässig oder besteht nur aus 2 Karten darf sich jeder andere Spieler; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
18: eine offene Karte aus der Tischmitte nehmen Dazu wird festgestellt ob genügend offene Karten; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
19: in der Tischmitte liegen Gegebenenfalls muss der Spieler der das unzulässige Wort gerufen hat entsprechend viele Karten von seinem verdeckten Stapel dazulegen Beginnend mit seinem linken Nachbarn; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
20: darf sich jeder reihum eine der Karten aussuchen und auf seinen legen Liegen nach der zulässig und unzulässig noch Karten in der Tischmitte werden diese gemischt und als Stapel neben die Schachtel gelegt Auch dieser Stapel kann ab sofort; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
21: von allen beim Bilden weiterer Worte werden Anschließend setzen alle auf Kommando gleichzeitig das Spiel fort; []
