0: Man kann auch den Holzständer wie auf Abbildung 2 zu sehen so umbauen dass die Tiere über die Tischkante gehängt werden können.; []
1: Dadurch ist es möglich eine sehr lange zu hängen.; []
2: Wie viele Tiere können dabei aneinander gehängt werden ohne dass sie reißt; [8536: Aktionspunkte, ]
3: Für alle Meister im gibt es noch eine Stoppt die Zeit wie lange ihr für eure braucht.; [8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
4: Auch hierbei könnt ihr immer neue Rekorde aufstellen!; []
5: Abbildung 1; []
6: normales Spiel; []
7: es hängen bereits viele Tiere.; []
8: Tisch Abbildung 2 Aufbau für die Georg GmbH Co.; []
9: KG Werkstraße Fürth Germany Adresse bitte aufbewahren.; []
10: Art.; []
11: Nr.; []
12: 60 601 6937 http Spielanleitung Zahl der Spieler Alter Autoren Illustrationen Inhalt 2 4 ab 4 Jahren Manfred und Silke Heidemarie 2; [164466: Loswerden, ]
13: Holzständer 24 Tiere Symbolwürfel; [1292: Zufall, ]
14: Spielanleitung; []
15: Ziel des Spieles; []
16: .... ist es alle seine Tiere an die anhängen zu können.; [164466: Loswerden, ]
17: Wer dies zuerst schafft gewinnt das Spiel.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
18: Spielvorbereitung; []
19: Zu Beginn des Spieles wird das Baum aufgebaut.; [3173: Gemeinsames Spielfeld, ]
20: Dazu stellt man die Holzständer nebeneinander und schiebt die dünne durch die Löcher der Ständer.; [3173: Gemeinsames Spielfeld, ]
21: Die beiden Ständer sollten so ausgerichtet sein dass man die Tiere bequem aufhängen kann.; []
22: Jeder Spieler nimmt sich 6 verschiedene Tiere die er vor sich ablegt.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 3173: Gemeinsames Spielfeld, ]
23: Der Symbolwürfel wird bereitgelegt.; [1292: Zufall, 1492: Siegbedingung, ]
24: Spielverlauf Gespielt wird im Uhrzeigersinn.; []
25: Der jüngste Spieler beginnt und würfelt mit dem Symbolwürfel.; [1292: Zufall, 164466: Loswerden, ]
26: Auf dem Symbolwürfel sind verschiedene Aktionen abgebildet die folgende Bedeutung haben Würfle ich dieses Symbol muss ich ein beliebiges eigenes Tier nehmen und aufhängen; [1292: Zufall, ]
27: Wenn noch kein Tier hängt hänge ich mein Tier direkt an die Stange.; [8528: Siegpunkte, ]
28: Wenn schon Tiere hängen hänge ich es an ein beliebiges Tier der Würfle ich dieses Symbol muss ich einmal aussetzen.; [1292: Zufall, 8536: Aktionspunkte, ]
29: Würfle ich dieses Symbol muss mein rechter Nachbar entscheiden ob ich eines meiner Tiere mit dem Kopf oder mit dem Schwanz bzw. Hinterbein einhaken muss.; [1292: Zufall, ]
30: Hat der rechte Nachbar sich entschieden hänge ich eines meiner Tiere entsprechend auf.; []
31: Würfle ich dieses Symbol dann kann ich muss aber nicht ein eigenes Tier gegen ein Tier eines beliebigen Mitspielers tauschen.; [1292: Zufall, 8536: Aktionspunkte, ]
32: Dies ist dann sinnvoll wenn man ein eher schwierigeres Tier zum Aufhängen gegen ein leichteres Tier eines Mitspielers tauschen möchte.; [8536: Aktionspunkte, ]
33: Würfle ich dieses Symbol entscheidet mein rechter Nachbar welches von meinen noch vor mir liegenden Tieren; [1292: Zufall, ]
34: ich aufhängen muss.; []
35: und Das erste Tier muss an die gehängt werden.; []
36: Das zweite wird unten an das erste Tier gehängt usw.; []
37: Zu Beginn des Spieles werden die Tiere untereinander gehängt.; [8528: Siegpunkte, ]
38: Das heißt bis das unterste Tier knapp über der hängt.; []
39: Achtung; []
40: Kein Tier darf so hängen dass es dabei die berührt!; [8536: Aktionspunkte, ]
41: Weitere Tiere können dann an andere Tiere beliebig angehängt werden.; [1292: Zufall, 8536: Aktionspunkte, 3173: Gemeinsames Spielfeld, ]
42: Siehe Abbildung; []
