0: SPielmaterial Korb Schwert lampe Schale; []
1: gerbe Wasserschlauch de dell 1 Gitarre Gefäß vase Teppich; []
2: Tasche Krug Kanne 1 1 Ali 1; []
3: Sattel seile 2 2; []
4: miss turn 2 2 15 15 15 15 3 3 bonus; []
5: 3 bonus; []
6: 3 bonus 15 1 Lege den Sattel auf Rücken.; []
7: Achte darauf dass der Sattel richtig herum liegt siehe Zeichnung 2; [8536: Aktionspunkte, ]
8: Bevor Ali durch die Wüste reisen kann muss er zuerst dafür sorgen dass sich hinsetzt damit er sie bepacken kann.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
9: Wichtig damit sie sich hinsetzt Nicht festhalten wie abgebildet!; []
10: Wenn man den Sattel berührt bleibt nicht sitzen.; []
11: Fasse sie nur an Hals und Schwanz an wie abgebildet.; []
12: 3; []
13: Beim Herunterdrücken Hals und Schwanz etwas zusammendrücken und setzt sich von selbst.; []
14: 4 Weiterhin; []
15: Hals und Schwanz zusammen drücken der Sattel kommt jetzt etwas hoch.; []
16: Du spürst ein Einrasten.; []
17: bleibt nun sitzen.; []
18: Spielverlauf Ziel Des; []
19: 1.; []
20: Der jüngste Kameltreiber fängt an.; [7090: Kooperative Spielform, ]
21: Es geht im Uhrzeigersinn weiter.; []
22: 2. Drehe die oberste Karte des Stapels um und lege sie daneben.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
23: Diese bildet den Ablagestapel.; [1292: Zufall, ]
24: Versuche die meisten Punkte zu erzielen indem du die bepackst.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
25: Sie muss aber sehr behutsam beladen werden sonst sie und wirft alle Gepäckstücke wieder ab!; [1292: Zufall, ]
26: Es kann eine der folgenden Karten sein Nimm den abgebildeten Gegenstand und hänge ihn vorsichtig an einen der senkrechten Stöcke des Sattels.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
27: Wenn dies gelingt ohne dass darfst du die Karte behalten und als Siegpunkt werten Danach ist der nächste Spieler im Uhrzeigersinn an der Reihe.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 3173: Gemeinsames Spielfeld, ]
28: Du hast Glück!; [1292: Zufall, ]
29: Du darfst diese Karte behalten und bekommst die Punkte ohne etwas an den Sattel zu hängen.; [1292: Zufall, 8528: Siegpunkte, ]
30: Der nächste Spieler ist an der Reihe.; []
31: Schade!; []
32: Du setzt eine Runde aus und der Diese Karte bringt dir keinen Punkt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
33: nächste Spieler ist an der Reihe.; []
34: 3.; []
35: Wenn du das versehentlich fallen lässt bevor es am Sattel hängt kommt die Karte wieder zurück unter den Stapel und das wird zurückgelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
36: Dann ist der nächste Spieler an der Reihe.; []
37: 4.; []
38: Bist du an der Reihe und wirfst aus Versehen einen anderen Gegenstand oder gar Ali aus dem Sattel dann musst du ihn und das andere erst wieder am Sattel platzieren ehe; []
39: du dein eigenes anhängst.; [1492: Siegbedingung, ]
40: Wenn du an der Reihe bist und du so sehr verärgerst dass Ali und alle Gepäckstücke in die Luft fliegen dann ist das Spiel beendet und du verlierst alle Punkte die du bereits gesammelt hast.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
41: Wer bis dahin von deinen Mitspielern die meisten Punkte gesammelt hat gewinnt das Spiel.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
42: Das Spiel ist ebenfalls beendet wenn alle Gepäckstücke am Sattel hängen bevor und alles abwirft; [164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
43: Die Spieler zählen jetzt ihre Punkte und wer die meisten Punkte sammeln konnte hat gewonnen.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
44: nicht ruft mir Ali mein Kamelreiter ständig zu.; []
45: Er hat sich in den Kopf gesetzt die schöne Prinzessin des Landes mit Geschenken zu überhäufen um sie für sich zu gewinnen.; [164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
46: Und wer muss den ganzen Plunder durch die Wüste tragen?; []
47: Ich natürlich!; []
48: Nun ich denke gar nicht daran!; []
49: Möchtet ihr Ali helfen mich zu beladen?; [3173: Gemeinsames Spielfeld, ]
50: Nur zu versucht es doch!; []
51: Eine falsche Bewegung oder ein zu viel und ich schmeiße euch alle Teile um die Ohren.; [164466: Loswerden, 7090: Kooperative Spielform, 3173: Gemeinsames Spielfeld, ]
52: don; []
53: Ali atme.; []
54: plan in gifts her not Ali all back.; []
55: reste de Ali de de belle du bazar faire Ali je balance bord.; []
56: Ali Ha per chi peso Ali GmbH 9 1 Tel 0049 7046 Fax 0049 7046 info Illustration Grafik Hersteller; []
57: Alle Rechte Vorbehalten und Inhaltsänderungen Vorbehalten.; [164466: Loswerden, ]
58: http info; []
