0: Markus Spielidee; []
1: Das Leben in diesem Dorf ist hart!; []
2: Aber es bietet seinen Bewohnern viel Wegen zu Ruhm und Ehre führen.; []
3: Doch eines solltet ihr nie vergessen Raum zur Entfaltung.; [8536: Aktionspunkte, ]
4: Manch einer fühlt sich zum Glaubensbruder; []
5: Die Zeit lässt sich nicht aufhalten und mit ihr gehen die Menschen.; []
6: Ein strebt eine Karriere in der an.; [8536: Aktionspunkte, ]
7: Ein Dritter sucht die nach ihrem Tod in der verewigt werden können sein Glück in der Ferne den Ruhm eurer Familien mehren und euch dem Sieg ein ganzes Stück Jeder von euch lenkt die Geschicke einer Familie und kann diese auf näher bringen.; [1292: Zufall, ]
8: 48 Spielfiguren je 11 in den Spielerfarben rot gelb hellblau und elfenbein 4 schwarze Spielmaterial 1 Aufkleberbogen 32 aus Holz für Spielfiguren je 8 in den Spielerfarben 6 1; [1292: Zufall, ]
9: Startspielermarker 1; []
10: Marker Nächster Startspieler 72 Einflusssteine je 18 in den Farben braun rosa orange und grün 2 Leinenbeutel 1 grüner und 1 schwarzer 40 je 8 Pferd Pflug; [1292: Zufall, ]
11: Ochse und Planwagen; []
12: 4 Hofpläne; []
13: 1 Spielplan 24 Kundenplättchen; [3173: Gemeinsames Spielfeld, ]
14: 15 Münzen Rückseite; []
15: Vorderseite 20 3 je eines für 2 3 und 4 Spieler 1; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
16: Messe Spielvorbereitung; []
17: Vor dem ersten Spiel müsst ihr die roten gelben und Spielfiguren mit den beiliegenden Zahlen bekleben.; [3142: Verlierbedingung, 166903: Ankommen, ]
18: Auf die Vorderseite und Rückseite kommt jeweils die gleiche Zahl.; [1492: Siegbedingung, ]
19: Von jeder Farbe gibt es 2 3 4; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
20: Die schwarzen Spielfiguren werden von beiden Seiten mit je einem Kreuz beklebt.; [8536: Aktionspunkte, ]
21: Die übrigen Aufkleber sind als Ersatz gedacht.; []
22: 1.; []
23: Der Spielplan wird in die Tischmitte gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
24: Er zeigt das Dorf mit seinen verschiedenen Bereichen.; [8528: Siegpunkte, ]
25: Getreideernte Familie Handwerk Markt Reise; []
26: Kirche; []
27: Brunnen anonyme Gräber; []
28: 2. Jeder von euch wählt eine Farbe und erhält den jeweiligen Hofplan den er vor sich ablegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
29: Jeder Hof beherbergt zunächst die eigenen Familienmitglieder.; [8528: Siegpunkte, 1492: Siegbedingung, ]
30: Außerdem können hier beliebig viele Einflusssteine und Güter gelagert werden.; [1292: Zufall, 7090: Kooperative Spielform, ]
31: Die einzige Ausnahme bilden die von denen jeder Hof maxi mal 5 lagern kann.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
32: Um den Rand jedes Hofes verläuft die eigene Lebenszeitleiste über die gesteuert wird wann eine Figur das Zeitliche segnet.; [8536: Aktionspunkte, ]
33: 3.; []
34: Nehmt die 11 Spielfiguren und 8 Marker eurer Farbe.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
