0: der Zauberer Spielregel Ravensburger Spiele Nr. 21 101 2; []
1: Ein Spiel für 2 4 Spieler von 5 Jahren.; [3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
2: Nach einer Spielidee von Wolfgang ist ein ganz besonderer Tag.; [7090: Kooperative Spielform, ]
3: Der große Zauberer hat die Kinder seine Hexenküche eingeladen.; []
4: Dort wollen sie gemeinsam einen Zaubertrank brauen.; [7090: Kooperative Spielform, ]
5: Der Zauberer hat die Kinder gebeten Zutaten für den Zaubertrank mitzubringen.; []
6: Da die Kinder dem Zauberer furchtbar gern einen Streich spielen möchten haben sie ihm zu den gewünschten Zutaten Fröschen Schlangen und Knochen heute auch schlechte Zutaten mitgebracht.; [3142: Verlierbedingung, ]
7: Das sind die schrecklichen Klebespinnen.; []
8: Die Kinder sind natürlich schon ganz aufgeregt; []
9: Design Partner; []
10: Ravensburger Illustration Design Inhalt; []
11: 1 großer Zauberer 1 Spielplan 32 Zutaten für den Zaubertrank Stanztafel 1; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 8528: Siegpunkte, ]
12: Spielregel weil sie sich beim Unterjubeln der Klebespinnen vom Zauberer nicht erwischen lassen dürfen.; [1292: Zufall, 8536: Aktionspunkte, ]
13: Ein listiger Wettstreit beginnt.; []
14: Jeder möchte seine Zutaten als erster loshaben.; [73230: Symmetrische Startbedingung, 1492: Siegbedingung, ]
15: ist skeptisch denn erahnt daß ihm die Kinder Klebespinnen unterjubeln wollen.; []
16: Geraten zu viele Spinnen in den Zaubertrank wird er dick und zähflüssig und damit Da verliert selbst große ihre magische Kraft...; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
17: 1; []
18: In Pfeilrichtung öffnen 2 Batterien; []
19: einlegen 3; []
20: In Pfeilrichtung schließen Vorbereitung; []
21: Für den Zauberer benötigt ihr zwei 1 5 Batterien 03 Falls ihr; [8536: Aktionspunkte, ]
22: sie nicht schon Zuhause habt müßt ihr sie vor der ersten Spielrunde noch besorgen.; [3142: Verlierbedingung, ]
23: Sie sind in jedem Fachgeschäft erhältlich.; []
24: Die 1 3 zeigen euch wie die Batterien richtig eingesetzt werden.; []
25: Anschließend löst ihr die Zutaten für den Zaubertrank vorsichtig aus der Stanztafel.; [1292: Zufall, ]
26: Die Chips tragen auf ihrer Rückseite verschiedene in vier verschiedenen Farben.; [1292: Zufall, 1492: Siegbedingung, ]
27: Jeder von euch sucht sich eine Farbe aus und nimmt sich die acht Chips in dieser Farbe.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
28: Die Zutaten haltet ihr in der Hand oder legt sie verdeckt vor euch ab.; [1292: Zufall, ]
29: Die Farbe bestimmt eure Ablagefelder auf dem Spielplan.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
30: Dreht den Spielplan so daß jeder von euch vor den runden Feldern seiner Farbe sitzt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
31: Wer also die Zutaten mit den grünen hat legt seine Chips auf den grünen Ablagefeldern ab.; [164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
32: tIM; []
33: SIMS; []
34: Zum Schluß stellt ihr den Zauberer auf eines der sechs schwarzen Felder neben den Zaubertrank.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
