0: Georg Werkstraße; []
1: 1 Fürth Art.-Nr. 606011294 http scheuche Klaus Spielanleitung Regle du che Autor Klaus Illustrator Johann 2014 Spiele Spieler Alter Spieldauer ab 4 Jahren mit 3 aufeinander aufbauenden min Material 1 Holzfigur 1; [164466: Loswerden, ]
2: Holzfigur Vogelscheuche Otto 1 Farbwürfel; [1292: Zufall, ]
3: Zahlenwürfel 5 mit 7 zum Zusammenbauen 2 mit Schatten Vogelscheuche 7; [1292: Zufall, ]
4: farbige 30 Chips Körner 12 Chips 3 Chips fauler Zauber 4 für die Körner Spielanleitung; []
5: Die Geschichte; []
6: Der Sommer geht seinem Ende entgegen.; [164466: Loswerden, ]
7: Das Feld ist abgeerntet.; [7090: Kooperative Spielform, ]
8: Die hat schon alle Körner die sie nur finden konnte.; [164466: Loswerden, ]
9: Nur unter den schweren liegen bestimmt noch welche von den leckeren Und die Spatzen würden sie so gerne fressen!; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
10: Aber wie drankommen?; []
11: Auf seinem morgendlichen kommt der daher.; []
12: Ersieht die aufgeregten Spatzen zwischen den Stroh ballen zwitschern und auch die Vogelscheuche die stumm dabei steht.; []
13: Neugierig landet der Rabe auf einem Ballen und erfährt dass die hungrigen Vögel unter dem schweren Stroh Körner sammeln wollen.; []
14: Kein Problem sagt er; []
15: Ich bin ein Zauber rabe mit magischen Kräften; []
16: ich helfe euch!; []
17: Und tatsächlich werden nach seinem die Ballen leicht jedes Kind kann sie jetzt anheben.; []
18: So wird ein Spiel daraus bei dem es darum geht wer die meisten Körner sammelt!; [164466: Loswerden, 1492: Siegbedingung, ]
19: Auch die Vogelscheuche will mitspielen.; []
20: Ein weiterer von möglich... Alle Kinder helfen den Spatzen nach Körnern zu suchen!; [8536: Aktionspunkte, ]
21: Magie und ich jetzt suche ist was da!; []
22: Vorbereitung; []
23: Vor dem ersten Spiel Bitte alle ausbrechen.; [164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, ]
24: Die zusammenstecken für dauerhaften Halt die Deckel mit etwas Klebstoff fixieren.; [8536: Aktionspunkte, ]
25: Vor jedem weiteren Spiel Stellt die 7 auf die 7 und verteilt sie so auf dem Tisch dass sie einen Kreis bilden.; [3142: Verlierbedingung, ]
26: Tipp die beiden mit den nicht direkt nebeneinander!; []
27: 5 2; []
28: Der Rabe wird am Anfang auf den grünen gestellt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
29: Die 30 Körner kommen in die Mitte und die Würfel werden bereit gelegt.; [1292: Zufall, ]
30: Jedes Kind bekommt eine Die Grundregel ab 4 Jahren bleibt immer bestehen.; [7090: Kooperative Spielform, ]
