0: Wer hilft gewinnt; [164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
1: Wer ist schneller besser größer stärker?; []
2: Jeder kennt die Überlegungen!; [1492: Siegbedingung, ]
3: Rivalität und Konkurrenz erschweren das Zusammenleben verderben die Freude am Miteinander.; [3173: Gemeinsames Spielfeld, ]
4: nicht immer Erster zu sein ist eine Fähigkeit die Kinder erst lernen müssen.; []
5: Spiele können zu Tränen führen oder neue Spielfreude wecken.; [3142: Verlierbedingung, ]
6: Welche Spiele geben wir Kindern in die Hand? oder?; []
7: Eine neue Idee setzt sich durch; []
8: Wer hilft gewinnt; [164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
9: die neue Spielidee findet immer mehr Freunde.; [164466: Loswerden, ]
10: Kinder lernen im Spiel Gemeinsamkeit sie begreifen daß es besser ist nicht gegeneinander sondern miteinander zu spielen.; [164466: Loswerden, 7090: Kooperative Spielform, ]
11: Gegner ist nicht der Mitspieler sondern eine äußere Situation die sich gegen alle Spieler richtet.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
12: Gewonnen wird wenn alle das gemeinsame Ziel verfolgen und nicht jeder für sich und gegen die anderen spielt.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
13: Sich helfen führt zum Gewinnen.; []
14: Nicht nur einer ist Sieger und läßt die anderen traurig ärgerlich oder wütend zu rück.; [1492: Siegbedingung, ]
15: Alle sind beim Zusammenspiel wichtig gemeinsam wird gewonnen oder verloren.; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 8528: Siegpunkte, ]
16: Das ist eine wichtige Erfahrung die Spielen zum Gewinn werden läßt.; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 8528: Siegpunkte, ]
17: Wer hilft gewinnt eine lohnende gibt es im und im Buchhandel.; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 8528: Siegpunkte, ]
18: Information und Bezugsquellennachweis Verlag Herder 4 7800 Freiburg.; []
19: 25 71 01 im Einsatz; []
20: Ein strategisches von Peter mit Illustrationen von Wolfgang Hanns Spielregel du Spelregels; [8536: Aktionspunkte, ]
21: HERDER; []
22: HERDER; []
23: FREIBURG; []
24: BASEL WIEN; []
25: Alle Rechte Vorbehalten in Germany; []
26: Verlag Herder Freiburg im Breisgau 1986 Windrichtung hier von rotes Feld für blaue Fluglinien und Richtungen für die Wolken Wanderung für geretteten Touristen Abstellplatz für Zwischenlandung und Landefeld für Hubschrauber Spielregel im Telegrammstil Spielziel; [8536: Aktionspunkte, ]
27: Rettung verunglückter Touristen durch Hub Vom jeweils neu erzeugte wandernde und Mit den Hubschraubern auf blauen Fluglinien nur geradeaus oder mit zusätzlicher Kurve.; [1292: Zufall, 8536: Aktionspunkte, ]
28: Wechsel des Spielführers nach jeder Runde.; [1492: Siegbedingung, 8528: Siegpunkte, ]
29: Aufdecken mit Hilfe von Zahlenplättchen immer dann wenn kein Tourist auf Hilfe wartet.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, 8528: Siegpunkte, ]
30: Hilfsmöglichkeiten Jeder Hubschrauberpilot leistet jedem hilfesuchenden Touristen Hilfe.; [1492: Siegbedingung, 8528: Siegpunkte, ]
31: bEin; []
32: Hubschrauber mit Touristen kann sich in eine Gefahrenzone begeben wenn durch Ab sprache noch ein weiterer Spielzug in der gleichen Runde möglich ist.; [8536: Aktionspunkte, ]
33: Spielende; []
34: Alle Touristen sind gerettet alle Hubschrauber in ihren Verloren; [164466: Loswerden, ]
35: Ein Hubschrauber mit Tourist oder alle 4 Hubschrauber sind abgestürzt.; [164466: Loswerden, ]
36: Die Spielregel in Kurzform zeigt worauf es ankommt.; []
37: Nun ist das Lesen der beiden folgenden Seiten das reinste Vergnügen.; []
38: Die Beachtung der gesamten Spielregel ist wichtig für den Spielverlauf und den 3 im Einsatz; [8536: Aktionspunkte, 1492: Siegbedingung, ]
39: Ein strategisches für 2 bis 4 Spieler ab 9 Jahren.; [164466: Loswerden, 7090: Kooperative Spielform, ]
40: Spieldauer 2 0 0 Minuten Spielidee Immer wieder verschwinden oder verunglücken Abenteurer und unternehmungslustige junge Leute oder einfache Touristen auf einer einsamen Insel im Hochgebirge in der Wüste oder in dichten ten.; [1292: Zufall, ]
41: Ihre Spuren lassen sich erst nach langem Suchen finden und oft sind es wagemutige Hubschrauberpiloten die als erste zu Hilfe kommen.; [166903: Ankommen, ]
42: Ob die kürzer oder länger dauern ob sie teilweise oder ganz mißglücken hängt von der jeweiligen ab.; [1292: Zufall, ]
43: Nebelbänke können große verursachen.; [8528: Siegpunkte, ]
44: Stürme müssen weiträumig umflogen werden.; []
45: Spielziel; []
46: Die Piloten versuchen ihre Hubschrauber zielsicher durch die ständig wandernden Wolken zu steuern.; [3173: Gemeinsames Spielfeld, ]
47: Sie starten von vier aus mit dem Ziel die Verunglückten oder Verirrten auf möglichst direkten Flügen zu erreichen und in ihre zurück zubringen.; [1292: Zufall, 7090: Kooperative Spielform, 166903: Ankommen, ]
48: Die Spieler haben gemeinsam gewonnen wenn sie alle acht Touristen in ihre Heimatländer und alle 4 Hub schrauber zu ihren Standorten zurückgebracht haben.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, 8528: Siegpunkte, ]
49: Geschieht aber einer der im Spielverlauf geschilderten Unfälle wird das Gewinnen eingeschränkt oder das Spiel geht ganz verloren.; [3142: Verlierbedingung, ]
50: Spielmaterial 1 Spielplan 4 2 und 4; [3173: Gemeinsames Spielfeld, ]
51: Hubschrauber in 4 Farben 8 von 1 bis 8 numerierte blaue 12 davon 8 graue Nebelwolken und 4 schwarze mit Blitz 1 achtseitiger mit den Norden Süden Nordwesten SO Südosten Westen Osten; [1292: Zufall, ]
52: Südwesten; []
53: Nordosten Spielvorbereitung; []
54: 1.; []
55: Die vier Hubschrauber werden auf die felder mit Kreuz der zu ihren Farben passenden Flughäfen gesetzt.; [1292: Zufall, ]
56: Auf diesen Feldern wird während des ganzen Spiels gestartet und gelandet.; [3173: Gemeinsames Spielfeld, ]
57: Die links und rechts vom Landefeld befindlichen Felder dienen zwischenlandenden andersfarbigen Hubschraubern als Abstellplätze.; []
58: Links und rechts der Hubschrauberfelder befindet sich je ein Feld auf dem gerettete gleicher Farbe abgesetzt werden.; [1292: Zufall, 8536: Aktionspunkte, ]
59: 2.; []
60: Die acht werden mit verdeckten Farben gut gemischt und auf die von 1 bis 8 numerierten roten Randfelder des verteilt.; [1292: Zufall, ]
61: Die hörenden 8 blauen Zahlenplättchen werden ebenfalls verdeckt gemischt und außerhalb des Plans gestapelt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
62: Die 12 und werden mit verdeck ten ebenfalls gemischt und von den Spielern auf beliebigen weißen des gesamten verteilt.; [1292: Zufall, 1492: Siegbedingung, ]
63: Danach drehen die Spieler die um und so entsteht das erste Spielverlauf Jeder Spieler ist Pilot eines der 4 Hubschrauber.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
64: Bei 2 Spielern verfügt jeder über zwei Hubschrauber bei 3 Spielern übernimmt einer zwei Hubschrauber.; [164466: Loswerden, 1492: Siegbedingung, ]
65: Während des ganzen Spiels bestimmen die Spieler mit dem aus welchen jeweils und geflogen kommen und wohin sie ziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, 8528: Siegpunkte, ]
66: Acht müssen vollständig durchgeführt werden.; []
67: Welche Person von wo jeweils zu retten und wohin sie zu bringen ist ergibt sich aus die im Spiel durch das Auf decken von Zahlenplättchen und empfangen werden.; []
68: 1.; []
69: Spielführer; []
70: Die Spieler losen aus oder bestimmen wer als erster beginnt.; [164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
71: Reihum wird weitergespielt.; []
72: Vor jeder neuen Runde wechselt der Spielführer der den dreht wirft und durch Verschieben der Wolken die neue festlegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
73: Beispiel 1. Runde beginnt; []
74: dreht wirft den; []
75: verschiebt die Wolken zieht dann; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
76: ziehen die Spieler und 2. Runde; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
77: beginnt; []
78: dreht wirft den usw. dann ziehen die Spieler und 3. Runde; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
79: beginnt; []
80: dreht wirft den usw. dann ziehen die Spieler DA und 4. Runde; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
81: beginnt; []
82: dreht wirft den usw. dann ziehen die Spieler AB und 5. Runde von vorn; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
83: Der Spielführer wird somit in seiner Runde der erste Spieler aber in der nächsten der letzte.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
84: Das ist für ihn mit Chancen und Risiken verbunden.; []
85: 2. und Wird der; []
86: gedreht geworfen bleibt er schließlich so liegen daß die jeweilige Richtung aus der der Wind kommt oben abgelesen werden kann.; [1292: Zufall, 8536: Aktionspunkte, ]
87: Alle 12 werden um ein Feld in eine der 8 möglichen Richtungen weitergeschoben.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
88: Beispiel; []
89: Der zeigt alle Wolken wandern von nach würde der Würfel anzeigen dann müßten die Wolken nach wandern also 4 SO WO auf die beim Verschieben den Spielplan verlassen müßten tauchen auf den entgegengesetzten wieder auf.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
90: Beispiel Wenn sich bei ein auf einem Süd randfeld befindet wird er dort weggenommen und auf das entsprechende gesetzt.; [8536: Aktionspunkte, ]
91: Befindet sich dort noch ein wird dieser jetzt wie die übrigen ein Feld nach Süden geschoben.; []
92: 3.; []
93: Auf decken von; []
94: In einer Spielrunde kann nachdem der Wetterwechsel erfolgt ist jeweils vom Spieler der an der Reihe ist ein aufgedeckt werden.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
95: Voraussetzung; []
96: Sein Hubschrauber ist unbeladen und kein Tourist wartet auf einem Randfeld auf Hilfe.; [8528: Siegpunkte, ]
97: Dazu nimmt der Spieler vorher ein verdecktes blaues Zahlenplättchen vom Stapel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
98: Die auf diesem Plättchen Zahl gibt an welcher Tourist auf einem Hilfe braucht.; [8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
99: Beispiel Wird die Zahl 4 aufgedeckt wird der auf dem roten Randfeld 4 umgedreht.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
100: 4.; []
101: Ziehen; []
102: Jeder Hubschrauber kann vom Startfeld in einer von 3 Richtungen starten.; [73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
103: Das gleiche gilt auch für den Abflug von den Gezogen wird nur auf den weißen des entweder in geradem Zug oder in zwei Zügen mit einer Kurve in Richtung der blauen Fluglinien.; [1292: Zufall, 8536: Aktionspunkte, ]
104: Andere Hubschrauber dürfen beliebig überflogen werden. oder dagegen nicht.; [1292: Zufall, 8536: Aktionspunkte, ]
105: Es muß gezogen werden außer in den Fällen die unter Hilfsmöglichkeiten angegeben sind.; [1292: Zufall, ]
106: Das kann bedeuten daß zur Rettung eines Touristen auch mehre Hubschrauber starten.; [8536: Aktionspunkte, ]
107: Erreicht der Hubschrauber mit ein oder zwei Zügen sein Ziel nicht kann er entweder auf einem beliebigen weißen stehen bleiben oder sich mit einigem Risiko auf eine graue Nebel wolke setzen.; [1292: Zufall, 8536: Aktionspunkte, ]
108: In diesem Fall muß er warten bis diese Nebelwolke unter ihm weitergezogen ist.; [1292: Zufall, ]
109: Auf einem weißen bzw. einer grauen Wolke darf immer nur ein Hubschrauber stehen.; []
110: Wird ein Hubschrauber bei einem Wetterwechsel von einer Wolke getroffen hat das unterschiedlich schwere Folgen Nebelwolke; []
111: Der Hubschrauber mit oder ohne Tourist muß warten bis die Nebelwolke bei einem der nächsten Wetterwechsel unter ihm weiterzieht und der Hubschrauber wieder auf einem weißen Wolken feld steht.; [1292: Zufall, 8536: Aktionspunkte, 166903: Ankommen, ]
112: Sobald die Reihe wieder am Spieler ist darf der Hubschrauber von der bisherigen Stelle aus weiterziehen.; [1292: Zufall, ]
113: Ein Hubschrauber kann mit den gleichen Folgen von mehreren Nebelwolken hintereinander getroffen wer den.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
114: Jeder Hubschrauber der von einer solchen Wolke getroffen wird stürzt ab und scheidet aus.; []
115: Hat der Hubschrauber keinen Touristen an Bord kann sich der Pilot mit dem Fallschirm retten der Spieler bleibt im Spiel darf weiter die Wind richtung bestimmen und um den Transport seiner eigenen Touristen mit fremder Hilfe besorgt sein.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
116: Ist der Hubschrauber mit einem Touristen besetzt endet der Absturz für Pilot und Tourist tödlich.; []
117: Das Spiel ist damit beendet und alle Spieler haben verloren weil es nicht gelungen ist diesen Unfall zu vermeiden.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
118: 5.; []
119: Zwischenlandungen; []
120: Die Hubschrauber dürfen ohne oder mit Tourist auf eigenen Flughäfen immer zwischenlanden Hub schrauber mit fremder Farbe dürfen es nur dann wenn sie einen Touristen transportieren den sie auf seinem Flughafen als gerettet absetzen können.; [1292: Zufall, 8536: Aktionspunkte, ]
121: 6. Hilfsmöglichkeiten Jeder Spieler ist für seinen eigenen Hubschrauber und die Rettung zunächst der Touristen eigener Farbe verantwortlich.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
122: Doch ist gegenseitige Hilfe erlaubt oder sogar notwendig Grundsätzlich besteht für jeden Hubschrauber absolute auch gegenüber fremden Touristen.; [1492: Siegbedingung, 8528: Siegpunkte, ]
123: Der Pilot kann die Hilfe nur dann verweigern wenn er gezwungen wäre in eine schwarze Wolke hin einzufliegen.; []
124: Dann ist der nächste Spieler am Zuge.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
