0: Anschluss besetzt oder hebt am anderen Ende niemand ab gilt der Joker trotzdem als gesetzt.; []
1: Es kann keine zweite Person angerufen werden.; []
2: Ist der Spieler nach seinem Anruf noch nicht sicher ob die Antwort seines die richtige ist darf er noch weitere Joker ins Spiel bringen oder auch für sich das Spiel beenden und die bis dahin erspielten Punkte als Gesamtergebnis für diese Runde behalten.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
3: Spieler die in einer Runde ausgeschieden sind oder freiwillig das Spiel beendet haben können weiter als Publikum mitspielen oder als ausgewählt werden.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
4: Spielregeln für 2 Personen; []
5: Die Spielregeln bleiben gleich bis auf Änderungen beim Einsatz des und des Setzt der Spieler den ein streicht der Spielleiter das Symbol auf dem Wertungsblock durch.; [1292: Zufall, 8528: Siegpunkte, ]
6: Der Spieler wählt nun aus seinen Stimmkarten eine aus von der er vermutet; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
7: es könnte die für die richtige Antwort sein.; [8536: Aktionspunkte, ]
8: Ist die Antwort richtig kommt der Spieler weiter in die Ist die Antwort falsch hat der Spieler einen zweiten Versuch und kann dem Spielleiter eine weitere der verbliebenen drei Stimmkarten zeigen.; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
9: Mit der richtigen Antwort kommt er weiter bei einer falschen Antwort bleibt ihm noch ein dritter Versuch.; []
10: Er wählt dazu aus den restlichen zwei Karten eine aus.; [1292: Zufall, ]
11: Stimmt die Antwort hat er es geschafft und kommt in die Bei einer falschen Antwort scheidet er aus dem Spiel aus und bekommt keine oder nur die ihm zustehenden Punkte gutgeschrieben.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
12: Natürlich kann er auch anstelle eines zweiten oder dritten Versuchs auch einen anderen Joker einsetzen oder freiwillig das Spiel beenden und die bis dahin erspielten Punkte gutgeschrieben bekommen.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
13: Setzt der Spieler den ein streicht der Spielleiter das Symbol auf dem Wertungsblock durch.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
14: Der Spieler wählt nun aus seinen Stimmkarten eine aus von der er vermutet; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
15: es könnte die für die richtige Antwort sein.; [8536: Aktionspunkte, ]
16: Ist die Antwort richtig kommt der Spieler weiter in die Ist die Antwort falsch hat der Spieler einen zweiten Versuch und kann dem Spielleiter eine weitere der verbliebenen drei Stimmkarten zeigen.; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
17: Mit der richtigen Antwort kommt er weiter bei einer falschen Antwort scheidet er aus dem Spiel aus und keine oder nur die ihm zustehenden Punkte werden gutgeschrieben.; [8528: Siegpunkte, ]
18: Natürlich kann er anstelle eines zweiten Versuchs auch einen anderen Joker einsetzen oder freiwillig das Spiel beenden und die bis dahin erspielten Punkte gutgeschrieben bekommen.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
19: Alternative Spielregel; []
20: Das Spiel kann auch genau wie die gespielt werden; [164466: Loswerden, ]
21: Ein Spieler stellt die Fragen ein antwortet und die übrigen Spieler bilden das Publikum.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
22: kein Spielmaterial Hergestellt in der als Lizenzprodukt der International Copyright 2002 International; []
23: Das Wer wird Millionär Logo ist Eigentum der International; [1492: Siegbedingung, ]
24: JUMBO Spiele GmbH; [164466: Loswerden, ]
25: 58849 715 Spielregeln; []
26: Für 2 5 Spieler oder Teams Achtung!; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
27: Die Frage und der Kennbuchstabe für die richtige Antwort stehen nicht auf derselben Kartenseite.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
28: Sie finden den jeweils auf der Kartenrückseite.; [1292: Zufall, 7090: Kooperative Spielform, ]
29: Er erscheint so auch in der Aussparung auf der Rückseite des Achten Sie daher darauf wenn Sie der Spielleiter sind das Modul so zu halten dass die übrigen Spieler den nicht sehen können.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
30: Inhalt; []
31: 400 Karten 384 Fragekarten Stimmkarten AB 1 und 1; [1292: Zufall, ]
32: Wertungsblock 1; []
33: Bleistift; []
34: 1 1 Million Euro; []
35: Spielregeln Spielziel; []
36: Ziel des Spiels ist es als Erster 1 Euro zu gewinnen oder nach einer vorher festgelegten Anzahl an der Spieler mit der höchsten zu sein.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
37: Die Anzahl der wird vor Spielbeginn festgelegt.; [1492: Siegbedingung, ]
38: Die und werden ihrem Wert entsprechend auf 15 Stapel verteilt und diese Stapel getrennt voneinander durchgemischt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
39: Dann können die Kartenstapel von 50 aufsteigend in die Spielschachtel sortiert werden.; [1292: Zufall, ]
40: Spielablauf; []
41: Ein Spieler ist der Spielleiter.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
