0: Jahre Spannende; []
1: Einblicke in die Weltgeschichte für 1 4 Spieler von 7 99 Jahren Autoren Ulrich Blum; [7090: Kooperative Spielform, ]
2: Illustration Nora Design DE Ravensburger; []
3: Vera Bolze Anleitung; []
4: Redaktion Florian Ravensburger Spiele; [164466: Loswerden, ]
5: Nr. 00 527 7 Geschichte neu erleben!; []
6: Der geniale Wissenschaftler Doktor Tempora tüftelt seit Jahren an einer Zeitmaschine.; []
7: Endlich ist es ihm gelungen ein funktionstüchtiges Modell zu konstruieren.; []
8: Nun sucht er tapfere; []
9: die ihm helfen die Zeitmaschine richtig zu programmieren.; []
10: Keine leichte Aufgabe; []
11: Die Piloten müssen in längst vergangene Zeiten reisen in die Steinzeit in die römische Antike ins Mittelalter Dort sollen sie die Lebensumstände der Menschen kennen lernen und Zusammenhänge aufspüren.; []
12: Wer ist mutig genug diesen Auftrag anzunehmen?; []
13: Lieb das Liebe Eltern das Spiel; [164466: Loswerden, ]
14: Die turbulente Zeitreise funktioniert nur mit dem original Ravensburger; []
15: Der Stift führt durch das Spiel vermittelt interessantes Wissen und erweckt die Vergangenheit zum Leben.; []
16: 1; []
17: Vor dem ersten Spiel laden Sie bitte die passende für Die turbulente Zeitreise auf den Stift.; [3142: Verlierbedingung, ]
18: Eine ausführliche Anleitung wie eine auf den Stift geladen wird liegt dem bei.; []
19: Im Folgenden deshalb nur die Kurz fassung; []
20: Um eine auf den Stift zu laden benötigen Sie das Programm Manager Schließen Sie dazu den mit dem an Ihren Computer an.; [8536: Aktionspunkte, ]
21: Es erscheint ein mit dem Namen Dort finden Sie die Installationsdateien für den Manager für Windows PCs bzw. Falls nicht bereits geschehen installieren Sie bitte den Manager auf Ihrem Computer.; [8536: Aktionspunkte, ]
22: Starten Sie anschließend den Manager Laden Sie dort die für Die turbulente Zeitreise über den Menüpunkt Produkte auf Ihren 1 http Inhalt 12 2 Endstücke 1 30 Punktechips 1 Punkt 10 Punktechips 3 Punkte 30 Markierungsringe 2; [8528: Siegpunkte, ]
23: Mit diesen Zeichen auf dem Armaturenbrett steuert ihr die Anmeldung Tippt mit dem auf das um das Spiel zu aktivieren.; [3142: Verlierbedingung, ]
24: Entdecken; []
25: Im Modus Entdecken könnt ihr die erkunden.; [3173: Gemeinsames Spielfeld, ]
26: Der spielt Geräusche und kurze Beschreibungen zu den Personen und Gegenständen auf die ihr tippt.; [164466: Loswerden, 166903: Ankommen, ]
27: Wissen; []
28: Wenn ihr die Personen und Gegenstände auf den im Modus Wissen antippt bekommt ihr Wissenswertes über sie erklärt.; []
29: Das spannende Wissen das ihr euch hier aneignen könnt hilft euch sicher auch beim Spiel weiter.; [3142: Verlierbedingung, ]
30: Spiel starten 0 Tippt auf das grüne Zeichen mit dem Würfel wenn ihr eine Spielrunde starten und als durch die Zeit reisen wollt.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, ]
31: Info Das könnt ihr jederzeit antippen um euch eine Spielanleitung anzuhören.; [8536: Aktionspunkte, ]
32: Überspringen; []
33: Dieses Zeichen könnt ihr jederzeit antippen um Erklärungen des zu überspringen.; [8536: Aktionspunkte, ]
34: Wiederholen; []
35: Das könnt ihr jederzeit antippen um euch noch mal anzuhören was der zuletzt gesagt hat.; []
36: Farbwahl; []
37: Mit diesen Feldern wählt ihr zu Beginn des Spiels eure Spielerfarbe wenn der euch danach fragt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
38: Sanduhr; []
39: Das auf den steht für die ganze Epoche.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
40: Tippt im Modus Entdecken oder Wissen auf eines dieser Zeichen um euch spannendes Wissen zur Epoche und zur abgebildeten Szene abzurufen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
41: In der ersten Phase des Spiels sucht ihr nach der Epoche in der ihr gelandet seid und tippt auf die Sanduhr der entsprechenden Tafel.; []
42: sonstige usw.; []
43: IM; []
44: Eine Zeitmaschine ist ein äußerst kompliziertes Gerät vollgepackt mit modernster Technologie.; []
45: Probiert einfach aus was passiert wenn ihr auf die Knöpfe und Anzeigen tippt.; []
46: Aber seid vorsichtig Für die Steuerung des Spiels braucht ihr sie nur dann wenn der es euch sagt.; []
47: 3; []
48: Spielaufbau Legt die zwölf und die Endstücke in der Tischmitte bereit.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
49: Die Markierungsringe und die Punkte chips könnt ihr zunächst noch in der Schachtel liegen lassen.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
50: Die legt ihr direkt vor euch.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
51: Spielziel Wer eine Aufgabe richtig gelöst hat wird mit Punktechips belohnt.; [8528: Siegpunkte, ]
52: Jeder versucht der beste Testpilot zu werden und bis zum Ende des Spieles die meisten Punkte zu sammeln.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
53: Auch wenn du alleine spielst versuchst du die Aufgaben von Doktor Tempora möglichst gut zu lösen und dabei so viele Punkte wie möglich zu sammeln.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
54: Der zählt deine Punkte und sagt dir am Ende wie gut du warst.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
55: Spielablauf; []
56: Nachdem ihr das Spiel mit dem gestartet habt führt der euch durch das Spiel.; [164466: Loswerden, 3142: Verlierbedingung, 166903: Ankommen, ]
57: Er sagt euch immer was es als Nächstes zu tun gibt.; []
58: Zu Beginn wählt sich jeder Mitspieler seine Spielerfarbe auf den Außerdem wählt ihr einen der drei Dann; [1292: Zufall, 8536: Aktionspunkte, ]
59: kann die Zeitreise losgehen.; []
60: Das Spiel besteht aus drei Phasen.; [1492: Siegbedingung, ]
61: 1. Phase; []
62: Die Zeit bereisen; []
63: Die gesuchte erkennen; []
64: In der ersten Phase des Spiels startet ihr Reise in die Vergangenheit.; [164466: Loswerden, ]
65: Da die Zeitmaschine noch nicht richtig programmiert ist ist ungewiss wo ihr ankommen werdet.; []
66: Doktor Tempora gibt euch Hinweise in welcher Zeit ihr gelandet seid.; [7090: Kooperative Spielform, ]
67: Reihum versucht ihr die Szene zu erkennen die den Hinweisen des Doktors entspricht.; [164466: Loswerden, ]
68: Die entsprechenden Tafeln die ihr richtig erkannt habt legt ihr in einem Halbkreis über die Ihr beginnt links; []
69: mit dem Endstück auf dem Start steht.; [3173: Gemeinsames Spielfeld, ]
70: Am Ende der ersten Phase baut ihr noch das Stop Endstück an und habt dann eine Übersicht über alle bereisten Zeitalter.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
71: Die ergeben die Zeitmaschine.; []
72: Diese liegen nun auch in der richtigen zeitlichen Abfolge.; []
73: Am Start liegt die älteste Epoche am Stop die jüngste.; [1292: Zufall, ]
74: Die Tafeln die ihr in dieser Phase nicht gebraucht habt könnt ihr zurück in die Schachtel legen.; [3173: Gemeinsames Spielfeld, ]
75: Ihr braucht sie erst in der nächsten Spielrunde wieder.; []
76: Dort wo ihr gelandet seid heißt der oberste Herrscher Pharao.; [1292: Zufall, ]
77: 4 2. Phase; []
78: Die Epochen erkunden; []
79: Die gesuchten Aspekte entdecken; [3173: Gemeinsames Spielfeld, ]
80: In der zweiten Phase versucht ihr nun die Epochen die ihr bereits bereist habt genauer zu erkunden und herauszufinden wie die Menschen damals gelebt haben.; []
81: Die Hinweise die Doktor Tempora euch diesmal gibt beziehen sich nun immer auf Personen oder Gegenstände die ihr auf monitoren findet.; [1292: Zufall, 7090: Kooperative Spielform, ]
82: Wenn ihr mit dem Stift auf die richtige Stelle tippt könnt ihr euch wieder Punkte verdienen.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
83: Markiert die gefundenen Stellen mit den Ringen.; []
84: Diese Stellen werden in der nächsten Phase noch einmal wichtig wenn es darum geht die Zeitmaschine zu programmieren.; []
85: Wir sehen Männer die Kettenhemden Rüstungen und Helme tragen.; []
86: 3. Phase; []
87: Die Zeitmaschine programmieren Bezüge zwischen den Epochen herstellen; []
88: In der dritten Phase gilt es die Zeitmaschine zu programmieren.; []
89: Dazu müsst ihr die Informationen aus der zweiten Phase miteinander in Verbindung bringen; [3173: Gemeinsames Spielfeld, ]
90: Wir haben auf unserer Reise zwei Herrscher kennengelernt.; [7090: Kooperative Spielform, ]
91: Kannst du dich noch erinnern welche?; [8536: Aktionspunkte, ]
92: Tippe beide an!; []
93: Auch in dieser Phase gibt es wieder Punkte diesmal sogar besonders viele zu gewinnen.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
94: Für den ein oder anderen Spieler vielleicht die Möglichkeit aufzuholen und das Spiel noch für sich zu entscheiden.; [3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
95: Wir haben auf unserer Reise zwei Herrscher ken Kannst du dich noch erinnern welche?; [8536: Aktionspunkte, ]
96: 5 Spielende; []
97: Das Spiel endet nach der dritten Phase.; [164466: Loswerden, 1492: Siegbedingung, ]
98: Der Spieler der nun die meisten Punkte sammeln konnte hat als Testpilot am besten abgeschnitten und die Runde gewonnen.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
99: Wenn du alleine gespielt hast sagt dir der wie gut du abgeschnitten hast.; [3142: Verlierbedingung, ]
100: Vielleicht hast du deinen persönlichen Rekord gebrochen?; []
