0: DU ronde des pyramide ronde.; [1292: Zufall, ]
1: 40 de ronde termine Neu numero 6 final.; []
2: plus de des de des final Des de pierre pyramide 1 de pierres pyramide 3 3 de Cacao du bonus plus haute Cacao; []
3: du 3 de resultat de bonus plus de de final plus belle gent Günter Burkhardt Illustration; []
4: design Arno Frank Bernd Thomas Dirk; []
5: multiples de tests games Van Holländer Steve Leonie Zimmermann Pascal TERMINE; []
6: pyramide 40 de plus; []
7: de FINAL du final info 2010 Games Günter Burkhardt; []
8: http http info ist ein Spiel rund um die faszinierende Geschichte der Azteken die Legende von und natürlich den Kakao den Trank der Götter!; [164466: Loswerden, 3142: Verlierbedingung, ]
9: Und darum geht es Bringt den Göttern die wertvollsten Opfer dar erntet; []
10: den besten Kakao baut mit an der Pyramide und gewinnt Punkte an insgesamt sechs verschiedenen Stationen des Der Spieler der die wertvollsten Opfer bringt wird Sieger des Spieles.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
11: 1; []
12: Der Spielverlauf ist einfach und übersichtlich in einer Runde wer den nacheinander die 6 Stationen durchgespielt.; [8528: Siegpunkte, ]
13: Der Spielplan wird in die Tischmitte gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
14: Er zeigt die 6 Stationen 1 die in jeder Runde nacheinander im Uhrzeigersinn abgehandelt werden beginnend mit Station 1 im rechten unteren Eck.; []
15: In der Spielplanmitte befindet sich der des Tempels er wird nur zu Spielbeginn und am Spielende benötigt.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
16: Die und die Figur Alter Mann werden auf die beiden Plätze bei Station 1 gestellt.; []
17: Die Aufbesserungskarten schwarzer Rand werden nach Rückseiten getrennt und gemischt und als zwei getrennte Stapel verdeckt neben dem Spielplan platziert.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
18: Jeder Spieler bekommt ein Set an Kakaokarten; [1292: Zufall, 1492: Siegbedingung, ]
19: sie zeigen Kakaosäcke mit den Werten sowie 9 Markierungssteine in seiner Farbe.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
20: Ein runder Siegpunktmarker wird für jeden Spieler auf das Feld Null der Wertungsleiste gesetzt.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
21: Dabei werden die Steine zufällig als Stapel übereinander platziert evtl wichtig bei Gleichstand bei Station; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
22: 1 Außerdem erhält jeder Spieler eine Übersichtstafel die er offen vor sich legt.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
23: Sie zeigt auf der Vorderseite die 6 Orte des und auf der Rückseite eine Zusammenfassung der Regeln.; [3173: Gemeinsames Spielfeld, ]
24: Übersichtstafel wird für alle Spieler gut sichtbar mit der Rückseite nach oben neben den Spielplan gelegt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
25: SPIELMATERIAL; []
26: Je 9 Markierungssteine in den 5 Spielerfarben 7 Bonuschips für die Hütten 1 weißer Runden anzeiger 1 Figur; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
27: 1 12 Aufbesserungskarten schwarzer Rand; [1292: Zufall, ]
28: Je 13 Kakaokarten in den 5 Spielerfarben 7 schwarze Bonuswürfel und 3 weiße ErntewürFel; [1292: Zufall, ]
