0: Spieler; []
1: 1 4 Personen Alter ab 8 Jahren Dauer; [7090: Kooperative Spielform, ]
2: 15 Minuten Material; [7090: Kooperative Spielform, ]
3: 4 Tafeln; []
4: 15 Karten; []
5: 4 Stifte; []
6: Die Strecke; []
7: Im Spielverlauf entwickelt malt jeder Spieler auf seiner Tafel eine Strecke.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
8: Die Strecke besteht aus einer durchgehenden Linie.; []
9: Diese Linie darf keine Lücken aufweisen und sich auch nicht selb berühren oder kreuzen.; [8536: Aktionspunkte, ]
10: In jeder Runde darf die Strecke nur an einem der beiden Enden verlängert werden.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
11: Jeder Spieler sollte vor allem versuchen möglichst viele in seine Strecke einzubauen denn für gibt es ordentlich Pluspunkte.; [8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
12: Außer dem soll jeder Spieler versuchen möglich viele Felder zu erreichen im Idealfall alle denn jedes nicht erreichte Feld egal ob mit oder ohne Zahl; [164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
13: zählt am Ende; []
14: einen Minuspunkt Beispiel Maria hat die Zahlen 6 und 9 mit ihrer Strecke erreicht und dafür Pluspunkte in ihrer Wertung stabe lee inge tragen.; [8528: Siegpunkte, 1492: Siegbedingung, 166903: Ankommen, ]
15: Der beste Weg gewinnt!; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
16: Steffen Reinhard Staupe; []
17: Spielvorbereitung; []
18: Die 15 Karten werden gemischt und als verdeckter Stapel in die Tischmitte gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
19: Jeder Spieler bekommt eine zufällig verteilte Tafel sowie einen Stift.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
20: Hinweis; []
21: Die und ist auf allen Tafeln ident Lediglich der Startpunkt von dem aus jeder Spiel er sein Strecke beginnen muss variiert von Tafel zu Tafel.; [8528: Siegpunkte, 73230: Symmetrische Startbedingung, 3142: Verlierbedingung, ]
22: Spielablauf; []
23: Ein beliebiger Spieler deckt die oberste Karte vom Stapel auf und legt sie offen daneben.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
24: Auf der Karte sind 4 oder 5 abgebildet; [1292: Zufall, ]
25: Alle Spiele können die abgebildeten beliebig viele davon auch ein oder kein sund in beliebiger Reihenfolge nun auf ihrer Tafel zur Erweiterung ihrer Strecke nutzen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
26: Kann oder möchte ein Spiele sein Strecke nicht erweitern sagt er; [3142: Verlierbedingung, ]
27: ich passe Hinweis; []
28: Am übersicht ist es wenn man die Felder die man nutzen möchte zunächst mit einem kleinen Punkt markiert und an schließend die Punkte zu einer Linie verbindet.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
29: Beispiel Die auf gedeck Karte zeigt je weil einmal Blau Grün Gelb und Grau.; [1292: Zufall, ]
30: Linus kann also max im diese vier für seine Strecke nutzen.; []
31: Von sein emS unkt gelb neben der Zahl 3 aus gehe nutzt er die Felder blau grün grau und gelb und verb in de sie mit eine Linie.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
32: In der nächsten Rund kann er sein eS recke entweder vom gelben Feld neben der Zahl 3 aus erweitern ode vom gelben Feld neben de Zahl 6.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
33: Hat jeder seine Strecke entsprechend erweitert wird nun die nächste Karte vom Stapel aufgedeckt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
34: Wieder kann jeder Spieler beliebig viele der darauf ab gebilde ten aber nie mal mehr zur Verlängerung seine Strecke nutzen.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
35: Ganz wichtig; []
36: Die Strecke darf in jeder Runde grundsätzlich nur an einem beliebige der beiden vorhandenen Enden verlängert werden.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
37: In der beschriebenen Weise wird nach folgend weitergespielt; []
38: In jeder Runde wird jeweils die oberste Karte vom Stapel auf gedeckt und jeder Spieler kann seine Strecke entsprechend an einem beliebigen Ende verlängern.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
39: erreichen und Punkte notieren; [8528: Siegpunkte, 1492: Siegbedingung, ]
40: Wenn ein Spieler ein Zahlenfeld mit seiner Strecke erreicht das kann natürlich gleich schon in der ersten Runde der Fall sein dann sagt er dies laut und deutlich an; [3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
41: Ist er der erste Spieler der diese Zahl erreicht notiert er in der Wertungs leiste die volle entsprechende Punktzahl.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
42: Beispiel Sarah sagt Ich habe die 8 er reich; []
43: Da noch kein an derer Spiele die 8 er reicht hat not sie sich; [3142: Verlierbedingung, 166903: Ankommen, ]
44: 8 Punk tein der; []
45: Wer tun leiste in Feld; []
46: 8.; []
47: Beachte; []
48: Sollten mehrere Spieler in der Runde; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
49: die gleiche Zahl zuerst markieren dann bekommen alle diese Spieler die volle Punktzahl und notieren sie entsprechend.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
50: Erreicht ein Spieler eine Zahl mit seiner Strecke die schon von einem anderen Spiele in einer der vorherigen Runden markiert wurde dann notiert ersieh nur die halbe entsprechende Punktzahl; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
51: gegebenen fall aufgerundet Beispiel Tim sagt Ich habe die 7 er reich; []
52: Da Maria die 7 bereit in eine de vor her gen Run de er reicht hat im 4 Punkte; [8528: Siegpunkte, ]
53: 3 5 aufgerundet Hinweis; []
54: Es ist möglich und erlaubt in einer Runde zwei zu erreichen.; [1492: Siegbedingung, ]
55: Für beide Felder notiert der Spieler dann wie beschrieben Punkte in seine Wertungs leiste Tipp zur Übersichtlichkeit; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
56: Es ist wichtig da jeder Spieler; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
57: mitbekommt welche Zahlen felder erreicht werden.; [1292: Zufall, 1492: Siegbedingung, ]
58: Deshalb sollten die Spieler die erreichten gemeinschaft lich am Ende der Runde ansagen.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
59: Sagt ein Spieler eine Zahl an sollte jeder Spieler der diese Zahl noch nicht erreicht hat einen kleinen Punkt neben diese Zahl in seiner Wertungs leiste machen damit; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
60: er weiß da er hierfür nur noch die halbe Punktzahl bekommen kann.; [8528: Siegpunkte, ]
61: Spielende und Wertung; [8528: Siegpunkte, ]
62: Das Spiel endet nachdem alle 15 Karten vom Stapel aufgedeckt und ausgeführt wurden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
63: Jeder Spieler addiert alle Pluspunkte die er im Spielverlauf in seiner Wertungs leiste notiert hat.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
64: Jedes Feld das ein Spieler auf seiner Tafel mit seiner Strecke nicht erreicht hat zählt einen Minuspunkt; [8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
65: Hinweis; []
66: Zur besseren Übersichtlichkeit sollten alle nicht erreichten Felder mit einem angekreuzt werden.; [7090: Kooperative Spielform, ]
67: Die Min punkte werden im entsprechenden Feld der Wer tun leiste notiert.; [8528: Siegpunkte, ]
