0: Spiel für 2 bis 4 Personen ab 10 Jahren Spielausstattung 4 Schiffe 1 Schatztruhe; []
1: 13 Schatzkisten 1 Augenwürfel Spielinhalt; [1292: Zufall, ]
2: Die Kapitäne Spieler nehmen mit ihren Schiffen vom Heimathafen aus Kurs auf die Schatzinsel um den dort befindlichen Schatz zu bergen und in ihren Hafen zu bringen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
3: Wer die meisten Schatzkisten in seinen Hafen bringen kann ist Sieger.; [1492: Siegbedingung, 8528: Siegpunkte, ]
4: Spielverlauf; []
5: Die Schatztruhe wird ausgeschnitten zusammengeklebt und auf die Schatz insel siehe Spielplan gestellt.; [3173: Gemeinsames Spielfeld, ]
6: Die 13 Schatzkisten werden in die Truhe gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
7: Die Schiffe die Farbe wählt sich jeder Spieler selbst aus werden auf den Spielplan gestellt und zwar an die Stelle wo der Hafen eingezeichnet ist.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
8: Die Flaggen zeigen mit ihrer Farbe an wohin jedes Schiff gestellt werden muß.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
9: Zu Spielbeginn wird einmal gewürfelt.; [1292: Zufall, ]
10: Wer die höchste Augenzahl würfelt beginnt mit dem Spiel.; [1292: Zufall, 164466: Loswerden, 166903: Ankommen, ]
11: Die Felder sind und dürfen von keinem Schiff befahren werden.; []
12: Das Feld das jeweils zwischen 2 Feldern liegt ist; [7090: Kooperative Spielform, ]
13: ein Aus Es darf nur von leeren oder mit 1 Kiste beladenen Schiffen befahren werden.; [8536: Aktionspunkte, ]
14: Beispiel Ein Schiff kommt beladen von der und die gewürfelte Augenzahl brächte das Schiff auf eine Insel wo der Schatz gelöscht werden müßte dann hat der Spieler die Möglichkeit auf ein zu ziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 166903: Ankommen, ]
15: Der geladene Schatz kann gerettet werden.; []
16: laue Felder sind Untiefen und können nur durch leere Schiffe befahren werden.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
17: Felder mit eingezeichneten Inseln werden mit leeren Schiffen einfach durch fahren kommt der Spieler im direkten Wurf auf eine Insel kann er beim nächsten Mal Würfeln die Fahrt ohne Unterbrechung fortsetzen.; [1292: Zufall, 8536: Aktionspunkte, 166903: Ankommen, ]
18: Kommt ein beladenes Schiff auf eine Insel im direkten Wurf so muß die Ladung auf der Insel bleiben.; []
19: Das Schiff muß erneut Kurs auf die Schatz insel nehmen um neue Schatzkisten zu holen.; []
20: Das maximale Fassungsvermögen eines Schiffes beträgt 2 Kisten.; []
21: Kommt ein leeres Schiff im direkten Wurf auf eine Insel auf der sich Schatzkisten befinden kann es die Ladung an Bord nehmen nicht mehr als 2 Kisten und zum Heimathafen zurückkehren.; [3173: Gemeinsames Spielfeld, ]
22: Er hat Glück gehabt oder war es Berechnung?; [1292: Zufall, ]
23: Wir finden beide Varianten im Spiel aber Chancen zu gewinnen hat nur wer taktisch klug spielt.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
24: LAS ART 908 56 40 58; []
