0: Sind alle Deine drei Namen richtig so gewinnst Du sofort das Spiel.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
1: Ist auch nur einer Deiner Namen falsch so hast Du Pech gehabt Du mußt sofort aus dem Spiel ausscheiden.; [3142: Verlierbedingung, ]
2: Die richtige Lösung darfst Du nicht bekanntgeben.; []
3: Das Spiel wird fortgesetzt bis die richtige Lösung herausgefunden ist.; [164466: Loswerden, 166903: Ankommen, ]
4: DES SPIELS; []
5: Das Spiel endet sobald ein Spieler die richtige Lösung herausgefunden hat Er; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
6: gewinnt das SpieL; []
7: DIE; []
8: VERDÄCHTIGEN; []
9: NAME AUGEN; []
10: HAARE MUND; []
11: Blau Braun; []
12: Dunkel Lächelnd Rita Rot Blau Dunkel; []
13: Nicht lächelnd Weiß Blau.; []
14: Hell Lächelnd Senf Blau Hell Nicht lächelnd Grün Braun Hell Lächelnd Peter Pink Braun Dunkel; []
15: Nicht lächelnd; []
16: DIE ZIMMER NAME; []
17: FUßBODEN WANDFARBE; []
18: Küche Holz; []
19: Blau Schlafzimmer Teppich Grün Wohnzimmer; []
20: Holz Gelb Treppenecke Holz Grün Bibliothek Teppich Blau Badezimmer Teppich; []
21: Gelb DIE TIERE Hund; []
22: Katze; []
23: Affe Schildkröte Vogel 1993 Games Wich Bitte Aufbewahren.; []
24: Wir stellen jedes Produkt mit besonderer Sorgfalt her.; []
25: Wenn jedoch trotzdem mit diesem Produkt etwas nicht in Ordnung sein sollte dann schreiben Sie bitte kurz an die nachstehende Anschrift Deutschland Kenner Parker Verbraucherservice 1 Rodgau 3 Österreich Österreich GmbH Verbraucherservice 92 94 1100 Wien.; []
26: Schweiz; []
27: Verbraucherservice Alte; []
28: 2 Mutschellen.; []
29: 1292; []
30: Das für junge Spieler von SPIELANLEITUNG SPIELAUSSTATTUNG 1; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
31: Spielplan 1 mit 7 1 Karton mit 6 Spielfiguren 7 Verstecken.; [3173: Gemeinsames Spielfeld, ]
32: 6 weiße Standfüße 7 rote Standfüße 1 zweiteiliger Clip 1 rote Lupe; []
33: 1 Würfel 1 Notizblock; [1292: Zufall, ]
34: 1 Spielanleitung.; []
35: DAS ZIEL DES SPIELS; []
36: Du und Deine; []
37: Freunde seid zu Gast in der Villa Kunterbunt Eines schönen Morgens stellt Ihr fest daß die fünf netten Haustiere verschwunden sind die auch in dieser Villa leben.; []
38: Also macht Ihr Euch alle auf die Suche.; [164466: Loswerden, ]
39: Ein Haustier nach dem anderen findet sich aber eines bleibt verschwunden...; [8536: Aktionspunkte, ]
40: Ziel der Spieler ist es folgende drei Rätsel zu lösen; [164466: Loswerden, 1492: Siegbedingung, ]
41: Welches Tier ist verschwunden wer von Euch hat es versteckt und in welchem Zimmer?; [8528: Siegpunkte, ]
42: Bei Eurer Suche hilft die einzigartige auf dem Spielplan die zusammen mit der roten Lupe geheime Informationen sichtbar macht; [3173: Gemeinsames Spielfeld, ]
43: DIE VORBEREITUNG; []
44: DES SPIELS; []
45: Vor dem allerersten Spiel Lege die so auf den Spielplan daß sich die beiden Öffnungen genau übereinander befinden.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
46: Setze das gewölbte Teil des Clips so auf die Scheibe daß der Stift nach unten durch die Öffnungen paßt Schiebe das runde Teil des Clips unter dem Spielplan zur Öffnung.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
47: Drücke jetzt die beiden Clipteile fest zusammen bis Spielplan und Scheibe fest verbunden sind Achte darauf daß sich die drehen läßt.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
48: Die sechs Spielfiguren und die 7 Verstecke werden vorsichtig aus dem Karton gelöst und in der Mitte gefaltet; []
49: Die Spielfiguren werden in die weißen Standfüße gesteckt die Verstecke in die roten.; []
50: Vor jedem Spiel; []
51: 1.; []
52: Jeder Spieler erhält ein Blatt und natürlich benötigt jeder einen Stift.; [8528: Siegpunkte, 1492: Siegbedingung, ]
53: 2.; []
54: Jeder Spieler wählt eine Spielfigur und setzt sie auf das Startfeld.; [1292: Zufall, 73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
55: Wichtig; []
56: Mit Eurer Spielfigur zwei Rollen gleichzeitig Einmal seid Ihr als Detektiv auf der Suche nach Hinweisen aber; [166903: Ankommen, ]
57: Ihr könntet auch der Verdächtige sein der das Tier versteckt hat.; [8528: Siegpunkte, ]
58: Hinweis Nehmen weniger als 6 Spieler teil so werden nicht alle Spielfiguren benutzt.; [164466: Loswerden, ]
59: Die übrigen Figuren werden trotzdem auf den Spielplan gestellt da sie Hinweise liefern können ebenso wie die Fotos der Verdächtigen auf dem Spielplan.; [3173: Gemeinsames Spielfeld, ]
60: 3.; []
61: Die liefert die Aufgabe für jedes Spiel.; [8528: Siegpunkte, 1492: Siegbedingung, ]
62: Ein Spieler dreht sie so daß einer der dicken schwarzen Punkte genau auf dem roten Pfeil des steht.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
63: Wichtig; []
64: In diesem Spiel darf die nicht mehr bewegt werden.; [164466: Loswerden, ]
65: 4.; []
66: Die sieben Verstecke in den roten Standfüßen werden auf ihr passendes Fenster der Scheibe gesetzt.; [3173: Gemeinsames Spielfeld, ]
67: 5.; []
68: Alle Spieler würfeln.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
69: Wer die höchste Augenzahl erreicht beginnt das Spiel.; [1292: Zufall, 1492: Siegbedingung, 166903: Ankommen, ]
70: Die anderen Spieler folgen im Uhrzeigersinn.; [164466: Loswerden, 1492: Siegbedingung, ]
71: DER SPIELABLAUF; []
72: Jeder Spieler der an der Reihe ist würfelt.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
73: Dann zieht er seine Spielfigur um die gewürfelte Augenzahl im Uhrzeigersinn vorwärts.; [1292: Zufall, 8536: Aktionspunkte, ]
74: Auf einem Feld können mehrere Spielfiguren stehen geschlagen wird nicht.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
75: Der Spieler befolgt dann sofort die Anweisungen des Feldes auf dem seine Spielfigur gelandet ist.; [1292: Zufall, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
76: Dann ist der nächste Spieler an der Reihe.; []
77: Welche Informationen kann man sammeln?; [1492: Siegbedingung, ]
78: Mit der Spielfigur die Du auf Spurensuche über die Spielplanfelder ziehst sammelst Du wertvolle Informationen um den Fall aufzuklären.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
79: WO ist das Tier versteckt?; [8528: Siegpunkte, ]
80: Um das gesuchte Zimmer herauszufinden mußt; []
81: Du feststellen Ob der Fußboden aus Holz besteht oder ob es ein Teppich ist ob die Wände des Raumes blau grün oder gelb sind.; [8536: Aktionspunkte, ]
82: WER hat das Tier versteckt?; [8528: Siegpunkte, ]
83: Um aus den Verdächtigen den echten Übeltäter herauszufinden mußt Du; []
84: die Haarfarbe feststellen die Augenfarbe ermitteln und den Mund erkennen Lächelt er oder lächelt er nicht?; [1292: Zufall, ]
85: Als Hilfestellung sind die Gesichter der Spielfiguren also aller Verdächtigen auf dem Spielplan abgebildet.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
86: 6 WELCHES TIER ist verschwunden?; [8528: Siegpunkte, ]
87: Spuren findest Du nur unter der DIE FELDER DES; [7090: Kooperative Spielform, ]
88: Nachdem Du Deine Spielfigur gezogen hast landest Du auf einem Spielplanfeld dessen Anweisungen; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 166903: Ankommen, ]
89: Du sofort ausführen mußt.; []
90: Prüfe die Spur; []
91: .... Hebe das Versteck auf das auf dem entsprechenden Fenster der steht.; []
92: Halte die Lupe über das Fenster und lies den Hinweis.; [7090: Kooperative Spielform, ]
93: Stelle das Versteck wieder auf seinen Platz zurück.; [3173: Gemeinsames Spielfeld, ]
94: Markiere die Information auf Deinem Notizblatt.; []
95: Beispiel Du prüfst die Spur am Fernrohr in der Bibliothek und liest durch die Lupe daß der Verdächtige BLAUE Augen hat.; []
96: auf Deinem Blatt einen Kreis um BLAU unter dem Abschnitt; []
97: VERDÄCHTIGE.; []
98: Damit weißt Du daß alle Verdächtigen ausscheiden die BRAUNE Augen haben.; [164466: Loswerden, ]
99: Nochmal würfeln Du bist nochmal an der Reihe und darfst daher sofort ein weiteres Mal würfeln und ziehen!; [1292: Zufall, 8536: Aktionspunkte, ]
100: Prüfe beliebige Spur; [1292: Zufall, ]
101: Du darfst ein beliebiges Versteck aufheben.; [1292: Zufall, 8536: Aktionspunkte, ]
102: Ansonsten wie unter Prüfe die Spur Wichtig; []
103: Das Versteck über dem Fenster LÖSUNG darf nicht aufgehoben werden.; []
104: Ziehe Felder vorwärts oder Ziehe Felder rückwärts; [1292: Zufall, ]
105: Du ziehst Deine Spielfigur um die genannte Anzahl Felder weiter.; [1292: Zufall, 8536: Aktionspunkte, ]
106: Dann befolgst Du die Anweisungen des Feldes auf dem Deine Figur gelandet ist.; [7090: Kooperative Spielform, ]
107: DIE Du mußt alle Informationen auf Deinem Notizblatt eintragen die Du erhältst.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
108: Kreise die auf Deinem Notizblatt ein die Du herausgefunden hast.; []
109: Vergleiche Deine; []
110: Spuren mit den Fotos auf dem Spielplan.; [3173: Gemeinsames Spielfeld, ]
111: Schreibe die drei gesuchten Namen erst dann auf das Blatt wenn Du alle Spuren geprüft hast und sicher bist daß alles richtig ist.; [164466: Loswerden, 3142: Verlierbedingung, ]
112: Beispiel Aus obigem Beispiel weißt Du daß der Verdächtige BLAUE Augen hat.; []
113: Um den Übeltäter herauszufinden mußt Du noch seine Haarfarbe feststellen oder HELL.; [1292: Zufall, ]
114: WER der Täter wirklich ist weißt Du aber erst wenn Du ermittelt hast ob er lächelt oder nicht!; [3142: Verlierbedingung, ]
115: Hinweis Achte darauf daß die Informationen auf Deinem Notizblatt geheim bleiben.; []
116: Falte das Blatt so daß die anderen Spieler nichts sehen können.; [3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
117: DAS RÄTSEL; []
118: LOSEN; []
119: Wenn Du einen Zug beendet hast und sicher bist daß Du das verschwundene Tier das Zimmer und den Übeltäter kennst dann kannst Du einen ankündigen.; [8536: Aktionspunkte, ]
120: Laut sagst Du Ich löse das Rätsel!; []
121: Dann nennst Du Deine drei Namen laut und siehst unter dem Fenster LÖSUNG nach.; []
