0: 0; []
1: Ein turbulentes Wind für 2 bis 4 Spieler ab 8 Jahren; [164466: Loswerden, 7090: Kooperative Spielform, ]
2: Wenn in die beginnt ist erst einmal Schluss mit den großen Alles was nicht und wetterfest ist macht sich dann schleunigst aus dem Staub.; [3142: Verlierbedingung, ]
3: Kuh die gerade noch fröhlich ins Gras gebissen hat mutiert auf einmal nicht ganz freiwillig zum Nun kommt es auf eurer kleinen Farm ganz auf euch an.; []
4: Werdet ihr eine ruhige Hand bewahren bis der Sturm sich gelegt hat oder wird euer Hab und Gut vom Winde verweht?; [1292: Zufall, ]
5: Inhalt 90 Karten; [1292: Zufall, 164466: Loswerden, ]
6: 76 Tierkarten 14 Sonderkarten; [1292: Zufall, ]
7: 7 Blitz 7 Wolke; []
8: 1 1 große Holzscheibe Auge des Sturms 1 Tornado Aufbau und Spielvorbereitung 1. Steckt die vier zusammen und stellt das Gestell zwischen euch in die Tischmitte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
9: 2.; []
10: Darauf legt ihr die 3. Nehmt den Tornado und steckt den kleinen Führungszylinder durch das Loch in der Mitte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
11: Legt den Tornado so auf die dass der Führungszylinder relativ mittig in der inneren Vertiefung innere liegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
12: Die äußere wird im Grundspiel nicht genutzt.; []
13: 4.; []
14: Bildet die erste Stufe der indem ihr die große Holzscheibe Auge des Sturms auf das obere Ende des Tornados legt und darauf eine Karte mit der Rückseite nach oben stapelt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
15: Mischt die Karten und gebt jedem Spieler 4 Karten verdeckt auf die Hand.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
16: Legt die restlichen Karten als Nachziehstapel auf dem Tisch bereit.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
17: Jeder nimmt nun noch 3 Scheunen 3 Kühe und 3 Bäume und stellt sie vor sich auf.; [1292: Zufall, ]
18: Das ist eure Farm.; []
19: Achtet darauf dass die Abstände zwischen eurer Farm und den Farmen der Nachbarn rechts und links ungefähr gleich groß sind.; []
20: Überzählige wenn noch vorhanden werden als Vorrat beiseitegelegt.; [8528: Siegpunkte, ]
21: Spielablauf; []
22: Der jüngste Spieler wird Startspieler und spielt eine beliebige Karte aus seiner Hand.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
