0: Inhalt; []
1: 1 Spielbrett mit Stern in 3 Farben 30 in 3 Farben je 10 pro Farbe; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
2: Ziel des Spiels; []
3: Alle eigenen aus seinem in den gegenüberliegenden Zacken zu bringen.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
4: Vor dem Spiel Jeder Spieler wählt seine Farbe und verteilt seine 10 auf die 10 Felder innerhalb seines Zackens wie es 1 zeigt Und Jetzt geht los; [1292: Zufall, 73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
5: Die Spieler stimmen sich ab; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
6: wer anfängt.; [1492: Siegbedingung, ]
7: Das Spiel geht dann im Uhrzeigersinn reihum weiter.; []
8: Pro Durchgang darf immer nur eine Spielfigur gezogen werden.; [1292: Zufall, ]
9: Es gibt zwei Zugmöglichkeiten; [1492: Siegbedingung, 7090: Kooperative Spielform, ]
10: Entweder den Einzelschritt zum nächsten Punkt entlang den Linien in jede beliebige Richtung wie es 2 zeigt.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, ]
11: Oder das Überspringen eines eigenen oder gegnerischen sofern sich dahinter ein freier Punkt zum Landen nach 2 3 dem Sprung befindet wie es 3 zeigt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
12: Die einzelnen Sprünge werden in gerader Linie gemacht sind aber mehrere Sprünge innerhalb eines Zuges möglich dann kann die Richtung nach jedem Sprung geändert werden.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
13: Innerhalb eines Zuges darf eine Spielfigur nur einmal übersprungen werden.; [8536: Aktionspunkte, ]
14: Pro Durchgang darf beim nie mehr als eine Figur gezogen werden.; [1292: Zufall, 8536: Aktionspunkte, ]
15: dürfen nie mit verbunden werden.; []
16: Übersprungene bleiben im Spiel.; [164466: Loswerden, ]
17: Wer gewinnt?; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
18: Wer als erster Spieler alle seine Spielfiguren in den dem gegenüberliegenden Zacken gebracht hat ist der Gewinner des Spiels.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
19: 1990 GmbH GmbH Lange Wende 2 4770 Soest; []
