0: Im nächsten Zug mußt Du dann wenn möglich das Startfeld räumen.; [3173: Gemeinsames Spielfeld, ]
1: Fremde Figuren können Dein Startfeld niemals besetzen.; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
2: Sollten einmal von einem Spieler keine Figuren mehr auf der Laufbahn stehen darf er bis zu dreimal würfeln; [1292: Zufall, 164466: Loswerden, 8536: Aktionspunkte, ]
3: wenn er an der Reihe ist um zu versuchen eine Sonne zu würfeln.; [1292: Zufall, ]
4: Sobald Du den Spielplan mit einer Figur einmal umrundet hast und ein Symbol würfelst das nicht mehr auf den Feldern bis zu Deinem Startfeld abgebildet ist kannst; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
5: Du Deine Figur auf eines Deiner 4 setzen um die die Laufstrecke herumführt.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
6: 3 5 Spielende; [8528: Siegpunkte, ]
7: Wer seine letzte Spielfigur als erster ins Ziel gebracht hat hat das Spiel gewonnen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
8: 244520 Disney; []
9: Wer schafft es als erster seine 4 Spielfiguren einmal um die Laufstrecke herum ins Ziel zu bringen?; [7090: Kooperative Spielform, 166903: Ankommen, ]
10: Unterwegs gilt es die Mitspieler so oft wie möglich zu ärgern und ihre Figuren zu schlagen damit sie wieder von vorn beginnen müssen.; [3142: Verlierbedingung, ]
11: Spieltyp; []
12: Würfelspiel; []
13: Spielerzahl; []
14: Altersempfehlung Spieldauer 20 Min.; []
15: Taktik; []
16: Glück Spielmaterial; []
17: 1 Spielplan Spielfiguren; [3173: Gemeinsames Spielfeld, ]
18: 16 Figurenhalter 1 Symbolwürfel 1; [1292: Zufall, ]
19: Spielanleitung Spielziel; []
20: Wer als erster seine 4 Spielfiguren nach Hause gebracht hat gewinnt das Spiel.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
21: Spielvorbereitung; []
22: Vor dem ersten Spiel müßt Ihr vorsichtig die Figuren aus dem lösen und in die Figurenhalter stecken.; [3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
23: Jeder Spieler wählt eine Gestalt aus dem Film und nimmt sich die 4 Spielfiguren John Smith oder 3 Figuren werden auf den großen Kreis mit der entsprechenden Abbildung in der Ecke des gestellt.; [3173: Gemeinsames Spielfeld, ]
24: Die 4. Figur kommt auf das dazu passende Startfeld auf der Laufstrecke.; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
25: Wenn Ihr nur zu zweit spielt solltet Ihr von gegenüberliegenden Bildfeldern starten.; [3142: Verlierbedingung, ]
26: Nicht benutzte Spielfiguren bleiben in der Spieleschachtel.; []
27: Der jüngste Spieler beginnt die übrigen folgen im Uhrzeigersinn.; [1292: Zufall, 164466: Loswerden, ]
28: 0 Spielablauf; []
29: Wer an der Reihe ist würfelt und setzt seine Spielfigur auf das nächste Feld mit dem gewürfelten Symbol.; [1292: Zufall, ]
30: Gezogen wird immer links herum im Uhrzeigersinn; [1292: Zufall, ]
31: Andere Spielfiguren eigene und fremde kannst Du überspringen.; [8536: Aktionspunkte, ]
32: Aber vergiß nicht Du kannst immer nur auf das nächste Feld mit dem gewürfelten Symbol ziehen.; [1292: Zufall, 8536: Aktionspunkte, ]
33: Ist es von einer fremden Figur besetzt wird sie geschlagen und zurück auf ihr großes gestellt.; [3173: Gemeinsames Spielfeld, ]
34: Sie muß wieder von vorn anfangen.; []
35: Steht auf dem Feld auf dem Du landest eine Deiner eigenen Figuren mußt Du mit einer Deiner anderen Spielfiguren ziehen oder aussetzen.; [1292: Zufall, 8536: Aktionspunkte, 166903: Ankommen, ]
36: Die Sonne Immer wenn Du; []
37: eine Sonne würfelst stellst Du eine Spielfigur von Deinem großen auf das Startfeld vorausgesetzt; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
38: es ist frei.; []
39: Wenn das Feld besetzt oder Dein großes leer ist kannst Du auch mit einer anderen Deiner Spielfiguren ziehen.; [1292: Zufall, 8536: Aktionspunkte, ]
