0: Schmidt; []
1: ral; []
2: Mit 1 1; []
3: Das spannende Legespiel von Johannes für Spieler ab 8 Jahren.; [7090: Kooperative Spielform, ]
4: 28 Spielfiguren 7 pro Farbe in unterschiedlichen Größen 4 1 pro Farbe; [1292: Zufall, 8536: Aktionspunkte, ]
5: 1 Startplättchen 5 Felder; []
6: 36 Landschaftsplättchen mit je 3 Feldern 11 zweiteilig 40 4 1 Wertungstafel; [8528: Siegpunkte, ]
7: Die Spieler erschließen Stück für Stück die faszinierende Landschaft im Teil von England.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
8: Malerische Dörfer; []
9: Wiesen Wälder und werden von ihnen nach und nach in Besitz genommen.; [1292: Zufall, ]
10: Dabei gilt es möglichst viele Punkte zu sammeln.; [8528: Siegpunkte, 1492: Siegbedingung, ]
11: Leider pflegt nicht jeder Mitspieler die feine englische Art und deshalb bleibt den Spielern am Ende längst nicht alles was sie für sich beansprucht haben...; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
12: Wer am Ende die meisten Punkte hat gewinnt das Spiel.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
13: Spielvorbereitung; []
14: Jeder Spieler wählt eine Spielerfarbe und stellt seinen auf das Feld 0 40 der Wertungstafel.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
15: Jeder Spieler erhält die 7 Spielfiguren seiner Farbe die er vor sich abstellt 1 Münze sowie 1 Spielübersicht.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
16: Münzen liegen während des Spiels offen vor den Spielern.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
17: Die restlichen Münzen werden als Vorrat neben die Wertungstafel gelegt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
18: Der Pub wird bereitgelegt.; [1492: Siegbedingung, ]
19: Der Spieler der als letztes in England war wird zum Startspieler bestimmt.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
20: Die 36 Landschafts plättchen mit je 3 Feldern werden gemischt und als verdeckter Nach ziehstapel bereitgestellt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
