0: Mayday!; []
1: Nach einer ausufernden ist die in einem exotischen Winkel der Milchstraße auf dem blauen Planeten Erde notgelandet.; []
2: Die Reisenden haben es beim wieder einmal übertrieben und so sind sämtliche Beine schneller angekommen als ihre Köpfe.; []
3: Und bevor sich auch ihre Körper beim Materialisieren auf den Weg gemacht haben purzeln bereits alle Körperteile unserer Aliens wild durcheinander.; []
4: Jetzt hilft nur noch ein energischer Klaps auf den Kopf jedes Wesens um die passenden Körperteile wieder an die richtige Stelle zu rücken.; []
5: Könnt Ihr ihnen helfen?; []
6: MATERIAL; []
7: 60 12 Unter 60 verdeckten haben sich 20 außerirdische Wesen versteckt.; []
8: Von jedem Wesen liegen Kopf Körper und Beine an drei verschiedenen Plätzen.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, 3173: Gemeinsames Spielfeld, ]
9: Nacheinander werden die aufgedeckt.; [1492: Siegbedingung, 3173: Gemeinsames Spielfeld, ]
10: Sobald von einem Wesen alle drei Körperteile zu sehen sind müsst ihr schnell sein!; []
11: Wer als Erster mit der Hand auf das Kopfkärtchen dieses Wesens schlägt bekommt es.; []
12: Wer die meisten Wesen vor sich ablegen kann gewinnt das Spiel.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
13: Mischt alle 60 Verteilt; [1292: Zufall, ]
14: sie verdeckt und ungeordnet auf dem Tisch.; [1292: Zufall, ]
15: Legt die als Vorrat an der Seite bereit.; [1292: Zufall, 8536: Aktionspunkte, 3173: Gemeinsames Spielfeld, ]
16: Nehmt; []
17: Ringe Uhren und Armbänder ab damit sich keiner verletzt.; []
18: Ihr spielt im Uhrzeigersinn.; [164466: Loswerden, 166903: Ankommen, ]
19: Wer am Zug ist deckt rasch ein auf.; []
20: Das macht er so dass alle anderen Spieler das Kärtchen gleichzeitig zu sehen bekommen.; [164466: Loswerden, 3142: Verlierbedingung, ]
21: Sonst macht er nichts.; []
22: Damit ist sein Zug beendet.; []
23: Alle anderen Spieler schauen zu welchem Wesen der aufgedeckte Körperteil gehört.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
24: Wer von ihnen glaubt dass schon alle drei Körperteile Kopf Körper und Beine desselben Wesens offen liegen schlägt so schnell wie möglich mit einer Hand auf das Kopfkärtchen dieses Wesens.; [3142: Verlierbedingung, 8536: Aktionspunkte, ]
25: Wer am schnellsten ist nimmt alle drei Kärtchen dieses Wesens und legt sie richtig zusammengesetzt vor sich ab.; [164466: Loswerden, ]
26: Wer auf ein Kopfkärtchen schlägt obwohl noch nicht alle drei Körperteile dieses Wesens offen zu sehen sind nimmt sich kein sondern einen Wer auf ein oder Körperkärtchen eines Wesens schlägt; []
27: nimmt sich ebenfalls kein sondern einen; []
28: Wer keine mehr im Vorrat vorfindet nimmt sich einen Chip von einem beliebigen Mitspieler.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
29: Schlägt keiner von Euch auf ein Kärtchen weil noch nicht alle drei Teile eines Wesens auf dem Tisch zu sehen sind passiert nichts weiter.; [3142: Verlierbedingung, 3173: Gemeinsames Spielfeld, ]
30: Dann ist der nächste Spieler am Zug und deckt ein weiteres auf.; [3142: Verlierbedingung, ]
31: Wichtig; []
32: !; []
33: Alle aufgedeckten Kärtchen bleiben stets offen liegen.; [1292: Zufall, ]
