0: DAS KOOPERATIVE; []
1: BRETTSPIEL; []
2: Lobet; []
3: DAS KOOPERATIVE; []
4: BRETTSPIEL; []
5: Für Spieler ab 6 Jahren; [164466: Loswerden, 7090: Kooperative Spielform, ]
6: INHALT 5; []
7: MIT 1; []
8: SPIELPLAN 1; []
9: 1; []
10: WÜRFEL; []
11: 1 HOLZSCHEIBE; []
12: 1; []
13: SPIELZIEL und seine Freunde Kleiner Donner Regenbogen Kleiner Dachs und Großer Adler machen einen Ausflug in die Wildnis.; []
14: Da gibt es viel zu entdecken Flüsse Berge Wälder und Täler.; [3173: Gemeinsames Spielfeld, ]
15: Natürlich mussten sie den Stiller Fels und Schnelle Schildkröte versprechen bei Einbruch der Nacht wieder zu Hause zu sein.; []
16: Doch weh!; []
17: Vor lauter Herumtollen haben die fünf Freunde völlig die Zeit vergessen!; [7090: Kooperative Spielform, ]
18: Jetzt liegt es an euch.; []
19: Könnt ihr und seinen Freunden dabei helfen dass alle doch noch rechtzeitig ins Dorf kommen?; [164466: Loswerden, ]
20: Gewinnt ihr den Wettlauf gegen die Zeit?; [7090: Kooperative Spielform, ]
21: der Sanduhr Startfeld der Freunde; [3173: Gemeinsames Spielfeld, ]
22: SPIELVORBEREITUNG; []
23: Vor dem erste Spiel Entfernt vorsichtig die und die 5 Spielfiguren aus der Papp tafel.; [166903: Ankommen, ]
24: Steckt anschließend jede Figur in eines der beigelegten Vor jedem Spiel Legt den Spielplan in die Tischmitte und stellt die 5 Freunde auf das Startfeld oben rechts.; [73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
25: Anschließend einigt ihr euch mit welchem Schwierigkeitsgrad ihr spielen wollt.; []
26: 3; []
27: Für klein eIn in de Leicht Spielt ihr das Spiel zum ersten Mal steht die Sanduhr hier.; []
28: 3; []
29: Für erfahre Jäger; []
30: Mit tel; []
31: Wenn ihr eine größere Herausforderung wollt steht die Sanduhr hier.; []
32: 3; []
33: Für weise Stamm Schwer Seid ihr tapfere Indianer die auch verlieren können steht die Sanduhr hier.; [3142: Verlierbedingung, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
34: Spieler wird Startspieler und legt die die Holzscheibe und den Würfel griffbereit vor sich ab.; [1292: Zufall, ]
35: Gespielt wird im Uhrzeigersinn.; []
36: 71; []
37: Ein Schleichweg; []
38: Zielfeld Kleiner Dachs Regenbogen; []
39: Großer Adler Kleiner Donner; []
40: SPIELVERLAUF Stellt die abgelaufene Sanduhr je nach gewünschtem Schwierigkeitsgrad auf das entsprechende Spielfeld AB oder Dann dreht ihr die Sanduhr um.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
41: Sobald der Sand anfängt zu rieseln beginnt der Wettlauf gegen die Zeit!; [7090: Kooperative Spielform, ]
42: Wenn du am Zug bist musst du den 5 Freunden Kleiner Donner Regenbogen Kleiner Dachs und Großer Adler dabei helfen rechtzeitig vor Einbruch der Dunkelheit zurück ins Dorf zu gelangen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
43: Ein Spielzug läuft immer in dieser Reihenfolge ab; []
44: 3 Sand uhr prüfen; []
45: 3 Akt ion würfe Akt ion tafel und Holzscheibe ein setze 3 Aktion auf dem Spielplan ausführen Sand uhr; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
46: prüfen Behaltet stets die Sanduhr im Auge.; []
47: Ist sie abgelaufen müsst ihr die Sanduhr sofort umdrehen und sie 1 Spielfeld weiter in Richtung des Dorfes ziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
48: Achtung; []
49: Wenn die Sanduhr dabei auf ein Spielfeld gezogen wird auf dem mindestens eine Figur steht habt ihr das Spiel so fort verloren!; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
50: Wird die Sanduhr auf ein Spielfeld gezogen auf dem sich nur der Späher befindet siehe Schuhe unter Aktionen auf dem Spielplan ausführen auf der nächsten Seite habt Ihr noch eine Chance.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
51: Ihr verliert das Spiel erst dann wenn die Sanduhr den Späher überholt.; [3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
52: Akt ion würfe Akt ion tafel und Holzscheibe ein setze Nachdem du die Sanduhr überprüft hast würfelst du mit dem Aktionswürfel.; [1292: Zufall, ]
53: Darauf sind 6 Farben zu sehen Blau Gelb Grün Rot Schwarz und Weiß.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
54: Je nach gewürfelter Farbe musst du anschließend die entsprechende Aktion mit der und der Holzscheibe ausführen; [1292: Zufall, 8536: Aktionspunkte, ]
55: 3 Blau Lege die Holzscheibe auf den Jetzt puste die Scheibe auf das von dir gewünschte Aktionsfeld.; [3173: Gemeinsames Spielfeld, ]
56: Du darfst auch mehrfach pusten aber dein Mund muss dabei hinter der bleiben!; []
57: 3; []
58: Gelb Nimm die Holzscheibe in die Hand und lasse sie aus etwa 15 Höhe auf das von dir gewünschte Aktionsfeld auf der fallen.; []
59: 3; []
60: Grün Lege die Holzscheibe auf den sie anschließend auf das von dir gewünschte Aktionsfeld.; []
61: 3; []
62: Rot Lege die Holzscheibe auf den Lege deinen Finger darauf.; []
63: Schiebe die Holzscheibe nun mit etwas Schwung an so dass sie auf das von dir gewünschte Aktionsfeld rutscht.; [8536: Aktionspunkte, ]
64: Dabei darf dein Finger nicht über den hinausgehen!; [8536: Aktionspunkte, ]
65: 3; []
66: Schwarz Nimm die Holzscheibe in die Hand und wirf sie wie einen Frisbee auf das von dir gewünschte Aktionsfeld auf der Dabei darf deine Hand nicht über den hinausgehen!; [8536: Aktionspunkte, ]
67: 3; []
68: Weiß Lege die Holzscheibe auf den Nimm anschließend; []
69: die Aktions tafel in beide Hände halte sie ein wenig schräg und versuche vorsichtig die Holzscheibe auf das von dir gewünschte Aktionsfeld rutschen zu lassen.; [1292: Zufall, ]
70: Wichtig; []
