0: Bei anderen haben wir die Wahl zu bluffen oder nicht zu bluffen.; [8536: Aktionspunkte, ]
1: Hier nicht.; []
2: CIAO CIAO...; []
3: Der Kühlste gewinnt!; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
4: Vor jedem Spiel nimmt man den Inhalt aus der Schachtel und legt die Brücke so auf zwei gegenüber Ränder des Schachtelbodens dass sie durch die Enden Halt findet.; []
5: eI; []
6: Das Ziel ist als Erster drei eigene Figuren über die Brücke zu bringen.; [7090: Kooperative Spielform, 3173: Gemeinsames Spielfeld, 166903: Ankommen, ]
7: Gelingt das aber keinem gewinnt wer die höchste Punktzahl erzielt hat.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
8: 2 bis 4 Spieler ab Jahren; [164466: Loswerden, 7090: Kooperative Spielform, ]
9: Autor Alex Grafik Johann Redaktion 19.97; []
10: DREI; []
11: MAGIER SPIELE; []
12: Jeder Spieler wählt eine Farbe nimmt alle sieben Figuren zu sich und stellt eine davon sofort auf die erste Planke der Brücke Pfeil; [1292: Zufall, 3142: Verlierbedingung, 3173: Gemeinsames Spielfeld, ]
13: Von jetzt an muss so lange es möglich ist immer eine Figur jeder Farbe auf der Brücke stehen!; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
14: Brücke und Siegertreppchen 28 in 4 Farben BlackBox mit Sonderwürfel Anleitung Stürzt eine Figur ab; [1292: Zufall, 7090: Kooperative Spielform, ]
15: CIAO CIAO...; []
16: muss sie sofort durch eine neue Figur derselben Farbe ersetzt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
17: Diese startet immer auf der ersten Auf die andere Seite der Brücke wird das Siegertreppchen gelegt.; []
18: Vor dem ersten Spiel bitte die beiden Enden der Brücke an den Stellen ganz umknicken mit etwas Klebstoff an der Unterseite der Brücke festkleben und die Zwischenräume der Es wird im Uhrzeigersinn gespielt.; []
19: Der erste Spieler wird ausgelost oder es beginnt derjenige der als nächster Geburtstag hat.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
20: Er schüttelt die BlackBox stellt sie auf den Tisch und späht geheim durch den hinein.; [3173: Gemeinsames Spielfeld, ]
21: Er sagt eine Zähl zwischen 1 und 4 an und rückt seine Spielfigur sofort entsprechend viele Schritte vorwärts.; []
22: Der Sonderwürfel zeigt die Augen von 1 bis 4 die anderen beiden Seiten sind mit Kreuzen versehen.; [1292: Zufall, 8536: Aktionspunkte, ]
23: Würfelt ein Spieler ein solches Kreuz bedeutet es für seine Figur den Absturz.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
24: Er versucht natürlich dies zu vermeiden sagt auf jeden Fall eine Zahl zwischen 1 und 4 und rückt seine Figur entsprechend vor.; [7090: Kooperative Spielform, ]
25: Jetzt haben die anderen Spieler einer dem anderen Gelegenheit ihm zu glauben oder zu zweifeln.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
26: Hat einer gezweifelt können andere in dieser Runde nicht mehr zweifeln!; [3142: Verlierbedingung, 1492: Siegbedingung, ]
27: Glauben alle die Ansage ist der Zug beendet.; [164466: Loswerden, ]
28: Der Ansager schüttelt die BlackBox denn keiner soll wissen ob er hat oder nicht und gibt sie an den nächsten Spieler weiter.; [8536: Aktionspunkte, ]
29: Zweifelt jedoch einer der Spieler so bekommt dieser die BlackBox gereicht und darf hineinschauen.; []
30: Zweifelt also ein Spieler der Ansager hat jedoch die Wahrheit gesagt darf der Ansager die.; []
31: Figur des Zweiflers von der Brücke schubsen; [7090: Kooperative Spielform, ]
32: CIAO CIAO; []
33: !; []
34: Zweifelt ein Spieler und der Ansager.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
35: hat endet die Figur des Ansagers im Sumpf; [164466: Loswerden, 7090: Kooperative Spielform, ]
36: .... CIAO CIAO!; []
37: Die Figur des Zweiflers jedoch darf so viele Schritte weitergehen wie der Spieler angesagt hatte!; [7090: Kooperative Spielform, ]
38: Nicht vergessen Sobald eine Figur abgestürzt ist muss eine neue auf die erste Planke der Brücke gestellt werden.; [166903: Ankommen, ]
39: Kann eine Figur endlich die Brücke verlassen wird sie auf das Siegertreppchen gestellt.; []
40: Eventuell überzählige Würfelaugen verfallen!; [1292: Zufall, ]
41: Die erste Figur die ankommt wird auf die erste Stufe 1 gestellt die 2. auf die zweite Stufe 2; [7090: Kooperative Spielform, 166903: Ankommen, ]
42: usw.; []
43: Die Reihenfolge der einzelnen Figuren kann am Ende das Spiel entscheiden!; [164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
44: Es zu beenden; []
45: Ein Spieler gewinnt sobald er drei Figuren über die Brücke gebracht hat.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
46: 4; []
