0: Mehr Spielplan!; [3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
1: Mehr Spannung!; [164466: Loswerden, ]
2: Mehr Phase 10!; [164466: Loswerden, 1492: Siegbedingung, ]
3: Für 2 6 Spieler ab 10 Jahren Design DE Ravensburger Spielanleitung; []
4: Idee Susanne Illustration Redaktion Stefan Ravensburger Spiele; [164466: Loswerden, ]
5: Nr.; []
6: 27 2 2 6 6; []
7: Alle Phasen das sind Kombinationen bestimmter Karten sind verschieden.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, ]
8: Und sie werden von Durchgang zu Durch gang schwieriger.; []
9: Nur. wer eine Phase erfolgreich auslegen konnte da sich im nächsten Durchgang einer neuen Phase zuwenden.; [1492: Siegbedingung, ]
10: Besondere auf dem Spielplan helfen den Spielern ihre Aufgaben möglichst schnell zu erfüllen.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
11: Wer als Erster mit seinem das Feld mit dem Lorbeerkranz erreicht ist Sieger.; [1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
12: Spielmaterial 1; []
13: Spielplan mit 3 2 6 Spiels groß; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
14: 6 klein 2; []
15: Würfe; []
16: 1 1 0 Spielkarten 96 Zahlenkarten je 2 1 1 2 in 4 Farben 6; [1292: Zufall, ]
17: deutsche sich 8 in bzw. Spielplan Zahlenkarten Würfel Hinweis an alle; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
18: die bereits das Kartenspiel PHASE 10 kennen; [1292: Zufall, ]
19: Zwei wesentliche Bestandteile des auslegen und Karte abwerfen sind im Phase dieselbe Weise geregelt insofern; [1292: Zufall, ]
20: können Sie beim die Punkte 2 der Seite 6 mit den Erklärungen zu den Phasen und 3 einfach überspringen.; [8528: Siegpunkte, 8536: Aktionspunkte, ]
21: Spielvorbereitung; []
22: Der Spielplan wird in der Tischmitte ausgebreitet.; [3173: Gemeinsames Spielfeld, ]
23: Er zeigt einen Rundkurs mit 32 acht verschiedene sowie 10 und das Ziel feld mit dem Lorbeerkranz.; []
24: In der Mitte sind zwei Rächen für den bzw. Ablagestapel angedeutet.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
25: Jeder Spieler erhält in der Farbe seiner Wahl den Spielstein groß den er auf das größere blaue Aktionsfeld mit den Sternen stellt den klein den er auf dem ersten Phase 1; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
26: platziert eine Übersichtskarte.; [1292: Zufall, ]
27: die er offen vor sich ablegt; []
28: Auf der Vorderseite sind die 10 Phasen aufgeführt auf der Rückseite; [8528: Siegpunkte, 1492: Siegbedingung, ]
29: befindet sich die Übersicht über die acht verschiedenen Aktionen.; [8536: Aktionspunkte, ]
30: Dann wird der erste Durchgang vorbereitet; []
31: Alle 96 Zahlenkarten werden gut gemischt.; [1292: Zufall, 7090: Kooperative Spielform, ]
32: Dann werden reihum einzeln verdeckt an jeden Spieler 10 Karten ausgeteilt.; [1292: Zufall, 1492: Siegbedingung, ]
