0: von Gomez mit Illustrationen von Spieler; [8528: Siegpunkte, 1492: Siegbedingung, ]
1: Personen Alter ab 6 Jahren Dauer 30 Minuten INHALT 4 16 in 5 Farben 5 Boxen; [1292: Zufall, ]
2: Die Räume 45 mit 1 2 oder 3 4 4; []
3: SPIELIDEE; []
4: Leon; []
5: wir schwänzen die letzte Stunde und fangen noch ein paar Fische vor dem Mittagessen Okay mein Magen freut sich schon auf die Fisch Los; [7090: Kooperative Spielform, ]
6: geht dich das krieg de Lehrer nicht mal mit!; []
7: Ach was der Typ ist viel zu langsam für uns!; [8536: Aktionspunkte, ]
8: Und was ist mit dem Hausmeister auf dem Flur?; []
9: nicht Ärger?; []
10: 1 1 1 1 1; []
11: SPIELZIEL; []
12: In jeder Runde übernimmt ein Spieler die Rolle des Hausmeisters der Fänger Seine Aufgabe ist es die anderen Pinguine die Läufer zu fangen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
13: Die Aufgabe der Läufer ist es ihre drei Fische über den Türen einzusammeln.; []
14: Für das Einsammeln der Fische und das Fangen der anderen Pinguine erhalten die Spieler Siegpunkte.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
15: Hat ein Spieler seine Aufgabe erfüllt ist eine Runde zu Ende.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
16: Das Spiel ist beendet wenn jeder Spieler einmal Fänger war.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
17: Der Spieler mit den meisten gewinnt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
18: SPIELVORBEREITUNG; []
19: SUPER; []
20: EINFACH; []
21: !; []
22: Legt die 5 Räume so nebeneinander auf den Tisch dass sich die Punkte an den berühren.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
23: Steckt die 4 natur Fische von oben auf die 4 Markierungen um die Boxen zusammenzuhalten; [8536: Aktionspunkte, ]
24: Jeder Spieler wählt eine Farbe und nimmt sich den Pinguin die und den Pinguin Ausweis sowie die 3 Fische in der Farbe.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
25: Die beiden Karten legt jeder vor sich auf den Tisch.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
26: Nicht benutztes Material legt ihr beiseite.; []
27: Mischt die und legt sie in einem verdeckten Stapel neben die Spielfläche.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
28: Wer als Letztes einen Pinguin gesehen hat übernimmt in der ersten Runde die Rolle des 4 Willst du coole sehen?; []
29: VOR; []
30: DEINEM ALLERERSTEN; []
31: SPIEL; []
32: Hallo; []
33: ich bin bist du bereit?; []
34: Cool.; []
35: Ich möchte dir noch ein paar Tipps geben wie wir uns bewegen.; [8536: Aktionspunkte, ]
36: Am besten drehst du zur Probe eine Runde durch die Schule.; [1292: Zufall, 8536: Aktionspunkte, ]
37: Technik 1; []
38: Wenn du deinen Pinguin auf einer geraden Linie schnippen möchtest hältst du deinen Finger direkt hinter die Mitte der Figur.; [3173: Gemeinsames Spielfeld, ]
39: Dann drückst du die Figur mit dem Finger kräftig nach vorne.; []
40: 2; []
41: Wenn du möchtest dass dein Pinguin um die Kurve läuft oder verrückte Drehungen macht schnippe ihn auf der Seite in die er sich drehen soll.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
42: Wenn du ihn etwas mehr auf seiner rechten Seite schnippst dreht er sich nach rechts.; [164466: Loswerden, 8536: Aktionspunkte, ]
43: Schwer zu glauben aber dein Pinguin kann tatsächlich auch springen!; []
44: ihn mit deinem Zeigefinger auf Kopfhöhe und du wirst sehen er springt sogar über Mauern und der coole; [8536: Aktionspunkte, ]
45: ist; []
46: erlaubt benutze ihn Nimm deinen Pinguin und setze ihn auf den roten Punkt im Klassenzimmer Box Nr. den Pinguin einmal quer durch die Schule bis er wieder im Klassenzimmer ist.; [8528: Siegpunkte, 8536: Aktionspunkte, ]
47: Wenn du fertig bist lass die anderen Spieler ran damit sie auch trainieren können.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
48: 1 1 1; []
49: SPIELABLAUF; []
50: Ihr spielt so viele Runden wie ihr Spieler seid; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
51: Ausnahme siehe Seite 11; []
52: In jeder Runde ist ein Spieler der Fänger und alle anderen sind die Läufer.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
53: Jede Runde besteht aus drei Phasen Phase 1; [8528: Siegpunkte, 1492: Siegbedingung, ]
54: Auf bau; []
55: Jeder Läufer steckt seine drei Fische über die markierten Türen; [1492: Siegbedingung, ]
